No,Sourced Statements ,Type of source,Anonymity Y/N,Name of Source,Title of Source,Source Justification
1,It wasn't anything serious,Named Person,,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
2,I wasn't extremely good at the game or anything.,Named Person,,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
3,Multiple contemporaneous comments called him a “god”,Unnamed Group of People,,,,
4,one commenter heralded the task as “the pinnacle of human brain potential.”,Unnamed Person,,,,
5,"“He's the GOAT,” according to friend Roger Clark, a San Francisco programmer and longtime DDR enthusiast. “Everybody knows it. No one would deny it.”
",Named Person,,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
6,"A sample comment on one of his practice runs, months before he made history: “that performance... no other way to describe it but... FUCKING LEGENDARY.” ",Unnamed Person,,,,A sample comment on one of his practice runs
7,"He began earning endorsement deals, and was profiled in several mainstream news publications, telling the New York Times he wanted to buy a multi-thousand dollar DDR arcade cabinet. ",Named Person,,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
8,"(“We’re learning to pay for things when we have the money,” his mom, who reportedly managed those deals, told the outlet.) ",Unnamed Person,,,,"Chris Chike‘s mom, who reportedly managed those deals"
9,"I don’t think I would have any other reason to take it so seriously if it wasn’t for the community and the competition,",Named Person,,Chris Chike,,the greatest Dance Dance Revolution player in the world.
10,"You discover this group of people who’s really like-minded. It’s a really rare thing, because out in the normal world, there’s not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me",Named Person,,Chris Chike,,the greatest Dance Dance Revolution player in the world.
11,"“I had no idea he could do shit like that,” someone uttered in the crowd, in awe, in a video of his display. ",Unnamed Person,,,,"Someone uttered this in awe, in a video of his display"
12,"“Whenever you meet someone who plays DDR, you kind of don't really care that much what they're doing outside of the game, right?” Clark said. ",Named Person,,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
13,"In all of his years of knowing Chike, he could not recall a time when they'd talked about their jobs, despite both spending years working in the tech industry here.",Named Person,,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
14,"It’s something that few other elite Dance Dance Revolution players really bother with, Clark said. ",Named Person,,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
15,"“How someone can even have the physical stamina to do that let alone have the mental fortitude to continue when one tiny mistake is the end of the run … it’s hard to even come up with words for this kind of thing,” Clark said. “It's literally Olympics level, astronaut level.”",Named Person,,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
16,"“I was, like, I get to quit and have severance at the same time — it was almost a win-win, ‘cause I was already a little bit checked out,” he said.",Named Person,,Chris Chike,,the greatest Dance Dance Revolution player in the world.
17,"Chike told Gazetteer he’s saved enough to keep him afloat for a few years, helped along by the occasional brand deal. ",Named Person,,Chris Chike,,the greatest Dance Dance Revolution player in the world.
18,"“I don't think I can physically do this forever,” he said. “I'm getting up there, I just turned 33 this week. So I'm just taking advantage of it while I can.”",Named Person,,Chris Chike,,the greatest Dance Dance Revolution player in the world.
19,"The mixture of talent, endurance, and the good fortune of coming up at DDR’s peak is a one-in-a-million combination, as his friend Clark proudly pointed out.",Named Person,,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
20,"“This is the best that anyone in the human race could possibly achieve at this thing,” Clark told Gazetteer.",Named Person,,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
