SourcedStatement,SourceType,Name,Title,Justification
"Officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Named Organization Sources,the plant,,null
"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021.",Named Organization Sources,Tobyhanna,,null
"“We’re all about quality jobs, and that’s a quality organization,”",Named Person Sources,Bob Durkin,president and chief executive officer of the Scranton Chamber of Commerce,null
"“It’s not $277 million that stays here. But, you know, it’s a good chunk of it,”",Named Person Sources,Matt Cartwright,Congressman,who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania
"“I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence,”",Named Person Sources,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,null
"“We had a job fair in the middle of a heat wave and there was still a line going out of the door,”",Named Person Sources,Danielle Weinschenk,lead Public Affairs Specialist at the Tobyhanna Army Depot,null
"“We had another one when it was pouring rain, and the same thing happened.”",Named Person Sources,Danielle Weinschenk,lead Public Affairs Specialist at the Tobyhanna Army Depot,null
"“With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,”",Named Person Sources,Jim Jarick,senior technology center engineer at the Tobyhanna Army Depot,null
"“If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.”",Named Person Sources,Jim Jarick,senior technology center engineer at the Tobyhanna Army Depot,null
"“At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day,”",Named Person Sources,Mark Cancian,senior advisor at the Center for Strategic and International Studies,null
"“The Russians are [firing] probably about 10,000 a day.”",Named Person Sources,Mark Cancian,senior advisor at the Center for Strategic and International Studies,null
"“Our first task is to save our people,”",Named Person Sources,Olksandr Popov,commander of a Ukrainian artillery unit,null
"“Without artillery, we cannot do this.”",Named Person Sources,Olksandr Popov,commander of a Ukrainian artillery unit,null
"“We had a job fair in the middle of a heat wave and there was still a line going out of the door,”",Unnamed Group of People,null,,null
"“We had another one when it was pouring rain, and the same thing happened.”",Unnamed Group of People,null,,null
