SourcedStatement,SourceType,Name,Title,Justification
Lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.,Named Organization Sources,American Civil Liberties Union (ACLU),,Taking action to inform election workers about ID requirements
Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate.,Named Organization Sources,American Civil Liberties Union (ACLU),,Providing support to trans Americans through clinics
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",Named Organization Sources,American Civil Liberties Union (ACLU),,Taking legal action against discriminatory rules
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,Organizing trainings for trans voters in response to new regulations
VoteRiders is conducting year-round voter education.,Named Organization Sources,VoteRiders,,Providing ongoing education to voters
"The Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders, found that nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license.",Named Organization Sources,The Center for Democracy and Civic Engagement at the University of Maryland,,Conducting research on voter ID access with support from VoteRiders
"There is a chilling effect. There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.",Named Person Sources,Lauren Kunis,CEO and Executive Director of VoteRiders,Providing insight into the impact of anti-trans laws on voting
A lot is falling on poll workers to correctly enforce the law. And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.,Named Person Sources,Lauren Kunis,CEO and Executive Director of VoteRiders,Highlighting the challenges faced by poll workers in enforcing laws
Trans votes count. I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process.,Named Person Sources,Ankit Rastogi,Director of Research for the National Center for Transgender Equality,Emphasizing the importance of trans votes and community engagement
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment.",Named Person Sources,Lucas Cameron-Vaughn,Attorney for the ACLU of Tennessee,Explaining the risks faced by trans people due to non-affirming IDs
It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people.,Named Person Sources,Rose Saxe,Deputy Project Director for the ACLU’s LGBT & HIV Project,Analyzing the strategy behind anti-trans policies
We saw it as a move to inflict maximum chaos and misunderstanding. And really to scare trans folks from even participating and getting the license if they needed to update it.,Named Person Sources,Quinn Diaz,Public Policy Associate at Equality Florida,Reacting to the new gender marker regulation in Florida
"With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life.",Named Person Sources,Quinn Diaz,Public Policy Associate at Equality Florida,Sharing personal experience and highlighting the impact of Florida's laws
"Our ability to participate in this democracy in Florida, it’s been on the line for a while. Transgender people, they said, are being forced to choose between participating in our greatest civic right or just sitting out because the state doesn’t see us for who we are.",Named Person Sources,Quinn Diaz,Public Policy Associate at Equality Florida,Emphasizing the struggle for trans participation in democracy
"Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home. And you also won’t be able to capture the people who are trans and show up to try and vote and are turned away.",Named Person Sources,Lauren Kunis,CEO and Executive Director of VoteRiders,Discussing the challenges in quantifying voter suppression
"There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression.",Named Person Sources,Lucas Cameron-Vaughn,Attorney for the ACLU of Tennessee,Highlighting the multiple risks faced by trans voters
It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box.,Named Person Sources,Josie Caballero,Director of Voting and Elections,Commenting on the determination of the trans community to vote
"They won’t stop me, but I can see how it would stop others. It is almost certainly stopping some people from showing up at the polls.",Named Person Sources,Hazel Krebs,,Sharing personal experience and concern for others
There’s nothing these laws will do to stop me from living my best life. It just puts my energy and passion towards making this place better for me and other trans people.,Named Person Sources,Hazel Krebs,,Expressing determination to overcome obstacles
"According to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy, at least nine states in the past two years have explicitly regulated gender in this way.",Document Sources,Movement Advancement Project (MAP),,Providing data on the number of states with explicit gender regulations
"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws.",Document Sources,"The Williams Institute at the University of California, Los Angeles School of Law",,Citing an estimate of the impact of voter ID laws on trans Americans
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,2022 U.S. Transgender Survey,,Highlighting the voting participation rate of trans Americans from a comprehensive study
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Unnamed Group of People,Trans people,,Explaining the everyday challenges faced by trans people due to lack of affirming identification
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,Gender nonconforming people,,Highlighting the existing public scrutiny faced by gender nonconforming people
Cisgender women being the people harmed by protections for trans people.,Unnamed Group of People,Cisgender women,,Mentioning the group often cited as being protected by anti-trans policies
"Black and Hispanic people are among those most likely not to have a current license, so the requirement harms them too, regardless of their gender identity.",Unnamed Group of People,Black and Hispanic people,,Illustrating the broader impact of ID requirements on marginalized communities
