SourcedStatement,SourceType,Name,Title,Justification
"The Democrats’ party platform hasn’t veered from the messaging President Joe Biden had — reducing mass incarceration, holding police accountable, and keeping students safe while they’re in school.",Named Organization Sources,The Democratic Party,,The Democrats’ party platform
"At a rally in Charlotte, North Carolina, former President Donald Trump pledged to combat police violence by giving police “back their power,” in part by limiting federal oversight over local police departments and strengthening qualified immunity.",Named Organization Sources,"The Republican Party (implied, via former President Donald Trump)",,"At a rally in Charlotte, North Carolina"
I was just thinking about her mother [Tamika Palmer] in regards to how she would interpret that particular ruling by the judge.,Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family","longtime community organizer, and friend of Taylor’s family"
"It’s just more pain on top of pain, and unfortunately, that’s the way the court system goes",Named Person Sources,Christopher 2X,"longtime community organizer, and friend of Taylor’s family","longtime community organizer, and friend of Taylor’s family"
"With this ruling by Judge Simpson, the conversation of police reform keeps going on. There’s no backtracking in this conversation. People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop",Named Person Sources,Christopher 2X,"founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term","founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"
"She’s a former prosecutor. I believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere that’s still asking for that conversation",Named Person Sources,Christopher 2X,,She’s a former prosecutor
"She should be willing and ready to address this whole issue that still, there’s no answers to",Named Person Sources,Christopher 2X,,She’s a former prosecutor
"If the latter goes in effect, “it would prevent the necessity for cases like Breonna Taylor’s because we would be attacking the root cause of crime, which brings down crime rates”",Named Person Sources,Hawk Newsome,co-founder of Black Lives Matter of Greater New York and Black Opportunities,co-founder of Black Lives Matter of Greater New York and Black Opportunities
Less crime means politicians are less likely to allow illegal and overzealous policing,Named Person Sources,Hawk Newsome,co-founder of Black Lives Matter of Greater New York and Black Opportunities,co-founder of Black Lives Matter of Greater New York and Black Opportunities
"Since 2020, the number of people, especially Black people, killed by the police has continued to rise, according to the Mapping Police Violence database. So far this year, 214 Black lives have been lost during encounters with police, nearing the 264 killed in 2020.",Document Sources,Mapping Police Violence database,,according to the Mapping Police Violence database
"Researchers behind Mapping Police Violence released a new database Wednesday that focuses on nonfatal police encounters in the United States between 2017 and 2022, the Guardian first reported.",Document Sources,Mapping Police Violence database; The Guardian,,Researchers behind Mapping Police Violence released a new database Wednesday; the Guardian first reported
"The conversation of police reform keeps going on. There’s no backtracking in this conversation. People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop",Unnamed Group of People,People,,"in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face"
"don’t attend your churches or community meetings, engage in local politics, or take your polls",Unnamed Group of People,"people who don’t attend churches or community meetings, engage in local politics, or take polls",,"for people who don’t attend your churches or community meetings, engage in local politics, or take your polls"
