SourcedStatement,SourceType,Name,Title,Justification
"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites.",Named Organization Sources,American Civil Liberties Union (ACLU),,which is tracking some of these laws and rules
VoteRiders is conducting year-round voter education.,Named Organization Sources,VoteRiders,,which helps voters obtain identification
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,the state’s leading LGBTQ+ advocacy group
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"CEO and executive director of VoteRiders, which helps voters obtain identification"
"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund.",Named Person Sources,Ankit Rastogi,director of research for the National Center for Transgender Equality,"director of research for the National Center for Transgender Equality, which conducted the survey"
"“A lot is falling on poll workers to correctly enforce the law,” Kunis added.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"CEO and executive director of VoteRiders, which helps voters obtain identification"
"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.",Named Person Sources,Rose Saxe,deputy project director for the ACLU’s LGBT & HIV Project,deputy project director for the ACLU’s LGBT & HIV Project
"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said.",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,public policy associate at advocacy group Equality Florida
"“With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life,” Diaz said.",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,public policy associate at advocacy group Equality Florida
"“They won’t stop me, but I can see how it would stop others,” she said.",Named Person Sources,Hazel Krebs,,a 42-year-old transgender woman living in Kansas
"“It is almost certainly stopping some people from showing up at the polls,” she said.",Named Person Sources,Hazel Krebs,,a 42-year-old transgender woman living in Kansas
"“Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"CEO and executive director of VoteRiders, which helps voters obtain identification"
"“There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression,” he said.",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,attorney for the ACLU of Tennessee
"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.",Named Person Sources,Josie Caballero,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey
"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Document Sources,Movement Advancement Project (MAP),,"a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy"
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,2022 U.S. Transgender Survey,,a comprehensive study of binary and nonbinary transgender Americans
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Unnamed Group of People,trans people,,trans people who may be affected by the laws and rules around sex classification
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,gender nonconforming people,,gender nonconforming people who may be affected by the laws and rules around sex classification
