GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"despite public works’ policy and procedure for documenting, bagging, and tagging most belongings",,0,Documents,,No,sf public works,,0,,,0.0,,,0.0, ,,0.0
robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 cesar chavez st.,,0,Named_Person,,No,antonio robinson,,0,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0
"but in june, the supreme court green-lit such penalties, prompting gov. gavin newsom to order california city officials to “move urgently” to clear illegal encampments around the state.",,0,Named_Person,,No,gavin newsom,,0,gov.,,0.0,,,0.0,gov. ,,0.0
"according to public works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.","according to public works policy, staff are supposed to provide the resident of an encampment a 'reasonable amount of time (approximately 30 minutes)' to sort through and collect their belongings before the camp is torn down.",100,Named_Organization,Documents,No,sf public works,public works,89,,,0.0,,according to public works policy,0.0, , according to public works policy,0.0
"he was neither detained nor cited for illegal lodging, and told gazetteer he had spoken to a member of the “encampment resolution team,” who offered temporary shelter.",,0,Named_Person,,No,antonio robinson,,0,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0
"joey o’brien, 46, tried to explain to police officers that he was camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail.",,0,Named_Person,,No,joey o’brien,,0,,,0.0,camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail,,0.0, camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail,,0.0
"more than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",,0,Named_Person,,No,joey o’brien,,0,,,0.0,camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail,,0.0, camping on the sidewalk in hunters point while investigating a homicide that occurred while he was in jail,,0.0
"“the other stuff is under all that over there,” the officer said with a shrug. “you’re going to have to pick it up later.”",,0,Anonymous_Source,,No,,,100,police officer,,0.0,,,0.0,police officer ,,0.0
"as a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on cesar chavez st.","a recent batch of public records secured by city hall watchdog hazel williams shows, public works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the cityâs storage facility on cesar chavez st.",100,Named_Person,Documents,No,hazel williams,,0,,,0.0,city hall watchdog,secured by city hall watchdog hazel williams,0.63286292552948, city hall watchdog, secured by city hall watchdog hazel williams,0.63286292552948
"many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility.","many unhoused people, including robinson, say it can be challenging to identify and retrieve their belongings at the facility. when they succeed, they often find important pieces missing from their stash â a problem that has persisted over years of sweeps.",100,Named_Person,Anonymous_Groups,No,antonio robinson,many unhoused people,22,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",including robinson,0.13806550204753876," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”", including robinson,0.13806550204753876
"instead, the city swooped down on the encampments at sixth and jessie streets earlier than scheduled, said julian highsmith, communications and policy director for the coalition on homelessness.",,0,Named_Person,,No,julian highsmith,,0,"communications and policy director, coalition on homelessness",,0.0,,,0.0,"communications and policy director, coalition on homelessness ",,0.0
"instead, a small group of protesters regrouped at city hall for a series of chants and short speeches, holding a symbolic police citation for breed that accused her of violating human rights.",,0,Anonymous_Groups,,No,protesters,,0,,,0.0,regrouped at city hall for a series of chants and short speeches,,0.0, regrouped at city hall for a series of chants and short speeches,,0.0
highsmith told gazetteer he believes the city may have gotten wind of the group’s planned sweep disruption and undercut it in order to prevent unhoused people from organizing with their advocates during an enforcement.,,0,Named_Person,,No,julian highsmith,,0,"communications and policy director, coalition on homelessness",,0.0,,,0.0,"communications and policy director, coalition on homelessness ",,0.0
"when asked where he would move next, he shrugged and noted in his characteristic whisper that he was staying in the neighborhood.",,0,Named_Person,,No,antonio robinson,,0,,,0.0,"the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0," the 38-year-old had chosen to set up camp near palou ave. and griffith st. in hunters point, on a dead-end road surrounded by industrial buildings.,when they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.,""i had bad experiences,”",,0.0
there were 178 people on the department of homelessness and supportive housing’s online waitlist for shelter on monday afternoon.,,0,Documents,,No,online waitlist,,0,,,0.0,,,0.0, ,,0.0
