GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.","for years, woodsâ relationship with his longtime landlord has been deteriorating. about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",100,Named_Person,Named_Person,Yes,bryant woods,bryant woods,100,,,0.0,"one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter.",tenant facing eviction due to property conditions and verbal agreement with landlord,0.02042144536972046," one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter.", tenant facing eviction due to property conditions and verbal agreement with landlord,0.02042144536972046
"he couldn’t prove his missed rent payments were part of a verbal agreement, so the judge granted the property owner’s request and told woods his family had 10 days to move.",,0,Anonymous_Source,,No,judge,,0,,,0.0,,,0.0, ,,0.0
"the cash didn’t make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.","the cash didnât make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,one of the courtâs judges,0.7229598164558411,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",co-founder of the mediation program; advocate for housing court,0.5325846672058105,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges co-founder of the mediation program; advocate for housing court,0.5215929746627808
but henderson has been happy with the results since then.,,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
"recently, mals worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, henderson said.","the cash didnât make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,one of the courtâs judges,0.7229598164558411,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",co-founder of the mediation program; advocate for housing court,0.5325846672058105,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges co-founder of the mediation program; advocate for housing court,0.5215929746627808
though the program has only helped a couple of tenants so far — not 300 — henderson believes it’s already proving its value.,,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
"there are no income limits or income requirements, if you’re a tenant who is having trouble with your landlord, you need to give us a call. … if you’re a landlord and you have a troublesome tenant … give us a call.","âthere are no income limits or income requirements,â henderson told a wlok-am audience earlier this summer.",97,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,one of the courtâs judges,0.7229598164558411,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",co-founder of the mediation program; advocate for housing court,0.5325846672058105,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges co-founder of the mediation program; advocate for housing court,0.5215929746627808
"nicole grida, the new mals ceo, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.",,0,Named_Person,,No,nicole grida,,0,"ceo, mals",,0.0,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0.0,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0.0
"for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help don’t yet know it exists.","for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help donât yet know it exists.",100,Named_Person,Named_Person,Yes,nicole grida,nicole grida,100,"ceo, mals",new mals ceo,0.6596519947052002,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",leader of malsâ mediation program efforts,0.17180001735687256,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",new mals ceo leader of malsâ mediation program efforts,0.522939920425415
"woods’ case, for instance, sounded like a perfect fit for mediation, henderson said, if only they’d found him before the eviction was filed.","woodsâ case, for instance, sounded like a perfect fit for mediation, henderson said, if only theyâd found him before the eviction was filed.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,one of the courtâs judges,0.7229598164558411,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",co-founder of the mediation program; advocate for housing court,0.5325846672058105,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges co-founder of the mediation program; advocate for housing court,0.5215929746627808
"“we could have drafted a document that ensured the landlord (followed the verbal agreement),” she said.","for years, woodsâ relationship with his longtime landlord has been deteriorating. about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",84,Named_Person,Named_Person,Yes,deborah henderson,bryant woods,14,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",tenant facing eviction due to property conditions and verbal agreement with landlord,0.48090165853500366,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", tenant facing eviction due to property conditions and verbal agreement with landlord,0.48090165853500366
"thankfully, he found something just in time — a three-bedroom townhouse in whitehaven with an “undesirable” exterior but is “fairly nice” inside.",,0,Anonymous_Source,,No,,,100,,,0.0,,,0.0, ,,0.0
"meanwhile, grida said mals is looking for other funders interested in backing the effort.",grida said mals is looking for other funders interested in backing the effort.,100,Named_Person,Named_Organization,No,nicole grida,memphis area legal services (mals),13,"ceo, mals",,0.0,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",nonprofit implementing the mediation program,0.2697335481643677,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.", nonprofit implementing the mediation program,0.2697335481643677
"henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. but, despite the rough start, she remains “very hopeful” for its future.",,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
,the nonprofit would then find tenants and landlords who seemed headed toward eviction and prevent at least 300 evictions â all in a year.,0,,Named_Organization,No,,memphis area legal services (mals),0,,,0.0,,nonprofit implementing the mediation program,0.0,, nonprofit implementing the mediation program,0.0
,"ultimately, mals wasnât able to launch the program in earnest until june.",0,,Named_Organization,No,,memphis area legal services (mals),0,,,0.0,,nonprofit implementing the mediation program,0.0,, nonprofit implementing the mediation program,0.0
,"recently, mals worked with a woman who was living in a house that 'should not be lived in by anyone' and was starting to fall behind on rent, henderson said.",0,,Named_Person,No,,deborah henderson,0,,one of the courtâs judges,0.0,,co-founder of the mediation program; advocate for housing court,0.0,,one of the courtâs judges co-founder of the mediation program; advocate for housing court,0.0
