SourcedStatement,SourceType,Name,Title,Justification
Mayor Breed's office did not respond to requests for comment.,Named Organization Sources,Mayor London Breed's Office,,official response (or lack thereof) to media inquiry
"the Coalition on Homelessness and other unhoused advocates planned to crash an encampment sweep in SoMa last Thursday, which had been scheduled for 12:30 p.m.",Named Organization Sources,Coalition on Homelessness,,advocacy efforts for unhoused people
the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Named Organization Sources,Department of Homelessness and Supportive Housing,,official data on shelter waitlist
"All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,”",Named Person Sources,Antonio Robinson,,personal experience with encampment sweeps and shelter services
"I don’t understand,”",Named Person Sources,Joey O’Brien,,personal experience with encampment sweeps and law enforcement
"Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule,”",Named Person Sources,Julian Highsmith,Communications and Policy Director for the Coalition on Homelessness,expertise on city protocols and advocacy for unhoused people
the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.”,Named Person Sources,Rachel Gordon,Public Works Spokesperson,official response to questions about protocol breaches
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Document Sources,Public Works policy,,official policy guiding encampment sweeps
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,federal survey (publishing organization not specified),,authoritative data on unhoused population and shelter capacity
"as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Document Sources,public records (secured by Hazel Williams),,evidence of potential breaches in protocol
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,witnessed by the reporter after a sweep in SoMa
"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Unnamed Group of People,unhoused people,,shared experience with the challenge of retrieving belongings
