SourcedStatement,SourceType,Name,Title,Justification
United Airlines advised passengers to leave even more time.,Named Organization Sources,United Airlines,,airline providing travel advice to its passengers
A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization Sources,United Airlines,,airline spokesperson clarifying a mistake in their advisory
"The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",Named Organization Sources,United Airlines,,airline spokesperson providing corrected travel advice
"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.",Named Organization Sources,Caltrans,,transportation officials providing information on road conditions near the airport
"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson providing travel numbers and advice
That’s 8.7% more than last year’s Labor Day weekend.,Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson providing travel numbers and advice
"This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson providing travel numbers and advice
"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson providing travel advice
"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson providing information on staffing
"“I have TSA Pre, so that should make it a little easier,”",Named Person Sources,Katelin Tharp,,a Bay Area resident who was booted from an overbooked flight to Boston and was trying again later
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,”",Named Person Sources,Ellie Mitchell,,a friend from the United Kingdom who was part of a group traveling together after working at a New York summer camp
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,”",Unnamed Group of People,quartet of friends,,a group of friends who had worked together at a New York summer camp and were traveling together after zigzagging across the country by plane
"“I have TSA Pre, so that should make it a little easier,”",Unnamed Group of People,Bay Area resident,,a Bay Area resident who was booted from an overbooked flight to Boston and was trying again later
