No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1,"A senior at North Country Union High School in Newport, Wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. Despite telling her not to touch it, Wilburn said the girl ‚Äúgrabbed‚Äù her hair.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,senior at North Country Union High School
2,"‚ÄúShe then told me that I felt like a sheep and she imitated the noises of one,‚Äù said Wilburn, a leader with the Vermont Student Anti-Racism Network.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,
3,"Once, when she was wearing a head covering because she was in the midst of braiding her hair, Wilburn said a student pulled it off and ran away in the school hall. When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort. “Later in the day, someone took it off me,” she said.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,
4,,,,,
5,"‚ÄúI wouldn‚Äôt be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,‚Äù",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,said in an email 
6,"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools ‚Äî not just in policies and norms but also in the form of microaggressions and racial bias.¬†",Named Person,Addie Lentzner,executive director of the student anti-racism network,
7,"‚ÄúI think it‚Äôs a huge problem in our schools and this bill would help address it,‚Äù Lentzner said.
",Named Person,Addie Lentzner,executive director of the student anti-racism network,
8,"Modeled after language promoted as the¬†CROWN Act¬†and already enacted in 23 other states, including New York and Maine, the bill aims to prevent ‚Äúan erasure and minimization of the experiences of marginalized people,‚Äù particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday.",Named Person,Saudia LaMont, Rep. D-Morristown,said during a preliminary vote on the bill
9,"She cited a 2023 study that found 66% of Black girls in predominantly white schools and 44% of Black girls in all schools report experiencing hair discrimination, and that the experiences typically happen before they are 10.",Named Person,Saudia LaMont, Rep. D-Morristown,
10,"For her daughter, it first occurred in pre-school. While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, ‚ÄúPlease ask to touch my hair.‚Äù",Named Person,Saudia LaMont, Rep. D-Morristown,
11,"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued. “So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said.",Named Person,Saudia LaMont, Rep. D-Morristown,daughter was reacting to several instances of students touching and petting her hair without her consent
12,"In another incident, her daughter‚Äôs dance teacher asked to have her recently installed braids taken out so the child‚Äôs hair could be put up in a bun to look like the majority of the other white kids in the class.",Named Person,Saudia LaMont, Rep. D-Morristown,
13,"LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process. It can take a day to wash, dry and detangle and protective styling, such as box braids or twists, can involve 8 to 22 hours of work.",Named Person,Saudia LaMont, Rep. D-Morristown,
14,"The bill is important, she said then, because ‚Äúhair type, textures, styles, protective hairstyles‚Äù are ‚Äúa symbol of one‚Äôs identity and ability to show up authentically,‚Äù which includes ‚Äúthe freedom to take pride in one‚Äôs appearance in ways people choose that feels in alignment with the traits that are associated with their race (and) improves confidence, self esteem, dignity and respect.‚Äù",Named Person,Saudia LaMont, Rep. D-Morristown,
15,"Black women’s hair is more likely to be perceived as unprofessional, she said, citing surveys. Many of them feel they must wear their hair straight in a job interview and report being sent home or denied a job because of their hair. The same kind of assumptions are used to prevent students with certain hairstyles from engaging in sports and other activities, she added.",Named Person,Saudia LaMont, Rep. D-Morristown,citing surveys
16,"‚ÄúHair and head coverings do not determine behavior, capacity or competency and people should not be penalized, discriminated against or treated as such,‚Äù she said.",Named Person,Saudia LaMont, Rep. D-Morristown,
17,"Hair discrimination is degrading, disrespectful and invades people‚Äôs privacy in deep ways, said one of the bill‚Äôs primary sponsors, Rep. Kevin ‚ÄúCoach‚Äù Christie, D-Hartford. He pointed to incidents of it nationwide that have challenged athletes, students and teachers.¬†",Named Person,Kevin ‚ÄúCoach‚Äù Christie,Rep. D-Hartford,one of the bill‚Äôs primary sponsors
18,"‚ÄúIt seems like a small bill but in actuality, it‚Äôs another big block in the foundation of equity in the state,‚Äù Christie said, adding that it pains him when families choose to leave Vermont after facing racial bullying, hazing and harassment.",Named Person,Kevin ‚ÄúCoach‚Äù Christie,Rep. D-Hartford,
19,"Representing Vermont‚Äôs most diverse community, Rep. Daisy Berbeco, D-Winooski, also a sponsor, told VTDigger the bill is an important step in advancing equity and ‚Äúa step in the right direction towards people feeling safe and welcome in our state, no matter where they are in Vermont.‚Äù",Named Person,Daisy Berbeco,Rep. D-Winooski,"represents Vermont's most diverse community, another bill sponsor "
20,"Rep. Mike Mrowicki, D-Putney, another bill sponsor, said he has heard from constituents who have faced discrimination due to their hair.",Named Person,Mike Mrowicki,Rep. D-Putney,another bill sponsor 
21,"With the population and demographic of Vermont fast changing, this bill is a common sense effort to make sure that residents are not ostracized or mistreated because of who they are, he said.",Named Person,Mike Mrowicki,Rep. D-Putney,
22,"‚ÄúThe reality that people of color are often ostracized or mistreated because of their hair. It can be as seemingly innocent as people wanting to touch it ‚Äî which is really an invasion of people‚Äôs space,‚Äù he said.",Named Person,Mike Mrowicki,Rep. D-Putney,
