No,Sourced Statements,Type of source,Name of Source,Title of Source,Source Justification,,,,,,,,,,,,,,,,,
1,"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel. ",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,
2,"It’s also close to the number of travelers SFO saw in 2019, just months before the pandemic. This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person,Doug Yakel,SFO spokesperson,said by email,,,,,,,,,,,,,,,,,
3,"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,
4,"United Airlines advised passengers to leave even more time.
",Named Organization,United Airlines,,The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight that warned of long security lines and recommended arriving three hours early.,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization,United Airlines,,The spokesperson shared a corrected advisory ,,,,,,,,,,,,,,,,,
7,"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,
8,"“I have TSA Pre, so that should make it a little easier,” said Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University. She was ready to try again later. “So, I’ll be hanging out for a little bit.”
",Named Person,Katelin Tharp,Bay Area resident,who on Thursday was booted from an overbooked flight to Boston,,,,,,,,,,,,,,,,,
9,"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.
",Named Person,Ellie Mitchell,,"They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp. ",,,,,,,,,,,,,,,,,
10,"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,
11,"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.
",Named Organization,Caltrans,Caltrans officials,,,,,,,,,,,,,,,,,,
