No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification,,,,,,,,,,,,,,,,,,,,,,
1,"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel. ",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,,,,,,
2,"It’s also close to the number of travelers SFO saw in 2019, just months before the pandemic. This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person,Doug Yakel,SFO spokesperson,said by email,,,,,,,,,,,,,,,,,,,,,,
3,"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,,,,,,
4,"United Airlines advised passengers to leave even more time.
",Named Organization,United Airlines,,The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight that warned of long security lines and recommended arriving three hours early.,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization,United Airlines,,The spokesperson shared a corrected advisory ,,,,,,,,,,,,,,,,,,,,,,
7,"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,,,,,,
8,"“I have TSA Pre, so that should make it a little easier,” said Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University. She was ready to try again later. “So, I’ll be hanging out for a little bit.”
",Named Person,Katelin Tharp,Bay Area resident,who on Thursday was booted from an overbooked flight to Boston,,,,,,,,,,,,,,,,,,,,,,
9,"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.
",Named Person,Ellie Mitchell,,"They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp. ",,,,,,,,,,,,,,,,,,,,,,
10,"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible, Yakel said.",Named Person,Doug Yakel,SFO spokesperson,,,,,,,,,,,,,,,,,,,,,,,
11,"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.
",Named Organization,Caltrans,Caltrans officials,,,,,,,,,,,,,,,,,,1,"And company insiders worry that Apple, despite its years of gravity-defying profits, is hamstrung by the political infighting, penny pinching and talent drain that often bedevil large companies, according to more than a dozen former and current employees and advisers",Unnamed Group of People ,,,Former and current employees and advisers
12,"And company insiders worry that Apple, despite its years of gravity-defying profits, is hamstrung by the political infighting, penny pinching and talent drain that often bedevil large companies, according to more than a dozen former and current employees and advisers",Unnamed Group of People ,,,Former and current employees and advisers,,,,,,,,,,,,,,,,,,,,,,
13,"While Vision Pro sales have been disappointing, Apple’s issues with Apple Intelligence exposed dysfunction inside the organization.",Document,,,,,,,,,,,,,,,,,,,,,,,,,
14,"In a nearly two-hour video presentation last summer, Apple demonstrated how the A.I. product would summarize notifications and offer writing tools to improve emails and messages. It also revealed an improved Siri virtual assistant that could combine information on a phone, like a message about someone’s travel itinerary, with information on the web, like a flight arrival time.",Named Organization,Apple,,,,,,,,,,,,,,,,,,,,,,,,
15," Notification summaries misrepresented news reports, leading Apple to disable that feature. ",Document,,,,,,,,,,,,,,,,,,,,,,,,,
16," Then, last month, the company postponed the spring release of an improved Siri because internal testing found that it was inaccurate on nearly a third of requests, said three people familiar with the project who spoke on the condition of anonymity.",Anonymous Source,,,said three people familiar with the project who spoke on the condition of anonymity.,,,,,,,,,,,,,,,,,,,,,,
17," Apple’s software chief, told employees that the company would reshuffle its executives, removing responsibility for developing the new Siri from John Giannandrea, the company’s head of A.I., and giving it to Mike Rockwell, the head of its Vision Pro headset.",Named Person,Craig Federighi,Apple's software cheif,,,,,,,,,,,,,,,,,,,,,,,
18,"“Apple needs to understand what happened because this is bigger than just rearranging the deck chairs,”... “If ever there’s been an example of over-promising and under-delivering, it’s Apple Intelligence.” It was the first time in years that Apple hadn’t shipped a product it had unveiled. *full quote",Named Person,Michael Gartenberg,Technology analyst ,previously worked as a product marketer at Apple,,,,,,,,,,,,,,,,,,,,,,
19,Some details of Apple’s changes to its Siri team and challenges were previously reported by Bloomberg and The Information.,Named Organization,Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,
20,"The A.I. stumble was set in motion in early 2023. Mr. Giannandrea, who was overseeing the effort, sought approval from the company’s chief executive, Tim Cook, to buy more A.I. chips, known as graphics processing units, or GPUs, five people with knowledge of the request said.",Unnamed Group of People,,,People with knowledge of the request,,,,,,,,,,,,,,,,,,,,,,
21,"At the time, Apple’s data centers had about 50,000 GPUs that were more than five years old — far fewer than the hundreds of thousands of chips being bought at the time by A.I. leaders like Microsoft, Amazon, Google and Meta, these people said.",Unnamed Group of People,,,People with knowledge of the request,,,,,,,,,,,,,,,,,,,,,,
22,"Mr. Cook approved a plan to double the team’s chip budget, but Apple’s finance chief, Luca Maestri, reduced the increase to less than half that, the people said. Mr. Maestri encouraged the team to make the chips they had more efficient.",Unnamed Group of People,,,People with knowledge of the request,,,,,,,,,,,,,,,,,,,,,,
23,"The lack of GPUs meant the team developing A.I. systems had to negotiate for data center computing power from its providers like Google and Amazon, two of the people said.",Unnamed Group of People,,,two of the people,,,,,,,,,,,,,,,,,,,,,,
24,"After this article was published, Trudy Muller, an Apple spokeswoman, said the company had fulfilled Mr. Giannandrea’s budget request for GPUs over time rather than all at once. She said Mr. Maestri had never asked the team to make its chips more efficient.",Named Person,Trudy Muller,Apple spokeswoman,,,,,,,,,,,,,,,,,,,,,,,
25,"At the same time, leaders at two of Apple’s software teams were battling over who would spearhead the rollout of Siri’s new abilities, three people who worked on the effort said.",Unnamed Group of People,,,three people who worked on the effort,,,,,,,,,,,,,,,,,,,,,,
26,"Mr. Giannandrea, who joined the company in 2019 from Google, had never led the launch of a high-profile product like the improved Siri",Document,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Mr. Cook, 64, who has a background in operations, has been hesitant over the years to provide clear and direct guidance on product development,",Unnamed Group of People,,,three people familiar with the way the company operates.,,,,,,,,,,,,,,,,,,,,,,
28,"“It’s clearly a breakdown of leadership and communication and internal processes,” said Benedict Evans, an independent analyst who previously worked as a venture capitalist at Andreessen Horowitz.
",Named Person,Benedict Evans,Independent analyst,previously worked as a venture capitalist at Andreessen Horowitz,,,,,,,,,,,,,,,,,,,,,,
29,"The company plans to release a virtual assistant in the fall capable of doing things like editing and sending a photo to a friend on request, three people with knowledge of its plans said.",Unnamed Group of People,,,three people with knowledge of its plans,,,,,,,,,,,,,,,,,,,,,,
30,"Some of Apple’s leaders don’t think the delay is a problem because none of Apple’s rivals, like Google and Meta, have figured out A.I. yet, these people said. ",Unnamed Group of People,,,three people with knowledge of its plans,,,,,,,,,,,,,,,,,,,,,,
31,"The incompetency determination comes three months after a finding from December when Jahmed Haynes, 48, was determined to be competent after receiving treatment at the Western State Hospital in Pierce County.",Document,,,none,,,,,,,,,,,,,,,,,,,,,,
32,"I'm mad about having to go round and round,"" said Melanie Roberts, Ruth Dalton's granddaughter. ""We are no better off than in September, the first time they got him to appear in court. I think the system is broken. I think he’s competent. I think he’s always been competent.",Named Person,Melanie Roberts,Victim's granddaughter,none,,,,,,,,,,,,,,,,,,,,,,
33,"At a hearing on Thursday, there was a brief discussion about whether Haynes would be ordered to take his medication while in custody. Judge Averil Rothrock said that any order to forcibly give him mediation as part of treatment would have to be resolved at a later hearing.",Named Person,Averil Rothrock,King County Superior Court Judge,none,,,,,,,,,,,,,,,,,,,,,,
34,"If he chooses not to medicate himself, he is making a choice not to be competent and not to be compliant,” Roberts said. “Somebody in this court system needs to put their foot down and make him take his meds.",Named Person,Melanie Roberts,Victim's granddaughter,none,,,,,,,,,,,,,,,,,,,,,,
