SourcedStatement,SourceType,Name,Title,Justification
The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form.,Named Organization Sources,Alameda County,,"party in the court case, presenting a counterargument to Tonya Love’s petition"
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,responsible for the administrative process of ballot creation and distribution
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Named Organization Sources,East Oakland Collective nonprofit,,example of a community organization supporting Tonya Love’s campaign
"While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote.",Named Person Sources,Tonya Love,"District 7 council candidate, former district director for California Assemblymember Rob Bonta, and current chief of staff for Councilmember Carroll Fife","primary subject of the article, reacting to the court’s decision"
"My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,author of the ruling on Tonya Love’s petition
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton and a would-be candidate for the district seat,example of another candidate affected by the signature gathering process
The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Document Sources,Elections Code and Oakland Ordinances,,cited as the governing legislation for the nomination process
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document Sources,Voter’s Choice Act,,referenced to explain voting flexibility
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Unnamed Group of People,community members,,mentioned as part of the community reacting to Tonya Love's Instagram post
"A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot, among them Ken Houston.",Unnamed Group of People,candidates,,part of the context explaining the challenges of gathering signatures in a short timeframe
Registered voters on Election Day can cast their ballots at any vote center in Alameda County.,Unnamed Group of People,registered voters,,used to explain the Voter’s Choice Act
