No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"Shaw, the chairman of the board, provided the only comment: “I would like to say this has been a long, difficult case, and I want to thank all the parties, and especially thank our staff for the diligence, hard work, and all the parties for just the professionalism and decorum shown on this case.”",named individual,,Jason Shaw,"Chairman of the board, Georgia Public Service Commission ",
2,"The decision disappointed the landowners, who were not allowed to speak at the meeting but issued a statement vowing to continue fighting to keep their land by appealing in court.",Unnamed group of people,,Landowners,,
3,"Blaine Smith, a Black man who is one of the heirs of 600 acres that came into their family in the 1920s, said in a statement: “We’re determined to keep fighting against this attempt to take our ancestral land from us.”",named individual,,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
4,"“We want to keep our property whole, so we can pass it down to our children and they can continue to build generational wealth,” Smith added.",named individual,,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
4,"The construction would also have an impact on other Black residents in the community, who believe it would affect their quality of life.",unnamed group of people,,other Black residents,,
5,"But, some legal experts and landowners told Capital B that Black communities aren’t experiencing “just” and “fair” processes and say there needs to be more accountability to stop government abuse of eminent domain.",unnamed group of people,,legal experts and landowners,,
6,"“As Black people, ownership of land and property is more valuable than a dollar amount because it allows a certain type of economic freedom that we are often deprived of,” attorney Sharika Robinson told Capital B last year. “I don’t know what is ‘just’ about replacing that economic liberty with a dollar amount that will not increase in value.”",named individual,,Sharika Robinson,attorney,
7,"“Georgia law does not permit a private company to take land through eminent domain unless the land will be put to a public use,” said Bill Maurer, senior attorney for Institute for Justice who represents the landowners. “Building a rail spur that will only be used by a few private companies, and not the public at large, is not a public use. We look forward to making it clear to the court that the [Public Service Commission] made an error in considering Sandersville’s land grab as a public use.”",named individual,,Bill Maurer,senior attorney for Institute for Justice,"The property owners are represented by the nonprofit Institute for Justice, a public interest law firm. 
"
8,"Benjamin Tarbutton III, the owner of Sandersville Railroad, has contended this development is expected to create 20 temporary construction jobs, a dozen permanent jobs with an average salary and benefits package of $90,000, and generate over $1.5 million annually for Hancock County.",named individual,,Benjamin Tarbutton III,"Owner, Sandersville Railroad",
9,Other residents told Capital B they feared potential damage to their homes from the train.,unnamed group of people,,Other residents,,
10,"There are also environmental concerns, said Jamie Rush, senior staff attorney with the Southern Poverty Law Center’s Economic Justice Project who represents the No Railroad In Our Community Coalition, a coalition of residents who aren’t losing their property to the railroad but will be affected by the train.",named individual,,Jamie Rush,"senior staff attorney, Southern Poverty Law Center’s Economic Justice Project",who represents the No Railroad In Our Community Coalition
11,"“The reality is if you’ve ever lived near a train, or you’ve ever ridden on a train or been near a train, it’s not the same as trucks driving by,” Rush said last year. “Even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.”",named individual,,Jamie Rush,"senior staff attorney, Southern Poverty Law Center’s Economic Justice Project",who represents the No Railroad In Our Community Coalition
12,"In April, Capital B reported that Thomas K. Bond, a hearing officer with the Georgia Public Service Commission, approved Sandersville’s request to move forward with condemning properties to construct their railroad spur.
",Named Organization,,Capital B,,
13,"“The proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,” Bond wrote. “The petition of Sandersville Railroad, as amended, is granted.”",named individual,,Thomas K. Bond,"hearing officer,  Georgia Public Service Commission",
14,"Two weeks after the hearing, Georgia state Rep. Spencer Fyre sent a letter to the commission describing the land acquisition as a “heist attempt,” where private businesses are looking to increase their profits by taking folks’ land despite their resistance to sell.",Document,,letter,,Georgia state Rep. Spencer Fyre sent a letter to the commission 
15,"“I truly hate to have to say this, but if David v. Goliath had been decided by the GA Public Service Commission, they’d have confiscated David’s slingshot and handed it to the Philistines,” Fyre wrote.",Document,,letter,,Georgia state Rep. Spencer Fyre sent a letter to the commission 
