No,Sourced Statements ,Type of source,Anomynity (Y/N),Name of Source,Title of Source,Source Justification
1,"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.
",Named Organization,,OpenAI,,the company said on its website.
2,"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.
",Document,,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
3,"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.
",Document,,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
4,"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”
",Document,,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
5,"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.
",Unnamed Individual,Y,,,A person involved in the conversations
6,"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations. ",Unnamed Individual,Y,,,according to two people familiar with the board’s deliberations.
7,The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Document,,,,
8,"That scientist and other researchers went to the board to try to push Mr. Altman out. After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.
",Unnamed Individual,Y,,,according to three people familiar with the attempt to push Mr. Altman out.
9,"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person,,Sally Aldous,Anthropic spokeswoman,
10,"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”
",Named Organization,,Anthropic,,"a second statement,"
11,"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Unnamed Individual,Y,,,said the two people familiar with the board’s deliberations.
12,"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.
",Unnamed Individual,Y,,,according to three people who were on the call.
13,"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman. This, he said, violated the members’ responsibilities.
",Unnamed Individual,Y,,,according to three people who were on the call.
14,"Ms. Toner disagreed. The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission. In the board’s view, OpenAI would be stronger without Mr. Altman.
",Unnamed Individual,Y,,,according to three people who were on the call.
15,"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange. ",Unnamed Individual,Y,,,according to two people familiar with the exchange. 
16,The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization,,The Wall Street Journal,,
17,"At 5:15 a.m. on Monday, he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”
",Named Person,,Ilya Sutskever,,Posted on X
