SourcedStatement,SourceType,Name,Title,Justification
"They planned to raise money from private donors for their mission. But within a few years, they realized that their computing needs required much more funding than they could raise from individuals.",Named Organization Sources,OpenAI,,planned to raise money from private donors for their mission
"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft.",Named Organization Sources,OpenAI,,"created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft"
"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.",Named Organization Sources,OpenAI,,the company said on its website
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Organization Sources,Anthropic,,"an Anthropic spokeswoman, Sally Aldous, said"
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person Sources,Sam Altman,Chief Executive,weeks before he was ousted as its chief executive
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person Sources,Sam Altman,Chief Executive,made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person Sources,Ilya Sutskever,Board Member,thought Mr. Altman was not always being honest when talking with the board
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person Sources,Ilya Sutskever,Board Member,who had worked closely with Mr. Altman at OpenAI for eight years
Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive.,Named Person Sources,Sam Altman,Chief Executive,reinstated as chief executive
"Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Ilya Sutskever,Board Member,critical of Mr. Altman
"The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora.",Named Person Sources,Adam D’Angelo,Chief Executive,"chief executive of the question-and-answer site, Quora"
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Named Person Sources,Greg Brockman,President and Board Chairman,quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman
The board had told Mr. Brockman that he would no longer be OpenAI’s chairman but invited him to stay on at the company — though he was not invited to the meeting where the decision was made to push him off the board and Mr. Altman out of the company.,Named Person Sources,Greg Brockman,President and Board Chairman,told Mr. Brockman that he would no longer be OpenAI’s chairman but invited him to stay on at the company
"In 2015, Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity.",Named Person Sources,Sam Altman,Chief Executive,"teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity"
"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft.",Named Person Sources,Elon Musk,,left in 2018
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person Sources,Helen Toner,Board Member and Director of Strategy,a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology
"A few weeks before Mr. Altman’s firing, he met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.",Named Person Sources,Helen Toner,Board Member and Director of Strategy,met with Ms. Toner to discuss a paper she had co-written for the Georgetown center
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person Sources,Sam Altman,Chief Executive,said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person Sources,Helen Toner,Board Member and Director of Strategy,defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person Sources,Sam Altman,Chief Executive,wrote in the email
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person Sources,Ilya Sutskever,Board Member,read to Mr. Altman
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person Sources,Sally Aldous,Spokeswoman,an Anthropic spokeswoman
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Person Sources,Sally Aldous,Spokeswoman,an Anthropic spokeswoman
