SourcedStatement,SourceType,Name,Title,Justification
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter.",Named Organization Sources,Crime Research Group,,A study by the Vermont nonprofit
"Groundworks Collaborative, for example, helps local people without permanent housing.",Named Organization Sources,Groundworks Collaborative,,for example
Turning Point of Windham County,Named Organization Sources,Turning Point of Windham County,,
Southeastern Vermont Community Action,Named Organization Sources,Southeastern Vermont Community Action,,
Jaws dropped.,Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,recounted at a recent public meeting
"The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones.",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,recently told the town selectboard
"Compared to communities your size, you are consistently higher.",Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative; former commander of the Vermont State Police and one-time Rutland City police chief,recently told local leaders
"The disorder we are witnessing, especially in our downtown area, has many causes and impacts.",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,wrote the selectboard in a recent memorandum
"Unfortunately, many of those are providers, which creates a huge, huge problem.",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,said
This is something that we see in a lot of different jurisdictions.,Named Person Sources,Robin Joy,statistical director of the Crime Research Group,told local leaders at another meeting
We need to consider our own boundaries around increasing safety and reducing risks.,Named Person Sources,Libby Bennett,Groundworks executive director,said upon this April’s first anniversary of the death
"All of us area agencies, we are doing everything humanly possible that we can do.",Named Person Sources,Christine Allen,executive director of Turning Point of Windham County,said
It was an epiphany.,Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,said
We were looking at real information that made us have some quite difficult conversations.,Named Person Sources,Daniel Quipp,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action,said following the session
This points to a need to collaborate beyond your borders.,Named Person Sources,Robin Joy,statistical director of the Crime Research Group,said
"You have a lot of people looking for help, but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.",Unnamed Group of People,people,,Evans said
