No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1,,,,,
2,"""I fell in love,"" Williams said at this morning's press conference for the 2026 Met Gala and exhibition, ""Costume Art."" ""I fell in love with watching something come to life like that, and it gave me a deep appreciation for fashion at its core: how it's made, how it moves, how it makes you feel, and how it tells a story. And how, a lot of times, as we'll see, it makes history.""",Named Person,Venus Williams,Co-chair for the 2026 Met Gala,"Williams, who serves as a co-chair for the 2026 Met Gala, is no stranger to making history—for both her athletic prowess and her confident, expressive approach to dressing on and off the court. For that reason, she makes an ideal steward for this year's exhibition, which explores the way fashion and art have depicted the human body, and what that, then, says about the body's role in culture and society."
3,"""Fashion distinguished me from my fellow players because it was a contest,"" she said with a sly smile. ""About power, strength, will, skill, and being the best-dressed. And I tried to win it all. It also allowed me to connect with passionate fans across the world,"" she said. ""But most of all, it allowed me to connect to myself.""",Named Person,Venus Williams,Co-chair for the 2026 Met Gala,"Williams, who serves as a co-chair for the 2026 Met Gala, is no stranger to making history—for both her athletic prowess and her confident, expressive approach to dressing on and off the court. For that reason, she makes an ideal steward for this year's exhibition, which explores the way fashion and art have depicted the human body, and what that, then, says about the body's role in culture and society."
4,"From the homemade tennis skirt to full-fledged fashion icon, Williams has come to not just embrace the joys of getting dressed daily, but to understand its more profound effects.",Named Person,Venus Williams,Co-chair for the 2026 Met Gala,"Williams, who serves as a co-chair for the 2026 Met Gala, is no stranger to making history—for both her athletic prowess and her confident, expressive approach to dressing on and off the court. For that reason, she makes an ideal steward for this year's exhibition, which explores the way fashion and art have depicted the human body, and what that, then, says about the body's role in culture and society."
5,"""Something that I've admired about clothing and dress is that it has the power to do two things,"" she said. ""It reminds us of the characteristics and experiences that we all share, and, at the same time, it reveals something new about ourselves and about the world around us.""",Named Person,Venus Williams,Co-chair for the 2026 Met Gala,"Williams, who serves as a co-chair for the 2026 Met Gala, is no stranger to making history—for both her athletic prowess and her confident, expressive approach to dressing on and off the court. For that reason, she makes an ideal steward for this year's exhibition, which explores the way fashion and art have depicted the human body, and what that, then, says about the body's role in culture and society."
6,"""This is truly a significant moment for the institution's history,"" said Max Hollein, the museum's director and CEO. ""These new galleries—now at the heart of our two-million-square-foot building and this magnificent exhibition clearly make a statement: fashion is art. This is, of course, something that we've long believed and pursued here at The Met over our 156-year history with rigor and breadth like no other museum.""",Named Person,Max Hollein,Museum's director and CEO,
7,"""The history of art has always been, in no small measure, a history of the dressed body,"" said Bolton, nattily dressed in a Thom Browne suit. ""Across the museum's collection, spanning more than 5,000 years and cultures from around the world, one constant remains: the human figure. And more precisely the dressed body,"" he went on. ""It appears draped, wrapped, tailored, armored, incised, painted, and otherwise fashioned. Traces of lives once lived, bodies once present.""",Named Person,Andrew Bolton,Curator in charge of the Costume Institute,
8,"As Williams pointed out, Bolton stressed how clothing is an opportunity to shape not just one's body, but one's identity.",Named Person,Venus Williams,Co-chair for the 2026 Met Gala,"Williams, who serves as a co-chair for the 2026 Met Gala, is no stranger to making history—for both her athletic prowess and her confident, expressive approach to dressing on and off the court. For that reason, she makes an ideal steward for this year's exhibition, which explores the way fashion and art have depicted the human body, and what that, then, says about the body's role in culture and society."
9,"""Even in its absence, dress persists in ideals of beauty, in systems of meaning, in the ways bodies are imagined and understood. Clothing is never neutral. It mediates between the self and the world, expressing who we are, where we belong, and how we wish to be seen.""",Named Person,Andrew Bolton,Curator in charge of the Costume Institute,
10,,,,,
11,"""At once deeply personal and profoundly social, [fashion] is woven into the very fabric of the museum's collections. And 'Costume Art' begins with this premise. It implores us to see the dressed body not only as an object of representation, but as a subject of experience, a medium through which the history of art can be reimagined.""",Named Person,Andrew Bolton,Curator in charge of the Costume Institute,
12,"A spokesperson said the latest expansion covers approximately 60 square miles, bringing Waymo's total Bay Area service area to more than 330 square miles.",Named Organization,Waymo,,Driverless vehicles will soon be a more common sight in the West Valley as autonomous ride-sharing company Waymo expands into the region
13,"""As San Jose and other cities prepare to host global events like the FIFA World Cup, the expanded footprint will also help both residents and visitors move around the city safely and efficiently,"" spokesperson Sandy Karp told San José Spotlight.",Named Person,Sandy Karp,Spokesperson,
