No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1,"A spokesperson said the latest expansion covers approximately 60 square miles, bringing Waymo's total Bay Area service area to more than 330 square miles.",Named Person,Sandy Karp,Spokesperson,
2,"""As San Jose and other cities prepare to host global events like the FIFA World Cup, the expanded footprint will also help both residents and visitors move around the city safely and efficiently,"" spokesperson Sandy Karp told San José Spotlight.",Named Person,Sandy Karp,Spokesperson,
3,Campbell Mayor Dan Furtado said the city manager is setting up a meeting with a Waymo representative for a later date.,Named Person,Dan Furtado,Campbell Mayor,
4,"""All I know is Waymo is planning to come, I only know what I've read in the news,"" Furtado told San José Spotlight.",Named Person,Dan Furtado,Campbell Mayor,
5,"Elected leaders in the West Valley said they see potential benefits in the technology, including safer driving behavior and improved transportation access. But they have also raised questions about accountability, public transit competition and how residents will respond as driverless cars enter smaller cities.",Unnamed Group of People,,elected leaders in West Valley,
6,"After meeting with a Waymo representative, Los Gatos Mayor Rob Moore said he was surprised to learn local municipalities have no authority over autonomous vehicle operations. The California Department of Motor Vehicles and California Public Utilities Commission handle all approvals.",Named Person,Rob Moore,Los Gatos Mayor,
7,"Moore said Waymo previously told him Los Gatos could potentially see the company's autonomous vehicles operating within the next several months; Still, he said he sees potential safety benefits in autonomous vehicle technology.",Named Person,Rob Moore,Los Gatos Mayor,
8,"""I think the safety value proposition is undeniable,"" Moore told San José Spotlight. ""The autonomous vehicles, statistically, already are much safer than human drivers.""",Named Person,Rob Moore,Los Gatos Mayor,
9,"At the same time, he said questions remain about liability and how communities would react if a serious collision involving a driverless vehicle happened in Los Gatos. ""I don't know how a community like Los Gatos would react to that,"" he said. ""I don't know how Waymo would respond in return. So I think there's a lot of uncertainty.""",Named Person,Rob Moore,Los Gatos Mayor,
10,"Cupertino Mayor Kitty Moore said city officials are also approaching Waymo cautiously as they wait to see how the technology performs on local streets. She said Waymo representatives told city officials the vehicles generally approach intersections slower than human drivers, particularly in situations where visibility may be blocked.",Named Person,Kitty Moore,Cupertino Mayor,
11,"""We'll need to observe and ensure that it's safe,"" she told San José Spotlight. ""(Waymo) has let us know that they're safer in their belief than a typical driver when they approach an intersection.""",Named Person,Kitty Moore,Cupertino Mayor,
12,"Kitty Moore said she is watching closely to see whether Waymo could eventually compete with services like SV Hopper, particularly among older adults seeking private rides.",Named Person,Kitty Moore,Cupertino Mayor,"Cupertino officials are already investing in alternatives to traditional public transit through the SV Hopper microtransit program, which offers low-cost shared rides throughout Cupertino and parts of Santa Clara."
13,"In Los Gatos, Rob Moore said he hopes autonomous vehicles could eventually complement rather than replace public transportation options. He pointed to the nearby light rail station in Campbell, which some residents struggle to access without a car. He said Waymo could potentially serve as a ""first mile, last mile"" option to help riders connect to public transit.",Named Person,Rob Moore,Los Gatos Mayor,
14,"""I'm really interested in the ways in which Waymo could, instead of hurting the public transportation system, instead be a value add,"" he said.",Named Person,Rob Moore,Los Gatos Mayor,
