SourcedStatement,SourceType,Name,Title,Justification
"Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year).",Named Organization Sources,Groundworks Collaborative,,Local nonprofit providing social services and housing support
"Turning Point of Windham County. “We are so straight out, working our tails off — and we can’t do this without the police.”",Named Organization Sources,Turning Point of Windham County,,Local social service agency collaborating with law enforcement
"Southeastern Vermont Community Action, (Daniel Quipp is a staff member)...",Named Organization Sources,Southeastern Vermont Community Action,,Antipoverty agency with staff involved in local governance and social service discussions
"Vermont State Police, (Jim Baker is a former commander)...",Named Organization Sources,Vermont State Police,,"State law enforcement agency, mentioned for context on a source’s background"
Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn...,Named Organization Sources,Crime Research Group,,Vermont nonprofit analyzing crime data to inform public safety strategies
"“Jaws dropped,” Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting.",Named Person Sources,Jim Baker,Consultant for State Public Safety Enhancement Initiative,"Expert in public safety, former commander of the Vermont State Police and one-time Rutland City police chief"
"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,” Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard.",Named Person Sources,Jeremy Evans,Assistant Police Chief,Authority on Brattleboro’s policing and public safety challenges
"“This is something that we see in a lot of different jurisdictions,” Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting.",Named Person Sources,Robin Joy,"Statistical Director, Crime Research Group",Expert in crime statistics and research
"“We need to consider our own boundaries around increasing safety and reducing risks,” Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death.",Named Person Sources,Libby Bennett,"Executive Director, Groundworks Collaborative","Leader of a local social service agency, reflecting on safety concerns"
"“All of us area agencies, we are doing everything humanly possible that we can do,” Christine Allen, executive director of Turning Point of Windham County, said.",Named Person Sources,Christine Allen,"Executive Director, Turning Point of Windham County","Leader of a local social service agency, expressing challenges"
"“We were looking at real information that made us have some quite difficult conversations,” Daniel Quipp said following the session.",Named Person Sources,Daniel Quipp,"Chair of the Selectboard, Staff Member of Southeastern Vermont Community Action",Local leader participating in discussions on addressing disorderly conduct
"According to police, the Brattleboro individual most reported (identified only as someone cited in 63 calls for the first half of this year) was acting criminally just 14% of the time.",Document Sources,Municipal Statistics/Policing Data,,Official policing data for the first half of the year
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year)...",Document Sources,Crime Research Group Study,,Study by a Vermont nonprofit analyzing police dispatch data
"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,”",Unnamed Group of People,null,,Witnesses of disorder in the downtown area
"“All of us area agencies, we are doing everything humanly possible that we can do,”",Unnamed Group of People,Area Agencies,,Local social service providers working together
"“We were looking at real information that made us have some quite difficult conversations,”",Unnamed Group of People,Meeting Attendees (providers and selectboard members),,Attendees of a meeting discussing solutions for Brattleboro’s disorderly conduct
