SourcedStatement,SourceType,Name,Title,Justification
"The AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant which they will jointly distribute to tenant associations at privately owned, federally subsidized multifamily housing.",Named Organization Sources,AIDS Healthcare Foundation,,the AIDS Healthcare Foundation (AHF)
"The U.S. Department of Housing and Urban Development (HUD) gave the AIDS Healthcare Foundation (AHF), along with the Massachusetts Alliance of HUD Tenants, a $10 million grant",Named Organization Sources,U.S. Department of Housing and Urban Development,,the U.S. Department of Housing and Urban Development (HUD)
"We find that new construction differentially declined in the upzoned, affordability-mandated areas,"" they write. ""Developers intentionally avoided MHA-zoned areas – despite their upzoning– opting instead to build on nearby blocks without affordability requirements.""",Named Person Sources,Jacob Krimmel and Betty X. Wang,researchers,researchers Jacob Krimmel and Betty X. Wang
Tim Scott wants to deregulate manufactured housing,Named Person Sources,Tim Scott,Sen.,Sen. Tim Scott (R–S.C.)
Christian Britschgi's weekly newsletter on urban issues.,Named Person Sources,Christian Britschgi,,
"A detailed Los Angeles Times investigation published in November 2023 reported a number of issues at AHF-owned properties, including apartments infested with cockroaches, exploding radiators, water shut-offs so regular that tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Document Sources,Los Angeles Times,,a detailed Los Angeles Times investigation published in November 2023
"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Document Sources,District's Department of Housing and Community Development,,according to the District's Department of Housing and Community Development
"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Document Sources,DHCD,,according to DHCD
"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Document Sources,Apartment and Office Building Association,,the report [ by Apartment and Office Building Association] concludes
"A former AHF employee described the living conditions at foundation properties as ""inhumane.""",Unnamed Group of People,former AHF employee,,former AHF employee
"Tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Unnamed Group of People,tenants,,tenants of one its Los Angeles buildings
"HUD told me in a statement that AHF ""is part of a team that applied for these awards. The team is not only eligible, but the best qualified applicant.""",Anonymous Sources,,,HUD told me in a statement
