No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"A federal court has finally weighed in on the sensitive topic of congressional member pay, ruling that lawmakers acted improperly in repeatedly canceling cost-of-living adjustments.
",Unnamed Group of People,,federal court,,
2,"But U.S. Court of Federal Claims Judge Eric Bruggink wrote in an opinion that those votes run afoul of the 27th Amendment, which says any adjustment to congressional pay cannot apply until after an intervening election.

",Named Person,Eric Bruggink,U.S. Court of Federal Claims Judge,,
3,"Many of the plaintiffs have publicly argued that congressional pay simply isn't high enough to compete with private-sector opportunities for high-achieving Americans.
",Unnamed Group of People,,Plaintiffs,,
4,"Rep. Steny Hoyer (D-Md.), one of the plaintiffs, said in a Thursday interview that the ruling made “clear that what we were doing is not constitutional.”
",Named Person,Steny Hoyer,"Republican Representative, Oklahoma",,plaintiff
5,"“There’s some irony in the idea that maybe what’s going to finally make this happen is Congress turning to an entire other branch of the government to do something that they themselves could choose to do, and in fact have decided not to,” said Molly Reynolds, a Brookings Institute fellow who specializes in congressional matters.

",Named Person,Molly Reynolds,Brookings Institute fellow,,specializes in congressional matters
6,"Bruggink said multiple questions still must be litigated that could dictate how much members might be owed, including whether the past COLA cancellations are entirely void or simply delayed in their effect.

",Named Person,Eric Bruggink,U.S. Court of Federal Claims Judge,,
7,"“I wouldn't expect members of Congress to see their next paycheck go up,” said Daniel Schuman, executive director of the nonpartisan American Governance Institute. “What this court is dealing with is the lawsuit for back pay.”
",Named Person,Daniel Schuman,"Executive Director, nonpartisan American Governance Institute",,
8,"Plaintiffs have previously argued that someone like Hoyer, who has served continuously since the COLA law went into effect, is owed as much as $420,000.

",Unnamed Group of People,,Plaintiffs,,
9,"The House remains on track with legislation that yet again would block a cost-of-living adjustment for fiscal 2027 — even as COLA proponents argue that upping member salaries would make lawmakers less beholden to corporate interests or keen to using inside information for profit.

",Unnamed Group of People,,COLA proponents,,
10,"Rep. Rosa DeLauro (D-Conn.), the top Democrat on the House Appropriations Committee, said in an interview that she had not yet read the opinion but acknowledged the potentially toxic politics of the issue.
",Named Person,Rosa DeLauro,Representative,,the top Democrat on the House Appropriations Committee
11,"“The American people, they're working hard, and their wages have just not caught up,” DeLauro said. “We shouldn't be taking care of ourselves and not helping …the American people.”
",Named Person,Rosa DeLauro,"Democratic Representative, Connecticut",,the top Democrat on the House Appropriations Committee
12,"Hoyer brought up the court opinion during the panel’s debate, advising members that they should expect a final ruling soon.",Named Person,Steny Hoyer,"Republican Representative, Oklahoma",,plaintiff
13,"“We don't know anything really about the opinion yet,” Cole cautioned.

",Named Person,Tom Cole,"Republican Representative, Oklahoma",,House Appropriations Chair
14,"At the height of his cost-cutting fervor, Elon Musk torpedoed the effort — only to later support the adjustment on X as a measure that “might make sense.”

",Named Person,Elon Musk,,,
15,"When he announced support for the stock-trading ban last year, Speaker Mike Johnson suggested it would be easier for Congress to rally around the ban if members made more money.
",Named Person,Mike Johnson,Speaker,,
16,"“I don't think we should have any appearance of impropriety here,” he said. “But the other side of it, some people say: Well, look, the salary of Congress has been frozen since 2009. When you adjust for inflation, a member of Congress is making 31 percent less today than they made in that year.”

",Named Person,Mike Johnson,Speaker,,
17,"“It goes down every year,” he added. “Over time, if you stay on this trajectory, you're going to have less qualified people who are willing to make the extreme sacrifice to run for Congress.”

",Named Person,Mike Johnson,Speaker,,
