No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""I still have dreams where I hear Blessings calling out for me,"" she says of her seven-year-old daughter, her voice calm but heavy. When the cyclone struck, both were swept ten kilometres away by a monstrous deluge – water, mud, and rock cascading from the mountain like liquid fire. Bloodied and bruised, Yohane survived by clinging to a mango tree for three days. Her daughter's body was never found.",Named Person,Naomi Yohane,,,
2,"Group village headman Nkhulambe, a soft-spoken 37-year-old who helped rescue people during the disaster, says 187 of his fellow villagers perished.",Named Person,Nkhulambe,Group village headman,,a soft-spoken 37-year-old who helped rescue people during the disaster
3,"""We used to feed ourselves from the land,"" he says. ""But now the fields are stone. Even with fertiliser, nothing grows. And then the fall armyworms came.""",Named Person,Nkhulambe,Group village headman,,a soft-spoken 37-year-old who helped rescue people during the disaster
4,"""It's like nature turned against us,"" Nkhulambe adds.",Named Person,Nkhulambe,Group village headman,,a soft-spoken 37-year-old who helped rescue people during the disaster
5,"DoDMA Spokesperson Chipiliro Khamula says the overall recovery strategy has been guided by a Post Disaster Needs Assessment, designed to mobilise resources and take action.",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,
6,"""Save for the construction of the new Makhanga Primary School, relocation of affected communities, and rehabilitation of roads and health facilities, overall progress has been gradual due to inadequate funds,"" Khamula tells Dialogue Earth.",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,
7,"""The total reconstruction and recovery needs for physical and economic losses caused by Freddy amount to USD 680.4 million – raising this substantial amount of funds has been a tall order.""",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,
8,"According to Khamula, over 15,000 households – most of them from flood-prone zones like Makhanga, a village north of Mount Mulanje and close to Lake Chilwa – have been relocated to safer, higher ground. This process involved clearing access roads, transporting families, and ensuring they had access to potable water. In some cases, humanitarian organisations provided direct financial support to families for rebuilding their homes.",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,
9,"Based on the official average of one household comprising 4.3 people, the DoDMA figures of 15,000 households would indicate that only about 64,500 of the 659,000 displaced have been relocated. Many have had to go back to their cyclone-damaged dwellings.",Named Organization,DoDMA,,,
10,"""The medicine costs three US dollars. We don't have it,"" she says. She survives on piecemeal work – washing clothes, cleaning houses, earning about USD 1.50 for a day's work – but it's not enough. After two months in the Kapeni displacement camp in Blantyre, she was sent away with a single 50kg bag of maize flour.",Named Person,Mary Likopa,,,returned to her home in a dangerously disaster-prone zone out of desperation
11,"""No one from the government has come back since.""",Named Person,Mary Likopa,,,returned to her home in a dangerously disaster-prone zone out of desperation
12,"Pastor David Chigamba, who represents survivors in Chilobwe, says the neglect is criminal. ""They promised to relocate us. But nothing has happened. The land here should be declared a red zone. We are sitting in the path of death.""",Named Person,David Chigamba,Pastor,,who represents survivors in Chilobwe
13,"""We live in fear,"" he says. ""The government can fix this. They can reallocate land. They just choose not to.""",Named Person,David Chigamba,Pastor,,who represents survivors in Chilobwe
14,"A senior DoDMA official admits that only 40% of the pledged funds have been disbursed. ""Bureaucracy, capacity issues, and donor conditions are slowing us down,"" said the official, who spoke on condition of anonymity. ""But the frustration is real, and we understand that.""",Anonymous Source,,senior DoDMA official,,"the official, who spoke on condition of anonymity"
15,"WFP country director for Malawi, Hyoung-Joon Lim, says that after the cyclone WFP collaborated with Malawi's government to provide food assistance to over 550,000 people through ""in-kind food and cash transfers."" ""We prioritised displaced families in camps and flood-affected communities. We focused on areas with the highest number of displaced people and the most severe infrastructure damage.""",Named Person,Hyoung-Joon Lim,WFP country director for Malawi,,"Among the humanitarian organisations responding was the United Nations World Food Programme (WFP), which launched large-scale relief and recovery operations."
16,Aid groups admit that key recovery efforts have stalled in the face of continued funding shortages.,Unnamed Group of People,,,aid groups,
17,"""WFP Malawi has experienced funding shortfalls that have affected the scale and timing of our operations,"" Lim says. ""It may limit the number of people in need that we can reach.""",Named Person,Hyoung-Joon Lim,WFP country director for Malawi,,"Among the humanitarian organisations responding was the United Nations World Food Programme (WFP), which launched large-scale relief and recovery operations."
18,"With fewer resources, since July 2023 WFP has cut food rations for refugees in Dzaleka Camp by 50% and pulled back on community and school feeding programmes. ""We've had to make some very tough choices,"" Lim adds.",Named Person,Hyoung-Joon Lim,WFP country director for Malawi,,"Among the humanitarian organisations responding was the United Nations World Food Programme (WFP), which launched large-scale relief and recovery operations."
19,"The recent USAID funding pause is likely to have made matters worse, the US having been a major donor to programmes like WFP, though DoDMA says it’s hard to measure the exact impact of this.",Named Organization,DoDMA,,,
20,"In the wake of the disaster, MWK 6.2 billion (USD 3.5 million) was mobilised – MWK 1.6 billion (USD 900,000) of it from the Malawi government – along with 37,000 metric tonnes of maize, says Khamula. He adds that these funds went into critical recovery operations: decommissioning of camps, procurement of food and non-food items, and rehabilitation of roads and health centres.",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,"The Malawi government, through DoDMA, has worked with partner organisations to respond to Cyclone Freddy's devastation."
21,"DoDMA insists accountability was a priority. ""The department issued detailed reports on donated financial and in-kind resources and the use thereof,"" says Khamula. ""We further engaged affected [local government] councils and disaster-risk-management committees to identify and target beneficiaries.""",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,"The Malawi government, through DoDMA, has worked with partner organisations to respond to Cyclone Freddy's devastation."
22,"However, several villagers in Chilobwe and Soche in Blantyre, and Nkhulambe in Phalombe, tell Dialogue Earth they never saw support that was promised. Aid, they claim, was distributed sporadically – and stopped coming altogether months after the cyclone. Some say they only received two 10kg bags of maize in two years.",Unnamed Group of People,,,villagers,
23,"""We work in other people's gardens to eat,"" she says. ""We don't even have pots to cook with. I'm tired of surviving. I want to live again.""",Named Person,Naomi Yohane,,,"Naomi Yohane, from Nkhulambe, now lives under a donated tarpaulin held up by scavenged wood and stubborn hope."
24,"""It won't even grow grass,"" she says. Her children, once school-bound, now stay home. ""We can't afford uniforms or fees. We are trapped.""",Named Person,Irene Chiwaya,,,"Also in Nkhulambe, Irene Chiwaya surveys her five-hectare ancestral farm – once the pride of generations. Now, it's dead earth."
25,"""We lost everything,"" says Lucy Chikapa, a 30-year-old mother of two and resident of Chilobwe. ""A whole family – the Likomas, nine people – were taken by the water.""",Named Person,Lucy Chikapa,,resident of Chilobwe,a 30-year-old mother of two and resident of Chilobwe
26,"Climatologist Friederike Otto told Table Briefings that climate change probably increased the likelihood of Cyclone Freddy, as well as the amount of rainfall during the event.",Named Person,Friederike Otto,Climatologist,,
27,"""It was the longest-lasting storm ever seen in our region. The amount of rainfall it brought was unprecedented,"" says climatologist Sosten Chiotha, who is director of the NGO Leadership for Environment and Development in Southern and Eastern Africa. He says Cyclone Freddy was not a fluke, but a forewarning.",Named Person,Sosten Chiotha,"director of the NGO Leadership for Environment and Development in Southern and Eastern Africa, climatologist",,
28,"""Adaptation is not enough anymore. Even communities that planted trees or adopted climate-smart farming were wiped out. The scale of Freddy shows why we need real compensation, not just advice.""",Named Person,Sosten Chiotha,"director of the NGO Leadership for Environment and Development in Southern and Eastern Africa, climatologist",,"Chiotha champions the ""loss and damage"" debate at global climate summits like COP."
29,"He warns more storms are coming – and they may be worse – but geography isn’t the only culprit. ""Deforestation, unplanned settlements, farming on steep slopes – these are human decisions making things worse,"" he notes. ""Vegetation cover needs to improve. Dams must be built. Settlements should be guided by flood risk. Right now, we are building our homes on trapdoors.""",Named Person,Sosten Chiotha,director of the NGO Leadership for Environment and Development in Southern and Eastern Africa,,"Chiotha champions the ""loss and damage"" debate at global climate summits like COP."
30,"""We're not beggars,"" says village headman Nkhulambe. ""We're farmers. Give us hoes and seeds, and we'll rebuild ourselves.""",Named Person,Nkhulambe,Group village headman Nkhulambe,,a soft-spoken 37-year-old who helped rescue people during the disaster
31,"Khamula acknowledges the gaps and calls for renewed urgency and support. ""Recovery from Cyclone Freddy is not just about rebuilding infrastructure,"" he tells Dialogue Earth. ""It's about restoring dignity, giving children back their classrooms, farmers back their fields, and mothers back their peace of mind.""",Named Person,Chipiliro Khamula,DoDMA Spokesperson,,"The Malawi government, through DoDMA, has worked with partner organisations to respond to Cyclone Freddy's devastation."
