No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"A man killed eight children, seven of whom were his own, and wounded two adults in Shreveport, La., on Sunday before dying in a confrontation with the police, officials said.",Unnamed group of people,,officials,,
2,Mayor Tom Arceneaux of Shreveport described the killings in a news conference as “maybe the worst tragic situation we’ve ever had.”,Named Person,Tom Arceneaux,Shreveport Major,,described the killings in a news conference
3,"The children who were killed ranged in age from 3 to 11, officials said, adding that there were three boys and five girls.",Unnamed group of people,,officials,,
4,"They were identified by the coroner for Caddo Parish as Jayla Elkins, 3; Shayla Elkins, 5; Kayla Pugh, 6; Layla Pugh, 7; Markaydon Pugh, 10; Sariahh Snow, 11; Khedarrion Snow, 6; and Braylon Snow, 5.",Unnamed Person,,coroner for Caddo Parish,,
5,"The police identified the gunman as Shamar Elkins, 31, and said he was the father of seven of the eight dead children. The police identified the gunman as Shamar Elkins, 31, and said he was the father of seven of the eight dead children. Mr. Elkins also shot and wounded two other adults, including his wife, Shaneiqua Pugh, who was hospitalized with life-threatening injuries, the police said.",Unnamed group of people,,Police,,
6,"After the shootings, Mr. Elkins carjacked a vehicle, and police officers pursued him before opening fire, officials said.",Unnamed group of people,,officials,,
7,"Willie Vasher, who used to work at UPS with Mr. Elkins, said in an interview with The Times that his children had been friends with the Elkins children. The only thing that stuck out to him about Mr. Elkins was that he often appeared stressed, he said.",Named Person,Willie Vasher,UPS employee,,"who used to work at UPS with Mr. Elkins, said in an interview with The Times"
8,"The Army said in a statement that Mr. Elkins had served in the Louisiana Army National Guard from August 2013 to August 2020 as a signal support system specialist and a fire support specialist. He did not deploy overseas, and left the Army as a private.",Named Organization,The Army,,,
9,"Records show that Mr. Elkins had at least two prior criminal convictions, including for driving while intoxicated in 2016 and for the illegal use of weapons in 2019.",Document,,Police records,,
10,"In a police description of the March 2019 incident, an officer wrote that Mr. Elkins had pulled a 9-millimeter handgun out of his waistband and shot at a vehicle five times after the driver of the car had pulled a handgun on him. One of the bullets that Mr. Elkins fired was found near a school where children were playing outside, the officer said.",Document,,Police records,,
11,"Mr. Elkins had expressed suicidal thoughts recently, according to family members who spoke with The Times.",Unnamed group of people,,Elkin's family members,,according to family members who spoke with The Times.
12,"On Easter Sunday, Mr. Elkins called his mother, Mahelia Elkins, and his stepfather, Marcus Jackson, who live in Oklahoma. Ms. Elkins and Mr. Jackson said in interviews that their son sounded despondent. They said they could hear his children playing in the background during the call.",Named Person,Mahelia Elkins and Mr. Jackson,Elkin's mother and stepfather,,
13,"Mr. Elkins told them through tears that he wanted to take his own life. He told Mr. Jackson that they might be getting a divorce, and that he was drowning in “dark thoughts.”",Named Person,Mahelia Elkins and Mr. Jackson,Elkin's mother and stepfather,,
14,Records show that Mr. Elkins and his wife married in 2024.,Document,,Records,,
15,"“I told him, ‘You can beat stuff, man. I don’t care what you’re going through, you can beat it,’” Mr. Jackson said. “Then I remember him telling me: ‘Some people don’t come back from their demons.’”",Named Person,Mr. Jackson,Elkin's stepfather,,
