No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Kornfeld, 69, an Oregon oncologist, had helped care for ill passengers aboard the cruise ship and himself developed a “flu-like illness,” he said on CNN’s “Erin Burnett OutFront” on Tuesday.",Named Person,Stephen Kornfeld,,,"Dr. Stephen Kornfeld, a passenger from the MV Hondius cruise ship who had tested “faintly positive” for hantavirus, has now tested negative and been moved out of a Nebraska biocontainment unit."
2,"“At the time, it was felt like this is just some virus,” he said. “And now, in retrospect, there is a question, could it have been hantavirus? But it’s just speculation. There’s no way to really know.”",Named Person,Stephen Kornfeld,,,"Dr. Stephen Kornfeld, a passenger from the MV Hondius cruise ship who had tested “faintly positive” for hantavirus, has now tested negative and been moved out of a Nebraska biocontainment unit."
3,He told Burnett on Wednesday that confirmatory PCR testing was negative.,Named Person,Stephen Kornfeld,,,His initial hantavirus test results — from tests taken before he returned to the US — landed him in the biocontainment unit at the University of Nebraska Medical Center.
4,"Kornfeld’s antibody tests were also negative, he said Thursday.",Named Person,Stephen Kornfeld,,,Kornfeld is now in the quarantine unit with 15 other American passengers from the ship. None of the 16 is currently reporting symptoms of illness.
5,"Kornfeld said they all seem to be planning to stay in quarantine for the full recommended 42 days, although some might choose to do part of that at home.",Named Person,Stephen Kornfeld,,,
6,"The World Health Organization said in an update earlier Wednesday that the current hantavirus case count tied to the Hondius stood at 11, but Kornfeld’s initial positive test was among that number.",Named Organization,World Health Organization,,,
7,The US Centers for Disease Control and Prevention said Thursday that there are no cases in the United States currently.,Named Organization,US Centers for Disease Control and Prevention,,,
8,US officials have said Hondius passengers may be able to return home to complete weeks of health monitoring for Andes hantavirus.,Unnamed Group of People,,US officials,,
9,"However, the American passengers who are in quarantine in Nebraska are “encouraged to stay” at the facility for monitoring, officials with the CDC said Wednesday.",Named Organization,Centers for Disease Control and Prevention,,,
10,"Federal officials are working with medical staff to “ensure that they have the appropriate disposition,” the officials said in the agency’s first briefing since the hantavirus outbreak began.",Unnamed Group of People,,Federal officials,,
11,"“Our goal is to continue to work with them for the best possible place for them,” said Dr. David Fitter, incident manager for the CDC’s hantavirus response.",Named Person,David FItter,CDC Incident Manager,,
12,"Hantavirus has a long incubation period, and people with high-risk exposures — including cruise ship passengers and people who were on an international flight with a sick passenger — should be monitored for 42 days, health officials say.",Unnamed Group of People,,health officials,,
13,"But the “CDC currently recommends testing only for people with symptoms,” Fitter said.",Named Person,David FItter,CDC Incident Manager,,Some countries are testing all of their passengers who were exposed to hantavirus.
14,"The risk to the general public remains low, WHO and the CDC say.",Named Organization,World Health Organization and Centers for Disease Control and Prevention,,,
15,"But “currently, there are no state or federal quarantine orders that have been drawn,” Fitter said.",Named Person,David FItter,CDC Incident Manager,,"Forty-one people across the United States, including the 18 in Nebraska and Atlanta, are being monitored because they were passengers on the ship or were on a flight with a person who was infected. People under monitoring are being encouraged to isolate at home as the CDC works with state and local partners to help monitor them."
