No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"St. Louis Judge Karma Johnson said of Stein’s absence, “There will be a failure to appear warrant for Ms. Stein,” per St. Louis Magazine.",Named Organization,St. Louis Magazine,,,
2,"Stein said in a statement shared with Newsweek over email that ""I hope the media pays more attention to the carnage in Gaza and the West Bank than to a warrant issued over a schedule mix up and recalled by the judge before I even had a chance to comment.""",Named Person,Jill Stein,,candidate,the Green Party's former presidential candidate 
3,"Welch said in a statement shared with Newsweek over email that ""It was me, I screwed up the calendar and was late. The judge fixed it.""
",Named Person,Joseph Welch,attorney,,
4,"According to a report from the outlet Spectrum News from March of 2025, when charges were filed, the protest began in the area of Forest Park and then moved to the Washington University campus.",Document,,,report,"from the outlet Spectrum News from March of 2025, when charges were filed"
5,A statement from Washington University about the protest issued at the time said that a “large group” had entered the campus “with the intention of causing a significant disruption to the university.”,Named Organization,Washington University,,,
6,"The statement noted that students and employees of the university were present “as well as many individuals not affiliated with the university.”
",Named Organization,Washington University,,,
7,"In an interview with the local news station KSDK after the incident, Stein denied the allegations and said the incident was ""Kind of scary to tell you the truth.""",Named Organization,KSDK,,news station,
8,"""I was charged with assaulting a police officer. Can you believe it?"" she said.
",Named Organization,KSDK,,news station,
9,"""I think it's a really bad look for the university,"" Stein said. She said the incident was ""shameful,"" and said that it was a freedom of speech issue.
",Named Organization,KSDK,,news station,
10,"Of the altercation, Stein said that she was ""assaulted by a bicycle,"" and ""thrown onto her head.""
",Named Organization,KSDK,,news station,
11,"“We are firmly committed to free expression and allow ample opportunity for voices to be heard on our campus. However, we expect everyone to respect our policies and we will take swift action to enforce them to their fullest extent,” the university statement read.",Named Organization,Washington University,,university statement,
12,"When the charges were first filed in 2025, the St. Louis Prosecuting Attorney Melissa Price Smith said, “I want to make it clear that these misdemeanor criminal charges are not a statement about the freedoms of speech or assembly, which we honor and uphold as part of our Constitution.”",Named Person,Melissa Price Smith,St. Louis Prosecuting Attorney,,
13,"“They are not a statement about the subject of the protest, which was the situation in Gaza,” Smith added.",Named Person,Melissa Price Smith,St. Louis Prosecuting Attorney,,
14,"On August 16, she wrote, “Don't surrender to the sheepdogs trying to stuff you back into the Democratic Party. America is sick of oligarchy, endless war, genocide & the duopoly enabling it all. Demand ranked choice voting, proportional rep, publicly funded elections, & parties not funded by billionaires!”",Named Person,Jill Stein,,candidate,the Green Party's former presidential candidate 
