No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""During the forum - organized by the Silicon Valley Youth Climate Action student group and several other local civic organizations - all of the candidates expressed broad support for climate-friendly initiatives, such as the city's efforts to accelerate the adoption of electric home appliances through subsidies. However, with a punishing budget crisis forcing San Jose to roll back services, the candidates also uniformly declined to commit to maintain funding levels for those programs, which are executed under the umbrella of the city's Climate Smart San Jose initiative.""",Unnamed Group of People,candidates,,,candidate vying for the District 9 seat
2,"""Altwer said the city's climate programs fit neatly into her broader campaign priorities.""",Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
3,"My biggest platform is keeping you safe, and whether that is through staffing the police department or keeping you safe from things like pollution and emmisions, to me it all goes together,"" she said at the forum.",Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
4,"""But Altwer and her fellow candidates also voiced concern that placing restrictions on gas appliances could saddle residents with extra financial burdens that would be difficult to bear.""",Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
5,"""But Altwer and her fellow candidates also voiced concern that placing restrictions on gas appliances could saddle residents with extra financial burdens that would be difficult to bear.""",Unnamed Group of People,candidates,,,candidate vying for the District 9 seat; The race's five candidates spent an hour at the Cambrian Branch Library Saturday answering questions and sharing their visions for how the city should meet its goal of net carbon emission neutrality by 2030.
6,"""Asked for their stance on such home electrification requirements, most District 9 candidates expressed only qualified support.""",Unnamed Group of People,most District 9 candidates,,,
7,My concern is making sure we're not pushing unexpected costs onto existing homeowners Ator told San José Spotlight in response to a follow-up inquiry after the debate.,Named Person,Rick Ator,,,candidate vying for the District 9 seat
8,If the code is structured to apply only at the natural point of replacement - when someone's already swapping out a broken (air conditioner) that's a reasonable ask.,Named Person,Rick Ator,,,candidate vying for the District 9 seat
9,"""Altwer was the only candidate to express outright opposition to such code requirements.""",Named Person,Genny Altwer,,,
10,"""Meanwhile, Hughes said he has supported efforts to bring more trees to parks and roadways over his seven-year stint in the District 9 office.""",Named Person,Scott Hughes,Chief of Staff for terming out incumbent Vice Mayor Pam Foley,,candidate vying for the District 9 seat
11,"""That includes a $20,000 rebate program to encourage residents to plant trees on the sidewalks in front of their properties.""",Named Person,Scott Hughes,Chief of Staff for terming out incumbent Vice Mayor Pam Foley,,candidate vying for the District 9 seat
12,"""I think that there's a lot of positives around funding more trees not only in our parks but along our roadways "" Hughes said at the forum. ""It cleans our air. It also is a natural traffic calmer.""",Named Person,Scott Hughes,Chief of Staff for terming out incumbent Vice Mayor Pam Foley,,candidate vying for the District 9 seat
13,"“I’m not the biggest fan of data centers, generally,” Chester said at the forum. “We don’t need these data centers. I am okay with seeing them be far away … We can build better things here in San Jose until we know that they are completely safe.”",Named Person,Gordon Chester,,,candidate vying for the District 9 seat
14,"""We don't need these data centers. I am okay with seeing them be far away... We can build better things here in San Jose until we know that they are completely safe.""",Named Person,Gordon Chester,,,candidate vying for the District 9 seat
15,"""Hennessy expressed a greater openness to the expansion effort, but also said the city should ensure the rollout benefits residents.""",Named Person,Mike Hennessy,serial entrepreneur,,candidate vying for the District 9 seat
16,"“We’re Silicon Valley. They need that to keep Silicon Valley alive,” Hennessy said at the forum. “This part of California is the largest innovator, really, of the electronics world, like it or not. We’re going to have to find a way to work with it, and I think we can work together when problems pop up.",Named Person,Mike Hennessy,serial entrepreneur,,candidate vying for the District 9 seat
17,"I would say on balance, a lot of the answers were noncommittal,” Anika Khanna, the event’s moderator and a sophomore at Lynbrook High School, told San José Spotlight. “It wasn’t the response that we hoped to see.",Named Person,Anika Khanna,Event Moderator,,event’s moderator
18,"""Still, Khanna, who is also a Silicon Valley Youth Climate Action member, said she is glad the forum, which drew an audience of about 80 people, put climate concerns firmly on the candidates' radars.""",Named Person,Anika Khanna,Event Moderator,,event’s moderator
19,"“It shows the candidates … their constituents really do care about climate,” she said.",Named Person,Anika Khanna,Event Moderator,,event’s moderator
