No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The United Kingdom on Tuesday banned trade with Israeli settlements in the occupied West Bank, where it says “settler terrorists” are carrying out “ethnic cleansing” of Palestinians, in a significant toughening of Britain’s stance toward a longtime ally.",Named Organization,United Kingdom,,,
2, Israel responded angrily and said it would close the British consulate in Jerusalem.,Named Organization,Israel,,,
3,"Foreign Secretary Ed Miliband said the U.K. will ban imports of all goods from the settlements and bar companies from providing services for the settlements, including financing, construction, infrastructure, real estate and advertising. He said France and Canada would also ban trade in goods from settlements.",Named Person,Ed Miliband,Foreign Secretary,,
4,"“I do not believe the British people want us supporting the occupation by accepting products from settlements in our shops and supermarkets,” Miliband said.",Named Person,Ed Miliband,Foreign Secretary,,
5,"Miliband said that he feels “a deep sense of shame about what has unfolded in Palestine under the eyes of the international community.”
",Named Person,Ed Miliband,Foreign Secretary,,
6,"“We will not acquiesce in the destruction of the two-state solution,” he said.
",Named Person,Ed Miliband,Foreign Secretary,,
7,"Israeli Foreign Minister Gideon Sa’ar condemned the “despicable” move. He said Israel would expel U.K. representatives from a joint military center monitoring the Gaza ceasefire and end U.K. training of the Palestinian Authority’s security forces in the West Bank. In addition, Israel barred entry to a dozen British lawmakers and other U.K. citizens whom Sa’ar said were “involved in antisemitic and anti-Israel activity.”",Named Person,Gideon Sa’ar,Israeli Foreign Minister,,
8,The international community overwhelmingly considers such construction to be illegal and an obstacle to peace.,Unnamed Group of People,,,international community,
9," Britain and other countries have voiced particular concern about the E1 settlement project approved by Israel, which would effectively cut the territory in two. ",Named Organization,Britain,,,
10," Britain and other countries have voiced particular concern about the E1 settlement project approved by Israel, which would effectively cut the territory in two. ",Unnamed Group of People,,,countries,
11,Palestinians and rights groups say it could destroy hopes for a future Palestinian state.,Unnamed Group of People,,,Palestinians,
12,Palestinians and rights groups say it could destroy hopes for a future Palestinian state.,Unnamed Group of People,,,rights groups,
13,"“The British government agrees that there is ethnic cleansing of Palestinians in areas of the West Bank, perpetrated by settler terrorists,” Miliband said. He said there had been “houses bulldozed, roads and public infrastructure destroyed, families displaced from their homes.”",Named Person,Ed Miliband,Foreign Secretary,,
14,"The ban on trade will be in place in six to nine months, Miliband said. He said Canada and France will also announce a ban on goods from Israeli settlements, while Denmark, Finland, Iceland, Poland, Portugal and Sweden have pledged to “support further action.”",Named Person,Ed Miliband,Foreign Secretary,,
15,"The Netherlands, Ireland, Belgium, Spain and Norway have either banned goods from settlements or are in the process of doing so, he said.",Named Person,Ed Miliband,Foreign Secretary,,
16,Miliband also tightened Britain’s embargo on weapons sales to Israel for use in Gaza to include arms “that materially contribute to the occupation” of Palestinian territories.,Named Person,Ed Miliband,Foreign Secretary,,
17,"In a change of Britain’s position, Miliband said Tuesday that the U.K. regards Israel’s occupation of the West Bank, and not just the settlements, as illegal.",Named Person,Ed Miliband,Foreign Secretary,,
18,"The tougher stance is likely to be welcomed by many Labour voters and lawmakers, who have urged the government to go further in sanctioning Israel and supporting the Palestinians.",Unnamed Group of People,,,voters,Labour voters
19,"The tougher stance is likely to be welcomed by many Labour voters and lawmakers, who have urged the government to go further in sanctioning Israel and supporting the Palestinians.",Unnamed Group of People,,lawmakers,,
20,"But some Labour members expressed concern that the sanctions could boost support for Netanyahu, who is facing a tough battle for reelection in October, or lead to attacks on British Jews.",Unnamed Group of People,,,members,Labour members
21,Opposition Conservative Party foreign affairs spokesman Tom Tugendhat said that “turning Israel into a pariah will risk sectarian division in our own country and risk a further rise in antisemitic violence on our own streets.”,Named Person,Tom Tugendhat,Opposition Conservative Party foreign affairs spokesman,,
22,"Before Miliband's announcement, Itamar Ben-Gvir, Israel's hard-line public security minister and a settler leader, called on Netanyahu to recognize Argentina's claim to the Falkland Islands, a British overseas territory in the South Atlantic known in Argentina as Islas Malvinas.",Named Person,Itamar Ben-Gvir,"Israel’s public security minister, settler leader",,
23,"Israeli President Isaac Herzog called the ban “a grave miscalculation, a decision that will fall on the wrong side of history.",Named Person,Isaac Herzog,Israeli President,,
24,"“In the current context, it would be a gross interference in the democratic elections of a sovereign nation,” he said.",Named Person,Isaac Herzog,Israeli President,,
25,"The move was also criticized by the U.S. ambassador to Israel, Mike Huckabee, a longtime supporter of the settlements, who said that it was “discrimination against the Jewish people.” He said the U.K. could face “repercussions or retaliations” from the U.S. if it imposed the sanctions.",Named Person,Mike Huckabee,U.S. ambassador to Israel,supporter of the settlements,a longtime supporter of the settlements
26,"Randy Fine, a Florida Republican, said in a post on social media that the U.K. ban could put at risk “billions of dollars” in trade between British businesses and Florida.",Named Person,Randy Fine,,Republican, a Florida Republican
27,Prime Minister Andy Burnham’s office said he spoke with U.S. President Donald Trump on Monday and set out “the U.K.’s commitment to working toward peace and security in the region” and achieving a two-state solution,Named Person,Andy Burnham,Prime Minister,,
28,"Miliband, whose parents came to the U.K. as refugees from the Nazis, told lawmakers he spoke “as a proud British Jew” and supporter of Israel.",Named Person,Ed Miliband,Foreign Secretary,,whose parents came to the U.K. as refugees from the Nazi
29,"“Our argument is not with the people of Israel, with whom the U.K. has unshakable bonds,” Miliband said. “Our argument is with the conduct of its government.”",Named Person,Ed Miliband,Foreign Secretary,,whose parents came to the U.K. as refugees from the Nazi
