No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Jasmine Rose Jones is a woman. But for much of the last 23 years, she was incarcerated in a men’s facility, and she says she was subjected to rape, sexual assault and abuse, just because she is transgender.",Named Person,Jasmine Rose Jones,,transgender,
2,"Jones, who was released from prison in May 2020 and is now a legal assistant at the Transgender Gender-Variant & Intersex Justice Project in San Francisco, says she was repeatedly raped and sexually assaulted by male prisoners and abused by male correctional officers across multiple facilities throughout her multiple stints in custody.",Named Person,Jasmine Rose Jones,legal assistant at the Transgender Gender-Variant & Intersex Justice Project in San Francisco,transgender,
3,"At the time, Jones did not feel like she could report the assaults to corrections officers, for fear of retribution, including being thrown into solitary confinement. But she says she had told officers that she was transgender and feared for her safety.",Named Person,Jasmine Rose Jones,legal assistant at the Transgender Gender-Variant & Intersex Justice Project in San Francisco,transgender,
4,She heard similar fears from other trans women serving with her.,Named Person,Jasmine Rose Jones,legal assistant at the Transgender Gender-Variant & Intersex Justice Project in San Francisco,transgender,
5,"“We lived with it,” she says. “We lived with the abuse.”",Named Person,Jasmine Rose Jones,legal assistant at the Transgender Gender-Variant & Intersex Justice Project in San Francisco,transgender,
6,"As recently as last year, the vast majority of incarcerated trans people in America are still housed in facilities based on the sex they were assigned at birth, according to a 2020 investigation by NBC News.",Named Organization,NBC News,,,
7,"This is despite robust evidence that trans women are at a significantly higher risk of abuse and assault than the general prison population, according to academic research and surveys of incarcerated trans people. And that is still the case nearly 30 years after a landmark Supreme Court decision in Farmer v Brennan that found deliberately failing to protect incarcerated trans people from abuse or violence behind bars qualifies as cruel and unusual punishment.",Document,,,"academic research, surveys",
8,"Activists say not much has changed. Now, they are working to change policies on both the federal and state level to allow trans prisoners to decide for themselves where they would feel safest being housed – or at least have their voice heard, even if prisons or independent decision-making boards still get to make the final call.",Unnamed Group of People,,,Activists,
9,"A 2007 study from the University of California, Irvine, found that incarcerated transgender people were 13 times more likely to be sexually assaulted than a random sample of incarcerated men. Fifty-nine percent of transgender prisoners reported having been sexually assaulted within a California correctional facility compared to just 4.4% of the incarcerated population as a whole.",Named Organization,"University of California, Irvine",,,
10,"“Transgender women are not safe behind bars, period,” says Rodrigo Heng-Lehtinen, the incoming executive director of the National Center for Transgender Equality (NCTE). “Nobody should be in danger just because they are in government custody.”",Named Person,Rodrigo Heng-Lehtinen,the incoming executive director of the National Center for Transgender Equality (NCTE),,
11,"In 1994, the US Supreme Court ruled on Eighth Amendment grounds that failing to protect trans people in custody is unconstitutional because it qualifies as cruel and unusual punishment.",Named Organization,US Supreme Court,,,
12,"Farmer v Brennan centered on the alleged prison rape of a trans woman, Dee Farmer. She says only a few days after a transfer to FCI Terre Haute, a federal prison in Terre Haute, Indiana, she was raped by a cellmate. Prior to her incarceration, she had been living as a transgender woman, and argued that that fact, coupled with what court documents called the “violent environment and a history of inmate assaults” at the Terre Haute facility, meant that officials deliberately failed to protect her from harm by placing her there.",Named Person,Dee Farmer,,transgender woman,
