No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Nathan J. Hochman, the Los Angeles County district attorney, said at a news conference that D4vd, whose real name is David Burke, had been charged with first-degree murder with the special circumstances of lying in wait, committing the crime for financial gain and murdering a witness to an investigation.",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
2,"Because of the special circumstances, the charge carries a maximum sentence of life without the possibility of parole, or the death penalty. Mr. Hochman said his office had not decided whether to pursue the death penalty.",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
3,"The criminal complaint filed by prosecutors includes the allegation that Mr. Burke ""personally used a deadly and dangerous weapon, a sharp instrument"" to commit the murder, Mr. Hochman's office said in a statement on Monday afternoon.",Named Organization,Los Angeles County district attorney's office,null,,null
4,"Lawyers for Mr. Burke have said they will ""vigorously defend David's innocence."" ""The actual evidence in this case will show that David Burke did not murder Celeste Rivas Hernandez and he was not the cause of her death,"" the lawyers, Blair Berk, Marilyn Bednarski and Regina Peter, said in a statement on Monday.",Named Group,Blair Berk; Marilyn Bednarski; Regina Peter,null,,Lawyers for Mr. Burke
5,"In a separate statement on Monday, a lawyer for Mr. Burke's family, Kent Schaffer, said: ""The Burkes are not surprised but are terribly disappointed that the district attorney chose to charge David. Nevertheless, they support and stand by him 100 percent.""",Named Person,Kent Schaffer,null,,a lawyer for Mr. Burke's family
6,"According to the district attorney's statement, after Mr. Burke sexually abused Celeste, she ""threatened to expose his criminal conduct and devastate his musical career."" So Mr. Burke ""allegedly murdered her, cut up her body and stuffed her body in two bags that were placed in the front trunk of his car.""",Named Organization,Los Angeles County district attorney's office,null,,null
7,Officials said the car had been left on a public street for weeks before it was towed to an impound lot in Los Angeles.,Unnamed Group of People,null,officials,,null
8,"The Los Angeles County medical examiner's office identified the remains as those of Celeste, who in 2024 was reported missing from her home in Lake Elsinore, Calif., about 70 miles southeast of Los Angeles.",Named Organization,Los Angeles County medical examiner's office,null,,null
9,"In the felony complaint filed on Monday, prosecutors said Mr. Burke had engaged in three or more acts of ""substantial sexual conduct"" with Celeste in the year between Sept. 7, 2023, and Sept. 7, 2024.",Document,Felony complaint,null,,null
10,"On April 23, 2025, Celeste, then 14, went to Mr. Burke's house in the Hollywood Hills at his invitation, according to the district attorney, and ""was not heard from again.""",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
11,"The complaint said the mutilation of human remains had occurred on May 5, 2025.",Document,Felony complaint,null,,null
12,"A parent's nightmare, Mr. Hochman said at the news conference.",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
13,"Jim McDonnell, the chief of the Los Angeles Police Department, said on Monday that detectives had learned that Celeste had ""been involved in a sexual relationship with Mr. Burke when she was a minor and he was an adult.""",Named Person,Jim McDonnell,chief of the Los Angeles Police Department,,null
14,"Chief McDonnell acknowledged that his department faced criticism for not providing more information about the case, which he called ""extraordinarily difficult and complex."" His officers, he said, had taken the necessary precautions to avoid jeopardizing the investigation.",Named Person,Jim McDonnell,chief of the Los Angeles Police Department,,null
15,"Because Celeste's body was ""dismembered and badly decomposed"" when it was discovered, Chief McDonnell said, the county medical examiner's efforts to determine a cause of death were delayed, and significant evidence in the case had degraded or disappeared.",Named Person,Jim McDonnell,chief of the Los Angeles Police Department,,null
16,"In November, a judge granted a request from the Los Angeles Police Department to place a security hold on a report from the medical examiner.",Document,null,null,,from County of Los Angeles Medical Examiner
17,"In the news conference on Monday, Mr. Hochman said that report, which is expected to detail the medical examiner's determination of the cause of death, would be released soon.",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
18,"Mr. Hochman said details of the investigation, including physical as well as ""forensic and digital"" evidence, would be presented in court.",Named Person,Nathan J. Hochman,Los Angeles County district attorney,,null
19,"Patrick Steinfeld, a lawyer for the family, said in a statement that family members were ""committed to ensuring that Celeste's voice is heard.""",Named Person,Patrick Steinfeld,null,,a lawyer for the family
20,"The statement added that upon learning of Mr. Burke's arrest, her father, Jesus Rivas, said: ""Thank God … justice for Celeste.""",Named Person,Jesus Rivas,null,,"upon learning of Mr. Burke's arrest, her father"
