No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Unpaid wages and lacking insurance is endemic in Cameroon’s private media sector, according to dozens of journalists.",Unnamed Group of People,,journalists,,
2,"“Perhaps I am scared if I report my employer to authorities for indecent work conditions, that I may get sacked.” Mohamed Auwal*, a private media journalist in Ngoundere, northern Cameroon, tells Unbias The News.",Anonymous Source,,,private media journalist,"in Ngoundere, northern Cameroon"
3,"For Auwal, systemic structures are put in place that affect the wages and welfare of journalists who risk their lives to tell stories, and media owners are responsible.",Anonymous Source,,,private media journalist,"in Ngoundere, northern Cameroon"
4,“Other employers will not want to hire me because employers have a way of collaborating; I can’t even grant you an interview revealing all my details.”,Anonymous Source,,,private media journalist,"in Ngoundere, northern Cameroon"
5,"They told us about their struggles to receive wages from their employers on a stable basis, the persistence of small bribes by politicians, and a lack of an adequate pension because of multiple issues with the national insurance scheme. Eight out of ten private media journalists in Cameroon are owed multiple months of salaries in a row, and these journalists often work without employment contracts or any legally binding document.",Unnamed Group of People,,journalists,,
6,"Yerima Kini Nsom, a senior journalist with over 25 years experience, pointed to the “poor working conditions of private media journalists in Cameroon affecting the quality of the news.” He said that the overall performance of journalists’ work in private media organizations is overshadowed by concerns about how to make ends meet. Moreover, “you are worried about the future because most of the private media journalists are not affiliated with the National Social Insurance Fund (NSIF).”",Named Person,Yerima Kini Nsom,,senior journalist,with over 25 years experience
7,"Nsom further explains to Unbias the News at his residence in Yaounde, Cameroon, “Imagine you are covering a controversial story, and one of the parties offers you money. You might be tempted if you do not work under favourable conditions.”",Named Person,Yerima Kini Nsom,,senior journalist,with over 25 years experience
8,"These journalists are offered bribes, Nsom noted. ""When the government or politicians want to set an agenda in the media, they simply call a press conference where they invite several journalists and pass their message, then hand envelopes to the journalists at the end of the meeting"".",Named Person,Yerima Kini Nsom,,senior journalist,with over 25 years experience
9,"“When we started experiencing irregular payments at my former workplace,” narrates Moma Sandrine, a journalist who left the private sector and got into public service, “my boss would pay us four times a year every three months, and it gradually went to every four to six months, and then nine months straight without a salary.”",Named Person,Moma Sandrine,,journalist,who left the private sector and got into public service
10,"“Politicians love to be in the news for the right reasons; there were times I had nothing to write about and needed money too. So this often led me to come up with story ideas that meant I had to talk to politicians; who, in turn, offered me an estimated FCFA 5000 or FCFA 10,000 notes [approximately 9USD or 18 USD] or even more, depending on how much they needed me to write nicely about them.”",Named Person,Moma Sandrine,,journalist,who left the private sector and got into public service
11,"Maureen Ndi, another journalist, told us, “Ngombo is what keeps most journalists going. I worked at a radio station belonging to the church for close to a year without ever collecting a salary, and I had to quit and look for another place.”",Named Person,Maureen Ndi,,journalist,
12,"In a tweet made by Mr. Nkwebo Denis, National President of the Cameroon Journalists Trade Union, on October 18, 2021, he alleged that Mutations, Le Jour, Le Messager, and La Nouvelle Expression (all French language newspapers operating in Cameroon) owe workers a total of one hundred months of unpaid salaries.",Named Person,Nkwebo Denis,National President of the Cameroon Journalists Trade Union,,
13,"""There are times when we go for eight months without the take-home package,"" Dingana Raymond, a journalist in Bamenda, North-West Cameroon laments.",Named Person,Dingana Raymond,,journalist,"in Bamenda, North-West Cameroon"
14,"“When the media owners want to pay, instead of a payment, you are offered something, they say; they are giving you transport fare, you’re offered an amount that is not half of what you are supposed to earn.”",Named Person,Dingana Raymond,,journalist,"in Bamenda, North-West Cameroon"
15,"“Sometimes they give FCFA 10,000 (about 9USD) after many months. What will you do with FCFA 10,000?” Raymond added.",Named Person,Dingana Raymond,,journalist,"in Bamenda, North-West Cameroon"
16,"Wanchai Cynthia, National Secretary-General for the Cameroon Association of English Speaking Journalists, explains. “There are journalists paid FCFA 10,000, 15,000, and 20,000 (between 18 USD and 36 USD). Often it is not regular. You could be paid this month, and you go for two or three months without getting paid.” She says the amount is not constant. “Sometimes when you get it, the amount fluctuates. So no one within the private media can comfortably tell you that I earn FCFA 100,000 or FCFA 150,000 [about 182 or 272 USD] except for those who work under the churches”.",Named Person,Wanchai Cynthia,National Secretary-General for the Cameroon Association of English Speaking Journalists,,
17,"“We have families; you have to pay your rent, provide for your family, and even offer help to external family members,” Wanchai says.",Named Person,Wanchai Cynthia,National Secretary-General for the Cameroon Association of English Speaking Journalists,,
18,"""When you talk about objectivity, impartiality, and fairness when cash changes hands, all these cannons or ethics no longer matter. It twists the way news is reported, and most of the time, it turns in favour of the one who has paid the journalist money to write"".",Named Person,Abah Rix Isidore,"President of the Cameroon Association of English Speaking Journalists for Buea, South West region of Cameroon",,
19,"According to Isidore, event organizers have discovered the precarious working conditions of journalists and are aware most do not get consistently paid salaries.",Named Person,Abah Rix Isidore,"President of the Cameroon Association of English Speaking Journalists for Buea, South West region of Cameroon",,
20,"He explained that in preparing events, the organizers keep aside money and hand it to the journalists at the end of the event. Often, journalists do not want to report an unfavorable story about the person who has paid them money. It is assumed that writing such gets them black-listed because news or event organizers will not call them after they did not give them the kind of favorable media report they were expecting.",Named Person,Abah Rix Isidore,"President of the Cameroon Association of English Speaking Journalists for Buea, South West region of Cameroon",,
21,"“Media owners with influential agencies or clients who pay highly for adverts will not dare to have their advertisers on the news for the wrong reasons; otherwise, they lose their income source. Such big advertisers tend to dictate to media owners what they should publish or produce as news for them”. According to Isidore, a journalist may even fear reporting on a rape case if it involves an important advertizer who may decide to take their business elsewhere.",Named Person,Abah Rix Isidore,"President of the Cameroon Association of English Speaking Journalists for Buea, South West region of Cameroon",,
22,"Publishers blame the terrible state of the economy, which has been deteriorating drastically in the last decade, for their inability to pay staff salaries on time.",Unnamed Group of People,,publishers,,
23,"According to the BTI Transformation Index, “Cameroon’s autocratic nature prevents political and economic reforms”.",Document,BTI Transformation Index,,index,
24,"According to the 2020 International Monetary Fund’s debt sustainability analysis on Cameroon, “Cameroon remains at high risk of external and overall public debt distress, but debt remains sustainable.”",Named Organization,International Monetary Fund,,,
25,"Cameroon’s public debt has risen very quickly within the last five years. According to a 2021 budget report presented by the Nkafu Institute for Policy Development in partnership with the Denis and Lenora Foretia Foundation and Atlas Network, Cameroon’s total public debt as of December 2020 stood at FCFA 10,334 billion, representing 46.9% of the country’s debt to GDP ratio.",Named Organization,Nkafu Institute for Policy Development,,,
26,"Cameroon’s public debt has risen very quickly within the last five years. According to a 2021 budget report presented by the Nkafu Institute for Policy Development in partnership with the Denis and Lenora Foretia Foundation and Atlas Network, Cameroon’s total public debt as of December 2020 stood at FCFA 10,334 billion, representing 46.9% of the country’s debt to GDP ratio.",Named Organization,Denis and Lenora Foretia Foundation,,,
27,"Cameroon’s public debt has risen very quickly within the last five years. According to a 2021 budget report presented by the Nkafu Institute for Policy Development in partnership with the Denis and Lenora Foretia Foundation and Atlas Network, Cameroon’s total public debt as of December 2020 stood at FCFA 10,334 billion, representing 46.9% of the country’s debt to GDP ratio.",Named Organization,Atlas Network,,,
28,"The publisher of a major Cameroonian newspaper laments the delay by the Ministry of Finance in paying them a debt amounting to over FCFA 20,000,000, (about 36,364 USD) accrued within the last five years.",Unnamed Person,,publisher,,
29,Many other publishers complain of almost the same or even higher amounts owed by Cameroon’s ministries.,Unnamed Group of People,,publishers,,
30,"In the book Africa’s Odious Debt: How Capital Flight and Foreign Loans Bled a Continent, Cameroon is listed among the top ten African countries who have lost substantial assets due to capital flight. Authors Ndikumana and Boyce argue that Africa is a net -creditor to the rest of the world, as many of the international loans given to African countries have actually landed in the pockets of private individuals (such as government officials) who invest elsewhere- while the balance remains to be paid by citizens.",Named Person,Ndikumana,Author of Africa’s Odious Debt: How Capital Flight and Foreign Loans Bled a Continent,,
31,"In the book Africa’s Odious Debt: How Capital Flight and Foreign Loans Bled a Continent, Cameroon is listed among the top ten African countries who have lost substantial assets due to capital flight. Authors Ndikumana and Boyce argue that Africa is a net -creditor to the rest of the world, as many of the international loans given to African countries have actually landed in the pockets of private individuals (such as government officials) who invest elsewhere- while the balance remains to be paid by citizens.",Named Person,Boyce,Author of Africa’s Odious Debt: How Capital Flight and Foreign Loans Bled a Continent,,
32,"According to The Diplomat, the largest source of this debt is loans for the construction of a major port in Kribi, in the southern region of the country.",Named Organization,Diplomat,,,
