No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The World Health Organization reports there are now more than 600 suspected Ebola cases amid the ongoing outbreak, and 139 people have died from the virus, mostly in the DRC.",Named Organization,World Health Organization,,,
2,"Americans coming to the U.S. from some African countries will be routed through Dulles International Airport for enhanced screening amid an Ebola outbreak that has killed nearly 140 people, according to the Department of Homeland Security (DHS).",Named Organization,Department of Homeland Security,,,
3,"The DHS said that as of Thursday all U.S.-bound American citizens and permanent residents who have been in Congo, Uganda or South Sudan in the previous 21 days must only enter through Dulles.",Named Organization,Department of Homeland Security,,,
4,"In a memo obtained by NBC News, the DHS described Dulles as the airport “where the U.S. government is focusing public health resources to implement enhanced public health measures.”",Document,,,memo,
5,The Centers for Disease Control and Prevention said there are no confirmed cases of Ebola in the U.S.,Named Organization,Centers for Disease Control and Prevention,,,
6,"The World Health Organization (WHO) reports there are now more than 600 suspected Ebola cases amid the ongoing outbreak, and 139 people have died from the virus, mostly in the DRC.",Named Organization,World Health Organization,,,
7,"The CDC, in an order signed by National Institutes of Health Director Jay Bhattacharya, said screening is important to prevent the virus causing this Ebola outbreak, Bundibugyo, from entering the United States.",Named Organization,Centers for Disease Control and Prevention,,,in an order signed by National Institutes of Health Director Jay Bhattacharya
8,"“The interconnected nature of global air travel therefore presents a credible pathway for Bundibugyo virus disease importation into the United States, underscoring the importance of aggressive surveillance, traveler monitoring, airport screening, healthcare preparedness, and rapid containment capabilities,” the document said.",Document,,,memo,
9,"The Virginia Department of Health (VDH) will also monitor Virginia travelers from outbreak-affected areas after they have gone through federal airport screening protocols, according to Maria Reppas, communications director for VDH. Travelers will be monitored by VDH for 21 days after their last potential exposure risk.",Named Person,Maria Reppas,Communications Director for VDH,,
10,"A draft DHS memo directs commercial airline passengers who traveled to the Democratic Republic of the Congo, South Sudan or Uganda in the past 21 days to land at Dulles.",Document,,,memo,
11,Health officials believe the Ebola outbreak in Congo started weeks ago and say they haven’t identified the source.,Unnamed Group of People,,health officials,,
12,The outbreak has been declared a public health emergency of international concern by the WHO.,Named Organization,World Health Organization,,,
13,"“There’s nothing even close to ready for clinical trials,” said Dr. Celine Gounder, an infectious disease specialist and epidemiologist who treated patients in West Africa during the 2014-2016 Ebola epidemic. “And so that means responders, healthcare workers and other aid workers are really back to the basics.”",Named Person,Celine Gounder,"infectious disease specialist and epidemiologist, editor-at-large for public health at KFF Health News",,who treated patients in West Africa during the 2014-2016 Ebola epidemic
14,"Dr. Vasee Moorthy, a special adviser in the office of the WHO chief scientist, said the most promising candidate vaccine to address Bundibugyo would not be available for at least six to nine months.",Named Person,Vasee Moorthy,special adviser in the office of the WHO chief scientist,,
15,"Healthcare workers and family members caring for sick patients face the highest risk, experts said.",Unnamed Group of People,,experts,,
16,"“So very often we see doctors and nurses among the first to be infected and to die,” said Gounder, editor-at-large for public health at KFF Health News.",Named Person,Celine Gounder,"infectious disease specialist and epidemiologist, editor-at-large for public health at KFF Health News",,who treated patients in West Africa during the 2014-2016 Ebola epidemic
17,"From the few outbreaks health experts have seen, Bundibugyo might be slightly less deadly than Ebola virus or Sudan virus.",Unnamed Group of People,,health experts,,
18,"“I think a 30%-plus mortality rate is still quite scary, but it’s hard to say with a lot of precision because we don’t have a lot of experience,” Gounder said.",Named Person,Celine Gounder,"infectious disease specialist and epidemiologist, editor-at-large for public health at KFF Health News",,who treated patients in West Africa during the 2014-2016 Ebola epidemic
19,"In the West African Ebola epidemic, ensuring safe methods of burial was key to stopping the spread, said Gounder, because people were getting sick from preparing their loved ones’ bodies for funeral rites.",Named Person,Celine Gounder,"infectious disease specialist and epidemiologist, editor-at-large for public health at KFF Health News",,who treated patients in West Africa during the 2014-2016 Ebola epidemic
20,"Making sure health workers have proper protective equipment is also critical, experts said.",Unnamed Group of People,,experts,,
21,"“Of course, it’s problematic because vaccines are some of our best tools for combating infectious diseases,” said Lina Moses, an epidemiologist and disease ecologist at Tulane University.",Named Person,Lina Moses,epidemiologist and disease ecologist at Tulane University,,
22,"But other public health tools — public education, contact tracing, quick testing — still work, she said.",Named Person,Lina Moses,epidemiologist and disease ecologist at Tulane University,,
23,"“It’s important to keep in mind that every single Ebola outbreak that has occurred in the (Democratic Republic of the Congo) — we’re on our 17th now — has been stopped,” she said.",Named Person,Lina Moses,epidemiologist and disease ecologist at Tulane University,,
