No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The key to their success has been fire preparedness, including measures like installing smoke alarms and keeping fire extinguishers on hand, according to Derrick Soo, leader of the Rangers community.",Named Person,Derrick Soo,leader of the Rangers community,,
2,"“Fire safety measures are a necessity, including at encampments, because every human life is valuable,” said Paul-Kealoha Blake, a member of Berkeley’s Homeless Commission and a volunteer with the nonprofit Consider the Homeless! “Encampment fires are an issue because they endanger both the resident of the structure that’s on fire and endangers the encampment.”",Named Person,Paul-Kealoha Blake,member of Berkeley’s Homeless Commission,volunteer,
3,"About a year ago, former Berkeley councilmember Cheryl Davila pushed to create an official program to address encampment fires. Davila proposed using existing homeless services funding to distribute fire extinguishers and fire prevention tools through social service providers.",Named Person,Cheryl Davila,former Berkeley councilmember,,
4,"Fire preparedness is essential “to protect the safety of our people and preemptively stop the spread of preventable fires,” said Davila in a report to the council last year.",Named Person,Cheryl Davila,former Berkeley councilmember,,
5,"As an example of work the city could build on, she pointed to outreach done by residents and homeless advocacy nonprofits that have distributed chemical fire extinguishers to people living in tents and vehicles.",Named Person,Cheryl Davila,former Berkeley councilmember,,
6,"About a third of those fires were at the Seabreeze Camp on the Interstate 80 University Avenue exit, where passersby reported smoke, cooking, trash fires and tent fires.",Unnamed Group of People,,,passersby,
7,"In early July 2021, the Seabreeze Camp was scheduled to be dismantled by Caltrans due to the growing issues with trash and fires.",Named Organization,Caltrans,,,
8,Berkeley city staff also cited problems like crime and domestic disputes.,Named Organization,Berkeley,,,
9,"After the cleanup at the “downstairs” section of Seabreeze where people camped under the freeway, “11 residents accepted services,” said Will Arnold, a spokesman for Caltrans.",Named Person,Will Arnold,spokesman for Caltrans,,
10,"A week later, when the Seabreeze “upstairs” cleanup took place, another 17 residents who lived on the islands along the University exit and Frontage Road had nowhere to go. They relocated to city sidewalks and a nearby freeway exit. About two dozen, including Mama West, moved into hotel rooms through Project Roomkey, which places unhoused residents in hotels. Two people accepted a four-person tent at the 24-hour Horizon Transitional Village shelter, according to a Berkeleyside report and a reporter’s visit to the indoor tent site.",Named Organization,Berkeleyside,,,
11,"Those who declined shelter beds pointed to bans on guests, pets, cooking and substance use. In addition, they said, showers are available only twice a week and lights stay on all the time.",Unnamed Group of People,,,,
12,"“Several people have turned down Horizon because their outside tents are bigger than the indoor tent that sits on the concrete floor inside,” wrote activist and civil rights attorney Andrea Henson in an email. “For some with severe disabilities and chronic pain this makes a difference.”",Named Person,Andrea Henson,civil rights attorney,activist,
13,A civil rights lawsuit filed against Caltrans in August on behalf of Seabreeze encampment charged that some “did not receive any offer of housing at all” and others “had disabilities that prevented them from accessing alternative shelter.”,Document,,,lawsuit,
14,"Plaintiffs also ask to return to the Seabreeze camp, saying it’s a safer and more accessible location to connect remaining residents to housing services.",Unnamed Group of People,,,Plaintiffs,
15,"“Do not leave your skillet unattended without water!” yelled Mama West when she spotted the pan. She threw it in the sand and covered the fire pit with the skeleton of a metal chair, protecting other items from coming close to the open flames.",Named Person,Mama West,,,"For the past six years, Mama West lived on this strip of land along the University Avenue freeway exit in Berkeley."
16,"In 2021, Mama West’s tent has caught fire three times as winds spread the flames from fires set by neighbors for cooking and warmth. Once, a small barbecue grill was knocked from the cooking table.",Named Person,Mama West,,,"For the past six years, Mama West lived on this strip of land along the University Avenue freeway exit in Berkeley."
17,"About a month before this dinner, Mama West lost one of her puppies in a tent fire that began while she stepped outside to make a cup of tea in her fire pit. Suddenly, smoke poured from her tent, and she dashed inside to rescue her six puppies and adult dog. She doesn’t know what set the tent ablaze.",Named Person,Mama West,,,"For the past six years, Mama West lived on this strip of land along the University Avenue freeway exit in Berkeley."
18,"The greatest loss for her was not her personal identification documents and other belongings, but her dog Patches and the puppies she considered “grandbabies.” Berkeley’s Animal Control put her dogs up for adoption and charged Mama West with animal endangerment in the death of her puppy. She fought to get the charge dropped, but her animals were not returned.",Named Person,Mama West,,,"For the past six years, Mama West lived on this strip of land along the University Avenue freeway exit in Berkeley."
19,"“Immediate threats include modifications to structures that increase the risk of collapse, encampments that physically block traffic or pathways and put people in the encampments or the traveling public at risk of imminent danger,” Hector Chichilla, a Caltrans spokesman, wrote in an email, adding that fire risk may also fall under this category.",Named Person,Hector Chichilla,Caltrans spokesman,,
20,"In Berkeley, the most common fire calls associated with unhoused individuals and encampments are survival-related fires — those used for cooking and warming — the notes in Berkeley Fire Department reports show. Warming fires almost doubled to 35 during the first year of the pandemic, while cooking fires fell by about half to 33.",Named Organization,Berkeley Fire Department,,,
21,"Advocates and homeless communities concerned about fires say the city could do more to help them, especially given its efforts elsewhere.",Unnamed Group of People,,,"Advocates, homeless communities",
22,"“We don’t have enough shelter space,” said Blake of the homeless commission. “It’s all full. And the Horizon shelter has no heat.”",Named Person,Paul-Kealoha Blake,member of Berkeley’s Homeless Commission,volunteer,
23,"In deep East Oakland, leader Derick Soo set up a fire safety system for the 77th Avenue Rangers and advocated for temporary access to a nearby fire hydrant.",Named Person,Derrick Soo,leader of the Rangers community,,
24,"Mitchell has purchased fire suppression tools for the Rangers like extinguishers, alarms, Thermoses and power banks. The power banks allow people to charge devices and provide light, so residents can avoid the danger of open flames or wildcat hookups to electricity poles. He also distributed 20-gallon jugs of water to unhoused residents throughout Oakland, and advocated for water access at encampments to become an official city program.",Named Person,Kyle Mitchell,lawyer,friend,
25,"For fire suppression, smoke detectors are effective, and with 10-year batteries, will last a long time. Because fire extinguishers are expensive to buy and refill, Mitchell taught unhoused residents how to cheaply refill them with pressurized water and soap. They can be refilled at gas stations or with a bicycle pump, but they are heavy – and this soap-and-water mixture won’t work on electrical or gas fires, although those incidents rarely occur at encampments due to their lack of amenities.",Named Person,Kyle Mitchell,lawyer,friend,
