No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“Still, growing up, we’d talk about Chevron in a good way. They give scholarships, sponsor the newspaper, and employ hella people,” Ibarra recalls.",Named Person,Lizbeth Ibarra,,,"Lizbeth Ibarra, 18, grew up in the shadow of the Chevron refinery in Richmond, California. She was eight years old when the refinery exploded, sending 15,000 people to area hospitals with breathing troubles. Later, her grandmother, who worked nights as a janitor at the refinery, got cancer. Her dad developed asthma, as did many of Ibarra’s childhood friends."
2,"It wasn’t until Youth vs. Apocalypse (YVA) came to her class that it clicked for her: “They’re poisoning our lungs, the air, the soil. Refineries are often placed in communities, like Richmond, with low-income people of color. You don’t see that where there’s mostly white people. It’s environmental racism.”",Named Organization,Youth vs. Apocalypse,,,Youth vs. Apocalypse (YVA) came to her class that it clicked for her
3,"Ibarra says she and many of her peers were compelled to join the climate justice movement because of YVA’s ability to connect the lived-daily experiences of pollution, poverty, and racism to accelerating climate chaos.",Named Person,Lizbeth Ibarra,,,"Lizbeth Ibarra, 18, grew up in the shadow of the Chevron refinery in Richmond, California. She was eight years old when the refinery exploded, sending 15,000 people to area hospitals with breathing troubles. Later, her grandmother, who worked nights as a janitor at the refinery, got cancer. Her dad developed asthma, as did many of Ibarra’s childhood friends."
4,"Sen. Feinstein dismissed the group's concerns by saying, “How old are you?... You didn’t vote for me.”",Named Person,Diane Feinstein,California Senator,,"In 2019, YVA rose to national fame when it confronted California senator Diane Feinstein about her refusal to support the Green New Deal; in a video that went viral,"
5,"YVA suggests young people offer to do presentations in classes with supportive teachers, create social media content, conduct a postering campaign, paint a mural, host a speak-out, or get a school or district to support a resolution demanding climate action.",Named Organization,Youth vs. Apocalypse,,,
6,"“The climate justice movement has historically been portrayed as a white-led movement, focusing on the use of plastic straws while ignoring the intentional poisoning of Black and brown communities,” YVA organizer Aniya Butler, 17, says. “With Earth Day actions, youth of color can show the power we have and use it to fight for a sustainable and equitable future. This is a movement for us by us.”",Named Person,Aniya Butler,YVA Organizer,,
7,"“We as young people of color coming from low-income communities have not all seen ourselves in this movement,” says YVA’s education and organizing coordinator, Hannah Estrada, 20. “But we’re going to be the most impacted, so it’s important that we are involved. In the climate movement, there is a place for us.”",Named Person,Hannah Estrada,YVA Education and Organizing Coordinator,,
8,"She adds, ""What we want as young people of color is for other young people of color to see us — to highlight frontline communities.""",Named Person,Hannah Estrada,YVA Education and Organizing Coordinator,,
9,"According to YVA, centering frontline youth means meeting fellow students where they are on the issues that impact them every day.",Named Organization,Youth vs. Apocalypse,,,
10,"Says Estrada, “We don’t see the climate crisis as separate from colonialism or white supremacy, but a symptom of the same system. The climate crisis intersects other issues — food deserts, poverty, violence. We can’t pretend we’re not fighting these other traumas.""",Named Person,Hannah Estrada,YVA Education and Organizing Coordinator,,
11,"She continues, ""You can’t expect frontline communities to pick one issue. When we’re asking people to come into the movement, we’re not asking them to change the way they are, but to bring their whole selves and skills.”",Named Person,Hannah Estrada,YVA Education and Organizing Coordinator,,
12,"YVA’s Points of Unity reflects this approach and includes positions against white supremacy, for the Black Lives Matter movement, abolishing the police, ICE, and the prison industrial complex, supporting Indigenous sovereignty, challenging rape culture, and providing housing, health care, and meaningful work for all.",Document,,,,
13,YVA uses a school-based community organizing model to build its foundation.,Document,,,,
14,"She cared about energy efficiency and recycling in college, she recalls, but “the environmental clubs were so white. It didn’t feel like a space for me as someone who has experienced racism, as a survivor of sexual assault. I couldn’t support organizing where I had to cut myself in pieces.”",Named Person,Cory Jong,,,"Cory Jong teaches eighth-grade ethnic studies at Urban Promise Academy in Oakland, CA."
15,"“I don’t see myself as an adult ally,"" says Jong. ""I really look at it as a co-conspirator.”",Named Person,Cory Jong,,,"As a teacher, Jong supports her students in building YVA to be the kind of safe, intersectional political home that she needed when she was a young activist. Given that many of her students are dealing with the presence of gangs, gun violence, and incarceration, Jong is developing a climate justice curriculum that incorporates those realities — and asking other teachers to join her in the process."
16,"“If you ask, ‘Are you impacted by climate change?,’ no one raises their hand. But if you ask, ‘Have you breathed wildfire smoke?,' everyone raises their hand,” says Carolyn Norr, a former teacher who cofounded YVA and serves as its program director.",Named Person,Carolyn Norr,YVA Program Director,,a former teacher who cofounded YVA and serves as its program director.
