No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"In the weeks following the murder of George Floyd, protesters filled the streets demanding change.",Unnamed Group of People,null,null,protesters,null
2,Corporations and government officials promised diversity and equity.,Unnamed Group of People,,government officials,,
3,But many Black Minnesotans say the year has gone by without the kind of transformation that would meaningfully improve the lives of African Americans and other people of color.,Unnamed Group of People,null,null,Black Minnesotans,null
4,"“I have not had conversations with my two adult Black sons to tell them it’s safe to go in the water, because it’s not,” said Steven Belton, president and chief executive of the Urban League Twin Cities. “The reality is, I’m just bracing for the next George Floyd, for the next Daunte Wright, because not enough has changed or happened quickly enough that I can assure that that’s not going to happen.”",Named Person,Steven Belton,president and chief executive of the Urban League Twin Cities,null,null
5,"Police reform in Minneapolis needs to go much further to protect Black lives, said Belton, whose organization helps community members with housing, education and employment. Yet he also believes policing is far from the only system that has led to poor outcomes for Black people.",Named Person,Steven Belton,president and chief executive of the Urban League Twin Cities,null,"whose organization helps community members with housing, education and employment"
6,"“I wish that it was just policing—because then we can focus all of our energy on that,” he said.",Named Person,Steven Belton,president and chief executive of the Urban League Twin Cities,null,"whose organization helps community members with housing, education and employment"
7,"Law professor Artika Tyner, founding director of the Center on Race, Leadership and Social Justice at the University of St. Thomas, remembers hearing protests outside of her window every day following Floyd’s killing.",Named Person,Artika Tyner,"Law professor, founding director of the Center on Race, Leadership and Social Justice at the University of St. Thomas",null,null
8,"And their chants still resonate: People want justice now, Tyner said. She referenced a 2016 study that found it would take 228 years for Black families to match the household wealth of white Americans. “People don’t have time to hear those messages,” she said.",Named Person,Artika Tyner,"Law professor, founding director of the Center on Race, Leadership and Social Justice at the University of St. Thomas",null,null
9,But Tyner adds that change-makers are trying to undo four centuries of racism. She says it’s going to take more than a commitment to close disparity gaps.,Named Person,Artika Tyner,"Law professor, founding director of the Center on Race, Leadership and Social Justice at the University of St. Thomas",null,null
10,"“It’ll take more than a commitment—it’s going to take action. It’s going to take more than action—it’ll take accountability. If we come into every issue with that awareness, maybe, maybe we’ll get some progress,” she said. “We’re not being intentional enough to achieve some real meaningful goals.”",Named Person,Artika Tyner,"Law professor, founding director of the Center on Race, Leadership and Social Justice at the University of St. Thomas",null,null
11,A new NPR/PBS NewsHour/Marist poll shows that white and Black Americans have different experiences with discrimination and police.,Document,NPR/PBS NewsHour/Marist poll,null,poll,null
12,"While three-fourths of Americans agreed with the guilty verdicts for former Minneapolis police officer Derek Chauvin, the poll shows that about half of Republicans and Trump supporters think it was either the wrong decision or they’re not sure.",Document,NPR/PBS NewsHour/Marist poll,null,poll,null
13,"“Frustrated because I don’t think enough people were awakened,” Belton said. “People woke up, saw the video and went back to sleep.”",Named Person,Steven Belton,president and chief executive of the Urban League Twin Cities,null,"whose organization helps community members with housing, education and employment"
14,"Treadwell and other organizers have been calling out racist incidents in schools, such as social media posts that make fun of Floyd’s death, in hopes of holding students accountable for their behavior.",Named Person,Jerome Treadwell,null,"high school student, activist",null
15,"Treadwell says that while progress has been made in terms of awareness and changes in curriculum, it hasn’t been comprehensive enough.",Named Person,Jerome Treadwell,null,"high school student, activist",null
16,"“We’re not only in a coronavirus pandemic, but we’re in the racial pandemic, where oftentimes youth are deprived from their own history and their culture.”",Named Person,Jerome Treadwell,null,"high school student, activist",null
