No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Iran's Supreme Leader has issued a directive that the country's near-weapons-grade uranium should not be sent abroad, two senior Iranian sources said, hardening Tehran's stance on one of the main U.S. demands at peace talks.",Unnamed Group of People,,two senior Iranian Sources,,
2,Trump vowed on Thursday that the United States will not ‌allow Iran to have its stockpile of highly enriched uranium.,Named Person,Donald Trump,U.S. President,,
3,"""We will get it. We don't need it, we don't want it. We'll probably destroy it after we get it, but we're not going to let them have it,"" Trump told reportersat the White House.",Named Person,Donald Trump,U.S. President,,
4,"Israeli ofﬁcials have told Reuters that Trump has assured Israel that Iran's stockpile of highly enriched uranium, needed to make an atomic weapon, willbe sent out of Iran and that any peace deal must include a clause on this.",Named Organization,Israel,,,
5,Iran ​denies seeking nuclear weapons.,Named Organization,Iran,,,
6,"Israeli Prime Minister Benjamin Netanyahu has said he will not consider the war over until enriched uranium is removed from Iran, Tehran ends itssupport for proxy militias, and its ballistic missile capabilities are eliminated.",Named Person,Benjamin Netanyahu,Israeli Prime Minister,,
7,"""The Supreme Leader’s directive, and the consensus within the establishment, is that the stockpile of enriched uranium should not leave the country,” said one of the two Iranian sources, who spoke on condition of anonymity because of the sensitivity of the matter.",Anonymous Source,,,,one of the two Iranian sources
8,"Iran's top ofﬁcials, the sources said, believe that sending the material abroad would leave the country more vulnerable to future attacks by the United States and Israel.",Anonymous Source,,,,
9,"When asked for comment for this story, White House spokeswoman Olivia Wales said : “President Trump has been clear about the United States’ redlines and will only make a deal that puts the American people ﬁrst.”",Named Person,Olivia Wales,White House spokeswoman,,
10,The two senior Iranian sources said there was deep suspicion in Iran that the pause in hostilities was a tactical deception by Washington to create asense of security before it renews airstrikes.,Anonymous Source,,,,two senior Iranian sources
11,"Iran's top peace negotiator, Mohammad Baqer Qalibaf, said on Wednesday that obvious and hidden moves by the enemy"" showed the Americans were preparing new attacks.",Named Person,Mohammad Baqer Qalibaf,Iran's peace negotiator,,Iran's top peace negotiator
12,"Trump said on Wednesday the U.S. was ready to proceed with further attacks on Tehran if Iran did not agree to a peace deal, but suggested Washington could wait a few days to ""get the right answers.""",Named Person,Donald Trump,U.S. President,,
13,"The two sides have started to narrow some gaps, the sources said, but deeper splits remain over Tehran's nuclear programme — including the fate of itsenriched uranium stockpiles and Tehran's demand for recognition of its right to enrichment.",Anonymous Source,,,,
14,Iranian ofﬁcials have repeatedly said Tehran’s priority is to secure a permanent end to the war and credible guarantees that the U.S. and Israel will not launch further attacks.,Unnamed Group of People,Iranian Officials,,,
15,"Only after such assurances are in place, they said, would Iran be prepared to engage in detailed negotiations over its nuclear program.",Unnamed Group of People,Iranian Officials,,,
16,But sources said that position changed after repeated threats from Trump to strike Iran.,Anonymous Source,,,,
17,Israeli ofﬁcials have told Reuters it is still unclear whether Trump will decide to attack and whether he would give Israel a green light to resume operations.,Named Organization,Israel,,,
18,"However, the source said there were ""feasible formulas"" to resolve the matter.",Anonymous Source,,,,
19,"""There are solutions like diluting the stockpile under the supervision of the International Atomic Energy Agency,"" one of the Iranian sources said.",Anonymous Source,,,,
20,The IAEA estimates that Iran had 440.9 kg of uranium enriched to 60% when Israel and the U.S. attacked Iranian nuclear facilities in June 2025.,Named Organization,International Atomic Energy Agency,,,
21,"IAEA chief Rafael Grossi said in March that what remained of that stock was “mainly” stored in a tunnel complex in Iran's Isfahan nuclear facility, and that his agency believed slightly more than 200 kg of it was there.",Named Person,Rafael Grossi,IAEA chief,,
22,"The IAEA also believes some is at the sprawling nuclear complex at Natanz, where Iran had two enrichment plants.",Named Organization,International Atomic Energy Agency,,,
23,Iran says some highly enriched uranium is needed for medical purposes and for a research ​reactor in Tehran which runs on relatively small amounts of uranium enriched to around 20%.,Named Organization,Iran,,,
