No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“We were like, yeah, OK. That’s it,” Kubo said.",Named Person,Mike Kubo,,,Mike Kubo had found only enough time to grab a few bags of dirty laundry when he and his family evacuated their home after hundreds of lightning bolts set the Santa Cruz Mountains ablaze.
2,"But the primary driver of the problem is insurance companies’ reliance on a fundamentally broken system to predict rebuilding costs, which leaves many fire victims without homes and slows the rebuilding of entire communities, a Chronicle investigation has found.",Named Organization,San Francisco Chronicle,,,
3,The Chronicle found that the data 360Value relies upon is frequently outdated and incomplete.,Named Organization,San Francisco Chronicle,,,
4,Frazier said the idea that insurance companies would intentionally act to underinsure their clients was “nonsense.”,Named Person,Rex Frazier,President of the Personal Insurance Federation of California,,"USAA did not respond to repeated requests for comment. State Farm, Farmers and CSAA declined to be interviewed. Instead, they pointed the Chronicle to Rex Frazier, president of the Personal Insurance Federation of California, and Janet Ruiz"
5,"“It doesn't make sense that we would want to make less money on renewals and not pay claims,” Ruiz said. “Our whole premise as an industry is to help our customers, pay our claims, make sure they get back to where they were before their loss.”",Named Person,Janet Ruiz,Director of strategic communication for the Insurance Information Institute,,"USAA did not respond to repeated requests for comment. State Farm, Farmers and CSAA declined to be interviewed. Instead, they pointed the Chronicle to Rex Frazier, president of the Personal Insurance Federation of California, and Janet Ruiz"
6,"In a written response to the Chronicle's questions, Verisk said the estimates its algorithm produces should not solely determine coverage limits but instead serve “as an advisory tool” for insurance underwriters. In a separate interview, Verisk executives said homeowners are ultimately responsible for choosing how much coverage to buy.",Named Organization,Verisk,,insurance analytics firm,"The leading estimator tool is 360Value, sold by the insurance analytics firm Verisk and used by insurers representing two-thirds of the U.S. market."
7,"“I never use the word ‘accurate,’ because the reality is there are all these other variables,” said Trish Hopkinson, Verisk’s head of 360Value. “But with all the data that goes into this, I feel that the tool itself functions at the highest level. I think that's apparent by our market share.”",Named Person,Trish Hopkinson,Head of 360 Value,,"The leading estimator tool is 360Value, sold by the insurance analytics firm Verisk and used by insurers representing two-thirds of the U.S. market."
8,"Insurers’ use of replacement cost estimators has led to widespread underinsurance among wildfire victims, said Amy Bach, executive director of United Policyholders, an insurance consumer advocacy group.",Named Person,Amy Bach,Executive Director of United Policyholders,,an insurance consumer advocacy group.
9,"“The No. 1 factor is the calculations that get done at the point of sale not being accurate,” Bach told the Chronicle. “Insurers lowball what it's going to cost to put a dwelling back, because they want to close the deal and sell the policy at a price the person can afford.”",Named Person,Amy Bach,Executive Director of United Policyholders,,an insurance consumer advocacy group.
10,"The documents show the company learned that its agents rarely corrected errors in 360Value's data, which led the program to routinely underestimate rebuilding costs. But rather than fix its methods or switch to a different product, Farmers increased its reliance on 360Value, flaws and all.",Document,,,documents,"Seeking to understand the role that replacement cost algorithms like 360Value play in underinsurance, the Chronicle reviewed thousands of pages of court and regulatory records. These included a trove of employee depositions and corporate records filed in a lawsuit against Farmers, the second-largest home insurer in California."
11,They found it often relies on inaccurate data on both the houses it analyzes and the price of labor and supplies.,Unnamed Group of People,,Reporters,,Reporters also interviewed dozens of insurance and homebuilding professionals about the algorithm — and bought a subscription to 360Value.
12,An internal Verisk report from 2019 found that 360Value’s prefill data for a key home characteristic — foundation shape — was wrong half of the time.,Document,,,internal report,
13,"Verisk acknowledged that its tool was not consistently accurate, and was less reliable for high-value homes, which are common in California.",Named Organization,Verisk,,insurance analytics firm,"The leading estimator tool is 360Value, sold by the insurance analytics firm Verisk and used by insurers representing two-thirds of the U.S. market."
14,"“Some people are so drastically underinsured, it jumps off the page,” Dan Veroff, an attorney specializing in insurance law, said of the Los Angeles survivors who’ve contacted him since losing their homes.",Named Person,Dan Veroff,Insurance Law Attorney,,an attorney specializing in insurance law
15,Researchers in Colorado analyzed insurance claims data from a 2021 blaze near Boulder and found that three-quarters of the houses lost or damaged were underinsured.,Unnamed Group of People,,researchers,,"Regulators and consumer advocates have identified widespread underinsurance following wildfires not only in California but in Colorado, Texas, New Mexico and Washington state."
16,"“Many of those people will probably live in trailers the rest of their lives,” said Jennifer McKim-Hibbard, co-founder of the West Slope Foundation, a wildfire survivors’ advocacy group.",Named Person,Jennifer McKim-Hibbard,Co-founder of the West Slope Foundation,,"After losing her home in the Caldor Fire, McKim-Hibbard found she didn’t have enough insurance to rebuild; she now rents a home in the area with her husband and two boys."
17,"“We’d expect after losing our home in a fire, we’d get insurance money, we’d recoup, we’d go on with life,” Richard said. “But we’re still dealing with this. The Caldor Fire isn’t over yet, because we’re still getting burned.”",Named Person,Richard Salazar,,,"In the charred half of Grizzly Flats, one of the few replaced homes belongs to Linda and Richard Salazar, a couple who purchased $341,000 in fire insurance coverage based on the recommendation of their Farmers agent. After a contractor said it would cost over $548,000 to rebuild, they settled on replacing their home with a manufactured, or prefab, unit. It’s a far cry from what they once had."
18,"The tools were revolutionary, Peter Wells, the inventor of the technology, told the Chronicle. They accounted for details a simple square footage or room calculation could not — like the increased cost of building on a slope, said Wells, who was Marshall & Swift/Boeckh’s president until his retirement in 2010.",Named Person,Peter Wells,Inventor of Component-Cost Algorithms,,"Pioneered by Marshall & Swift/Boeckh, a construction analytics company, the algorithms combined data about a home’s characteristics and the price of materials and labor to approximate the cost to rebuild the exact house."
19,"“You could actually identify salient characteristics of properties and then price those in a computer almost instantly,” he said. “That had never been done before.”",Named Person,Peter Wells,Inventor of Component-Cost Algorithms,,
20,"Wells said the survey took up to 10 minutes per home, then the algorithm combined that information with research about building costs in different locales.",Named Person,Peter Wells,Inventor of Component-Cost Algorithms,,Marshall & Swift/Boeckh built a database of 55 million U.S. homes by calling and quizzing tens of millions of people.
21,"But for the tools to work, Wells said, insurers had to want them to be accurate. He got the sense they didn’t always prioritize that. Sometimes, Wells said, insurers complained the estimates were too high and pressured him to remove certain costs, such as for below-ground work, from the estimator.",Named Person,Peter Wells,Inventor of Component-Cost Algorithms,,Marshall & Swift/Boeckh built a database of 55 million U.S. homes by calling and quizzing tens of millions of people.
22,"“People would come and say, ‘We can be more competitive if we get these costs out, ‘cause we’ll have a lower cost,’” Wells recalled.",Named Person,Peter Wells,Inventor of Component-Cost Algorithms,,Marshall & Swift/Boeckh built a database of 55 million U.S. homes by calling and quizzing tens of millions of people.
23,"Lower coverage limits allow insurers to offer lower prices, which is the primary way insurance companies attract new customers, said Jay Feinman, a professor emeritus at Rutgers Law School and author of “Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It.”",Named Person,Jay Feinman,Professor and Author,,"a professor emeritus at Rutgers Law School and author of “Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It."
24,"Jeff Dailey, the former CEO of Farmers Insurance Group, indicated in a 2018 deposition that his company was more concerned about the time it took to run an estimate than the number it produced. The work required to ensure estimates were accurate, he said, would annoy customers and drive away business.",Named Person,Jeff Dailey,former CEO of Farmers Insurance Group,,
25,"“It wouldn't surprise me that we tried to make an intelligent trade-off between what needed to be asked to get an accurate estimate and where we were sort of bleeding into ruining the experience for the customer,” Dailey said.",Named Person,Jeff Dailey,former CEO of Farmers Insurance Group,,
26,"From 2007 to 2020, the consumer advocacy group United Policyholders collected post-disaster surveys, finding that anywhere from 42% to 66% of survivors who responded said they were underinsured.",Named Organization,United Policyholders,,consumer advocacy group,
27,"This number doesn’t capture the severity of underinsurance, said Bach, because the vast majority of people grappling with the problem do not formally complain.",Named Person,Amy Bach,Executive Director of United Policyholders,,
28,"Regulators found that three — State Farm, CSAA and USAA — used 360Value in a manner that directly caused steep underinsurance for wildfire survivors.",Named Organization,California Department of Insurance,,,"Partially in response to these complaints, the department launched a series of investigations into how major insurers handled claims following the wildfires of 2015 and 2017."
29,"In another case, the department said, a State Farm agent ran 360Value 26 times on a home over several years, erroneously lowering the home’s quality grade to generate a lower rebuild estimate. The policyholder ended up underinsured by $86,000, or nearly 25%.",Named Organization,California Department of Insurance,,,
30,"In one case examined by regulators, after State Farm used an early version of 360Value to recalculate a homeowner’s coverage in 2010, her policy limit dropped by almost half. Five years later, when the woman lost her home in the Butte Fire, she was underinsured by $174,000.",Named Organization,California Department of Insurance,,,
31,"In response to these investigations, the insurers promised to pay back customers and make changes to their policies.",Named Organization,CSAA,,,"Partially in response to these complaints, the department launched a series of investigations into how major insurers handled claims following the wildfires of 2015 and 2017."
32,"In response to these investigations, the insurers promised to pay back customers and make changes to their policies.",Named Organization,State Farm,,,"Partially in response to these complaints, the department launched a series of investigations into how major insurers handled claims following the wildfires of 2015 and 2017."
33,"In response to these investigations, the insurers promised to pay back customers and make changes to their policies.",Named Organization,USAA,,,"Partially in response to these complaints, the department launched a series of investigations into how major insurers handled claims following the wildfires of 2015 and 2017."
