No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,top state lawmakers called for investigations into the Electric Reliability Council of Texas,Unnamed Group of People,,top state lawmakers,,
2,Texans demanded accountability for the disaster.,Unnamed Group of People,,,Texans,
3,"Texas residents said the storm — and ensuing partial collapse of the state’s power system — sapped what mental reserves they had left after eleven months of a global health crisis that has cost thousands of jobs and claimed more than 40,000 lives in the state.",Unnamed Group of People,,,residents,
4,State and city officials are urging patience — and telling Texans who have running water to boil it.,Unnamed Group of People,,State and city officials,,
5,"Officials in Austin, for example, said Feb. 19 that restoring water services would likely be a multiday process for the whole city.",Named Organization,Austin,,,
6,Texas officials have signed an order temporarily preventing electricity providers from sending bills to residents. The order is a stopgap measure to give officials time to address a spike in some residents’ bills. Officials also signed an order to stop utility providers from cutting off service to residents who haven’t paid a bill.,Unnamed Group of People,,Texas officials,,
7,"An official with the Electric Reliability Council of Texas said on February 16 that 16 gigawatts of renewable energy generation, mostly wind generation, were offline. Nearly double that, 30 gigawatts, had been lost from thermal sources, which includes gas, coal and nuclear energy.",Named Organization,Electric Reliability Council of Texas,,,
8,"“Texas is a gas state,” said Michael Webber, an energy resources professor at the University of Texas at Austin. “Gas is failing in the most spectacular fashion right now.”",Named Person,Michael Webber,energy resources professor at the University of Texas at Austin,,
9,"The National Weather Service encourages people to close blinds and curtains, gather in one room if possible and close doors to others, and stuff towels in the cracks under the doors. Wear loose-fitting layers of warm, lightweight clothing. Eating snacks and staying hydrated will help to warm the body up. Some cities are providing warming centers and transportation as needed — find local resources here. If you have resources or are able to offer financial donations, find nonprofits who are helping people here.",Named Organization,The National Weather Service,,,
10,"“To go through all of that and then also to have stuff like this happen, it’s like, ‘One more historical event, and I’m going to develop PTSD,’” said Brianna Blake, 31, a mother of two sons. “I cannot do this.”",Named Person,Brianna Blake,,mother,"Blake’s family moved to Texas from Ohio this summer after her husband was laid off due to the pandemic, and a tornado hit their home, destroying nearly “everything.”"
11,"They tried to stock up on water and firewood after they lost power Monday, but the shelves of local gas stations were cleared out and grocery stores were closed. They couldn’t find a room at hotels in nearby Mathis and Beeville, Blake said.",Named Person,Brianna Blake,,,"Blake’s family moved to Texas from Ohio this summer after her husband was laid off due to the pandemic, and a tornado hit their home, destroying nearly “everything.”"
