No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"On a recent Sunday morning, Destiny Adams arrived to work at Tumbleweed + Sage Coffeehouse at the crack of dawn. In a few hours, Adams would be hosting a Pride event featuring the first-ever drag queen story time in her small, conservative town of Wolfforth, a suburb of Lubbock with a population under 6,000.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
2,"As she prepared food in the kitchen all morning, thoughts of doubt crept into her mind. Is this a mistake? Is she doing the right thing for her community? Are the risks worth it?",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
3,"To her complete surprise, she walked out from behind the kitchen to discover about a dozen people already waiting outside with over an hour to go before opening.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
4,"“My heart just burst with joy because I was like, ‘Oh my gosh, here we are in the middle of nowhere where our coffee shop sits between two dirt fields, and people are lined up in front of me to get something from my shop and to hear a drag queen read a story about inclusivity,’” Adams said. “This is my dream and my hope for this event.”",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
5,"Recently, Republican state and national lawmakers announced their intent to introduce legislation banning minors from attending drag shows, including all-ages events like drag queen story times.",Unnamed Group of People,,Republican state and national lawmakers,,
6,"However, parents, drag queens, and event organizers like Adams say drag queen story times are safe, entertaining, and educational experiences for children.",Unnamed Group of People,,,"parents, drag queens, event organizers",
7,"However, parents, drag queens, and event organizers like Adams say drag queen story times are safe, entertaining, and educational experiences for children.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
8,"“It’s something fun,” said Sarah Deckard, who brought her 8-year-old daughter to the event at Tumbleweed + Sage. “They’re reading books, which is something that kids don’t do enough anyway. And it’s just providing an environment where kids can see, and anybody can see, it’s a safe space to be yourself regardless of who that is. I don’t understand why people want to smother that.”",Named Person,Sarah Deckard,,,who brought her 8-year-old daughter to the event at Tumbleweed + Sage
9,"Miss Calvina, one of three drag queens featured at the Pride event, said this was the first time she performed at a story time. Having worked seven years as a private tutor for people who struggle to read and write, she saw this event as an opportunity to teach literacy in a different way.",Named Person,Miss Calvina,"choir director, Episcopal church, Lubbock","drag queen, organist",Having worked seven years as a private tutor for people who struggle to read and write
10,"“When you are a drag queen, you are an ambassador for the entire queer community,” said Miss Calvina, who read ‘Twas the Night Before Pride by Joanna McClintick at the event. “And to [represent the community in a way] that is family-friendly, that is accessible, that is wholesome, that shows kindness and inclusion of everyone of all age groups, of course, in a way that is approachable and safe in an environment that is secure … that is how you make progress.”",Named Person,Miss Calvina,"choir director, Episcopal church, Lubbock","drag queen, organist",Having worked seven years as a private tutor for people who struggle to read and write
11,"Adams, a former field director for the Democratic Party, opened Tumbleweed + Sage with her husband in June 2020 at the height of the COVID-19 pandemic. She loved the offbeat coffee shops she frequented on the campaign trail and wanted the same kind of place when she came home to Wolfforth. Since there wasn’t one, she created one herself.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
12,"Located across the street from Frenship High School, Adams envisioned her coffee shop being an establishment where students who are still finding themselves could go and not feel judged.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
13,"“If there’s someone getting bullied, they’re more than welcome to come in here. I’ll give them a drink for free. We can talk. I’ll call their parents if they want a ride. I will give them a ride if they need a ride somewhere,” Adams said. “Just having that safe space for our community is so, so important, especially for young people in a rural town.”",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
14,"Victoria Hughes grew up in nearby Whiteface, and she suffered from depression and extreme self-loathing as a teenage lesbian living in a small town with little support. Now 32, Hughes works as an EMT, and she brought her two nieces, ages 5 and 10, to the drag queen story time.",Named Person,Victoria Hughes,an EMT,lesbian,suffered from depression and extreme self-loathing as a teenage lesbian living in a small town with little support
15,"“They’ve never seen a drag queen,” Hughes said. “I just wanted to show them that people are different and to celebrate that.”",Named Person,Victoria Hughes,an EMT,lesbian,suffered from depression and extreme self-loathing as a teenage lesbian living in a small town with little support
16,"During his 27 years on the force, Wolfforth Chief of Police Rick Scott said he cannot recall a protest of any kind in his city.",Named Person,Rick Scott,Wolfforth Chief of Police,,During his 27 years on the force
17,"With a sign that read “It’s Never OK To Be Gay,” Steve Miller, pastor of the Temple Baptist Church in Lubbock, said he was there “proclaiming the truth of God’s word.” Miller had been a vocal critic of Tumbleweed + Sage in the weeks leading up to the event. He hosts a daily Bible-themed radio show called Unconfused on which he rails against drag queens and the LGBTQ+ community.",Named Person,Steve Miller,pastor of the Temple Baptist Church in Lubbock,critic,Miller had been a vocal critic of Tumbleweed + Sage in the weeks leading up to the event. He hosts a daily Bible-themed radio show called Unconfused on which he rails against drag queens and the LGBTQ+ community.
18,"Adams said she received up to 40 calls a day with people saying things like, “I’m praying for you. You’re going to hell. How dare you sexualize children.”",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
19,"The elder Miller explained that he has an older gay son who has been estranged from the family for over a decade, which explains his passion on the subject.",Named Person,Steve Miller,pastor of the Temple Baptist Church in Lubbock,critic,Miller had been a vocal critic of Tumbleweed + Sage in the weeks leading up to the event. He hosts a daily Bible-themed radio show called Unconfused on which he rails against drag queens and the LGBTQ+ community.
20,"“If I can help parents not have to go through the same misery, or if I do this for 20 years, and one person repents and gets right with the lord, it’s worth it,” Miller said.",Named Person,Steve Miller,pastor of the Temple Baptist Church in Lubbock,critic,Miller had been a vocal critic of Tumbleweed + Sage in the weeks leading up to the event. He hosts a daily Bible-themed radio show called Unconfused on which he rails against drag queens and the LGBTQ+ community.
21,"Adams had anticipated protests, so she hired two security guards and enlisted the help of an additional two volunteers to manage any potential danger.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
22,"On June 6, 2022, Texas Republican Representative Bryan Slaton announced his intent to introduce a bill that would ban children from attending drag shows.",Named Person,Bryan Slaton,Texas Republican Representative,,
23,"Within a week, Republican U.S. Representative Marjorie Taylor Greene tweeted, “I’m introducing a bill to make it illegal for children to be exposed to Drag Queen performances.”",Named Person,Marjorie Taylor Greene,Republican U.S. Representative,,
24,"“A drag queen’s a drag queen,” Slaton said. “If they want to dress up as the opposite gender in front of kids, that should not be permitted.”",Named Person,Bryan Slaton,Texas Republican Representative,,
25,"Since the next legislative session doesn’t convene until Jan. 10, 2023, Slaton has yet to submit any legislation. However, he told the Texas Observer he intends to propose several bills and is currently exploring different paths to enact his agenda.",Named Person,Bryan Slaton,Texas Republican Representative,,
26,"Among the avenues under consideration, Slaton wants to require drag queens to register with the state of Texas for a license to perform. A similar law already exists for employees of sexually oriented businesses.",Named Person,Bryan Slaton,Texas Republican Representative,,
27,"“We don’t let strippers dance in front of children,” Slaton said. “The drag queens started doing the story hour, now it’s moved into this, and we need to protect kids. And we need to stop this. They want to do their thing, do it. But not in front of children.”",Named Person,Bryan Slaton,Texas Republican Representative,,
28,"Jonathan Saenz, president of Texas Values, a conservative nonprofit that opposes same-sex marriage, abortion, and LGBTQ+ rights in Texas, said his organization approves of Slaton’s plans.",Named Person,Jonathan Saenz,president of Texas Values,,"a conservative nonprofit that opposes same-sex marriage, abortion, and LGBTQ+ rights in Texas"
29,"“I would expect this piece of legislation and effort is going to get 100 percent support from the legislature,” Saenz said.",Named Person,Jonathan Saenz,president of Texas Values,,"a conservative nonprofit that opposes same-sex marriage, abortion, and LGBTQ+ rights in Texas"
