No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,It announced it had successfully guided two US vessels out of the strait Monday.,Named Organization,Trump administration,,,
2,"Project Freedom is an effort to 'restore freedom of navigation' in the Strait of Hormuz that will feature more than 100 land and sea-based aircraft and 15,000 service members, according to US Central Command.",Named Organization,US Central Command,,,
3,"In fact, a US official told CNN this will not be an escort mission.",Unnamed Person,,US official,,a US official
4,Officials in Iran quickly responded to Project Freedom by arguing it violates the fragile ceasefire with the United States.,Named Organization,Iran,,,
5,Shipping executives are already expressing caution about Project Freedom and it's unclear if tanker owners will be willing to take the risk of attempting to transit the strait.,Unnamed Group of People,,Shipping executives,,The maritime industry has been rocked by Iran mining the Strait of Hormuz and attacking vessels that try to get through.
6,Project Freedom falls well short of a full reopening of the Strait of Hormuz – a long process that oil analysts believe will be required to start to get the oil sufficiently flowing through the Middle East again to bring down prices significantly.,Unnamed Group of People,,Oil analysts,,
7,"Eurasia Group warned that, unless there is 'buy-in' from Iran or a major naval deployment in the region, Project Freedom will fail.",Named Organization,Eurasia Group,,,consulting firm
8,"""The US plan will not substantially raise shipping volume through the strait in the near term,"" consulting firm Eurasia Group wrote in a report on Monday.",Named Organization,Eurasia Group,,,consulting firm
9,"That sentiment was echoed by Bjørn Højgaard, CEO of ship manager Anglo-Eastern, a ship management company.",Named Person,Bjørn Højgaard,CEO of ship manager Anglo-Eastern,,a ship management company
10,"""It takes both sides to unblock - not just one,"" Højgaard said. ""Either party can signal that they are willing to let certain ships through, but unless the other side accepts that in practice, it doesn't materially change the reality on the water.""",Named Person,Bjørn Højgaard,CEO of ship manager Anglo-Eastern,,a ship management company
11,"Andy Lipow, president of Lipow Oil Associates, told CNN that gas prices will likely hit $5 a gallon if the Strait of Hormuz remains closed for another month.",Named Person,Andy Lipow,president of Lipow Oil Associates,,
12,"There are about 170 million barrels of crude oil, jet fuel, diesel and other refined products stuck in the Middle East aboard 166 tankers, according to estimates from Kpler.",Named Organization,Kpler,,,
13,"""It could be a very laborious process to get laden tankers out of the Mideast Gulf - and empty ones in - given the traditional shipping lanes are not being used for fear of mines,"" said Matt Smith, Kpler's lead oil analyst.",Named Person,Matt Smith,Kpler's lead oil analyst,,
14,Kpler estimates it could take up to three months once the Strait of Hormuz is fully reopen.,Named Organization,Kpler,,,
15,"""Help is on the way as of today,"" Treasury Secretary Scott Bessent said on Fox News on Monday.",Named Person,Scott Bessent,Treasury Secretary,,
16,Bessent noted some of the larger oil tankers stuck in the strait carry about 2 million barrels each.,Named Person,Scott Bessent,Treasury Secretary,,
17,He hopes Project Freedom will be able to get that oil to the market soon.,Named Person,Scott Bessent,Treasury Secretary,,
18,"""I think the market is going to be well supplied...I'm confident on the other side of this, the world's going to be awash in oil,"" Bessent said.",Named Person,Scott Bessent,Treasury Secretary,,
19,He also noted that OPEC recently promised to increase production.,Named Person,Scott Bessent,Treasury Secretary,,
20,"But that is a largely symbolic gesture, because the strait remains closed.",Named Person,Scott Bessent,Treasury Secretary,,
21,"And the 170 million barrels of oil stuck in the strait, similarly is a relative drop in the bucket compared to the roughly 900 million barrels of oil that analysts estimate have been sidelined by the conflict - a sum that is growing each day the Strait of Hormuz remains closed.",Unnamed Group of People,,analysts,,
