No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Kornfeld, 69, an Oregon oncologist, had helped care for ill passengers aboard the cruise ship and himself developed a ""flu-like illness,"" he told CNN's Erin Burnett on Tuesday.",Named Person,Stephen Kornfeld,Oregon oncologist,,"Dr. Stephen Kornfeld, a passenger from the MV Hondius cruise ship who had tested “faintly positive” for hantavirus, has now tested negative and been moved out of a Nebraska biocontainment unit; had helped care for ill passengers aboard the cruise ship"
2,"""At the time, it was felt like this is just some virus,"" he said. ""And now, in retrospect, there is a question, could it have been hantavirus? But it's just speculation. There's no way to really know.""",Named Person,Stephen Kornfeld,Oregon oncologist,,"Dr. Stephen Kornfeld, a passenger from the MV Hondius cruise ship who had tested “faintly positive” for hantavirus, has now tested negative and been moved out of a Nebraska biocontainment unit; had helped care for ill passengers aboard the cruise ship"
3,"He told Burnett on Wednesday that confirmatory PCR testing was negative. Kornfeld’s antibody tests were also negative, he said Thursday.",Named Person,Stephen Kornfeld,Oregon oncologist,,"Dr. Stephen Kornfeld, a passenger from the MV Hondius cruise ship who had tested “faintly positive” for hantavirus, has now tested negative and been moved out of a Nebraska biocontainment unit; had helped care for ill passengers aboard the cruise ship"
4,"The World Health Organization said in an update earlier Wednesday that the current hantavirus case count tied to the Hondius stood at 11, but Kornfeld's initial positive test was among that number.",Named Organization,World Health Organization,,,
5,The US Centers for Disease Control and Prevention said Thursday that there are no cases in the United States currently.,Named Organization,US Centers for Disease Control and Prevention,,,
6,122 passengers and crew of the MV Hondius have been evacuated from the ship that docked in the Canary Islands on May 10 and were flown to 8 different countries. Here's where they went:,Named Organization,"Spanish Health Ministry, Oceanwide Expeditions",,,
7,"US officials have said Hondius passengers may be able to return home to complete weeks of health monitoring for Andes hantavirus. However, the American passengers who are in quarantine in Nebraska are ""encouraged to stay"" at the facility for monitoring, officials with the US Centers for Disease Control and Prevention said Wednesday. Federal officials are working with medical staff to ""ensure that they have the appropriate disposition,"" the CDC officials said in the agency's first briefing since the hantavirus outbreak began.",Named Organization,US Centers for Disease Control and Prevention,,,
8,"""Our goal is to continue to work with them for the best possible place for them,"" said Dr. David Fitter, incident manager for the CDC's hantavirus response.",Named Person,David Fitter,Incident Manager for the CDC's hantavirus response,,
9,"Hantavirus has a long incubation period, and people with high-risk exposures — including cruise ship passengers and people who were on an international flight with a sick passenger — should be monitored for 42 days, health officials say.",Unnamed Group of People,health officials,,,
10,"Some countries are testing all of their passengers who were exposed to hantavirus. But the ""CDC currently recommends testing only for people with symptoms,"" Fitter said.",Named Person,David Fitter,Incident Manager for the CDC's hantavirus response,,
11,"The risk to the general public remains low, WHO and CDC say.",Named Organization,World Health Organization,,,
12,"The risk to the general public remains low, WHO and CDC say.",Named Organization,US Centers for Disease Control and Prevention,,,
13,"But ""currently, there are no state or federal quarantine orders that have been drawn,"" Fitter said.",Named Person,David Fitter,Incident Manager for the CDC's hantavirus response,,
