No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Meanwhile, South Bay Rep. Sam Liccardo is also introducing federal legislation on Wednesday with parallel goals. His Save Willy Act would establish a “whale desk” at San Francisco’s Coast Guard station, creating a centralized place for whale sightings to be reported and mariners to be alerted, helping large ships avoid collisions.

",Named Person,Sam Liccardo,South Bay Representative,,
2,"Also, last year, U.S. government scientists reported gray whale numbers were not bouncing back from recent die-offs, and fewer calves were born than typical.
",Unnamed Group of People,,U.S. government scientists,,
3,"“It’s a really big and positive step forward in maximizing whale protection in California,” said Jessica Morten, director of marine resource protection at the California Marine Sanctuary Foundation, who has worked on the program for the last 10 years.

",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
4,"Researchers estimate it has reduced the risk of death by ship strike for whales in the area by 40%.

",Unnamed Group of People,,Researchers,,
5,"“It’s been really exciting to see the conservation wins we’ve been able to achieve in specific areas,” Morten said
",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
6,"But, Morten said, studying the problem of whale-ship collisions also highlighted that “the way we had the zones implemented in the past, we're not covering all of the important whale habitat that exists off of California.”

",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
7,"That, she said, is why Wednesday’s expansion of the program is so important.
",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
8,"Morten describes industry reaction to the statewide expansion of Blue Whales Blue Skies as “mixed.” While some shipping lines have expressed concern about being able to achieve high compliance, more lines have signed up for the program this year — 52, compared to 44 last year. She’s seen compliance grow over time as well.
",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
9,"“There’s basically nowhere else on Earth where you can almost guarantee that if you're out on a boat regularly during certain times of the year, you can actually see a large aggregation of [blue whales] — incredibly large, amazing animals,” Morten said. “We have that right off of our coastline, right in our ocean backyard.”

",Named Person,Jessica Morten,"Director of marine resource protection, California Marine Sanctuary Foundation",,worked at the program for the last 10 years
10,Recent research out of Sonoma State University and the Marine Mammal Center in Sausalito estimates that 1 in 5 gray whales entering the San Francisco Bay dies there.,Named Organization,Sonoma State University,,,
11,Recent research out of Sonoma State University and the Marine Mammal Center in Sausalito estimates that 1 in 5 gray whales entering the San Francisco Bay dies there.,Named Organization,Marine Mammal Center in Sausalito,,,
12,"Federal scientists at the National Oceanic and Atmospheric Administration believe changes in gray whale feeding grounds in the Arctic — accelerated by climate change — are changing whale behavior, driving them into San Francisco Bay as they search for food.

",Named Organization,National Oceanic and Atmospheric Administration,Federal Scientists,,
13,"“Researchers track these whales daily, but we can scale their impact by crowd-sourcing data from the many more numerous commercial and recreational boats, and building a centralized alert system,” Liccardo said in a statement. “A whale desk will protect these magnificent creatures and help mariners avoid costly, harrowing collisions.”
",Named Person,Sam Liccardo,South Bay Representative,,
