No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"GALLUP, N.M. – Melvina Musket stared at her dying father through the cellphone screen. His mouth hung open, his eyes were clamped shut and a beard covered his chin. She heard nurses crying in the background.",Named Person,Melvina Musket,,,
2,"“Jesus is waiting for you,” she told him.",Named Person,Melvina Musket,,,
3,"Musket, 52, had never seen her father with facial hair. Benjamin Musket, 80, was a former Marine, a retired machinery mechanic, a basketball coach and a board member at their church. He didn’t do beards.",Named Person,Melvina Musket,,,
4,"The family had been cautious when the pandemic arrived. Four generations of Muskets lived on a sheep ranch in McKinley County, New Mexico, and her father was an elderly diabetic on dialysis. They didn’t shop at their local stores, where too many people neglected to wear masks, instead driving nearly five hours roundtrip to Albuquerque for groceries. When they returned home, they wiped down every purchase and took showers.",Named Person,Melvina Musket,,,
5,"The novel coronavirus came all the same. One day in May, Benjamin Musket started coughing. Twelve hours later, he was gasping.",Named Person,Melvina Musket,,,
6,"In town, the understaffed Gallup Indian Medical Center, run by the federal government’s Indian Health Service, was filled with cases. When the staff saw Benjamin Musket had a heart infection and COVID-19, they flew him to a hospital in Albuquerque, over 100 miles away. A few weeks later, he was dead.",Named Person,Melvina Musket,,,
7,"In the days after Benjamin Musket became ill, nearly everyone in the family tested positive.",Named Person,Melvina Musket,,,
8,Melvina Musket was hospitalized with a high fever. The medical center staff put cold compresses under her arms to cool her down.,Named Person,Melvina Musket,,,
9,"Her mother was admitted to a hospital in Albuquerque, where she fell into a nonresponsive fog.",Named Person,Melvina Musket,,,
10,Melvina Musket’s brother begged the hospital staff: “I can’t lose my mom this week; I already lost my dad.”,Unnamed Person,,,brother,
11,"On June 11, their mother died, five days after her husband.",Named Person,Melvina Musket,,,
12,"“We didn’t even know how profoundly sick they were,” Melvina Musket said. “It was just too much for their bodies.”",Named Person,Melvina Musket,,,
13,"The federal government, which oversees health care for Native Americans under treaty obligations, used a modified influenza plan to address the pandemic. And as the COVID-19 crisis began to overwhelm McKinley County, medical experts and others say federal authorities were slow to respond, a judgment call that cost lives and fueled the spread.",Unnamed Group of People,,medical experts,,
14,"This failure was no accident, experts said. It was the direct result of centuries of systemic racism that has left the county's health care system chronically underfunded, understaffed, ill-equipped and outdated. And all in a community grappling with multigenerational housing, preexisting medical conditions, substance abuse and poverty, where many live without running water, electricity or enough food for their daily nutritional needs.",Unnamed Group of People,,experts,,
15,"“I am sure if the federal government had intervened a lot quicker, things would have been a lot better. It’s obvious there was a lack of support,” said Jonathan Nez, president of the Navajo Nation.",Named Person,Jonathan Nez,president of the Navajo Nation,,
16,"The U.S. Civil Rights Commission, National Indian Health Board, Government Accountability Office, congressional committees and tribal leaders warned for decades that Native American health care was anemic and primed for catastrophe.",Named Organization,U.S. Civil Rights Commission,,,
17,"The U.S. Civil Rights Commission, National Indian Health Board, Government Accountability Office, congressional committees and tribal leaders warned for decades that Native American health care was anemic and primed for catastrophe.",Named Organization,National Indian Health Board,,,
18,"The U.S. Civil Rights Commission, National Indian Health Board, Government Accountability Office, congressional committees and tribal leaders warned for decades that Native American health care was anemic and primed for catastrophe.",Named Organization,Government Accountability Office,,,
19,"The U.S. Civil Rights Commission, National Indian Health Board, Government Accountability Office, congressional committees and tribal leaders warned for decades that Native American health care was anemic and primed for catastrophe.",Unnamed Group of People,,congressional committees,,
20,"The U.S. Civil Rights Commission, National Indian Health Board, Government Accountability Office, congressional committees and tribal leaders warned for decades that Native American health care was anemic and primed for catastrophe.",Unnamed Group of People,,tribal leaders,,
21,"“It’s really an unbelievable chain of oppression – it’s still squeezing us, it still has its grip,” said Anna Marie Rondon, executive director of the New Mexico Social Justice and Equity Institute in McKinley County.",Named Person,Anna Marie Rondon,executive director of the New Mexico Social Justice and Equity Institute in McKinley County,,
22,“And it’s still killing us.”,Named Person,Anna Marie Rondon,executive director of the New Mexico Social Justice and Equity Institute in McKinley County,,
23,Jamie Barboan could barely hear her mother over the sounds of an oxygen machine.,Named Person,Jamie Barboan,,,
24,"The noise dominated their phone calls, overwhelming her mother’s soft mumbles.",Named Person,Jamie Barboan,,,
25,"Barboan, 44, knew the equipment was helping her mom stay alive. But she worried she would hear the sound for the rest of her life.",Named Person,Jamie Barboan,,,
26,"Barboan’s mother, a certified nursing assistant, was the first in the family to be hospitalized for COVID-19. The virus then spread to Barboan's father and younger brother, sending all three to the Gallup Indian Medical Center. They received dedicated care there, but the facility was soon filled with COVID-19 cases. Barboan’s mother and brother were transported to hospitals in Albuquerque. Officials quarantined her father in a local motel.",Named Person,Jamie Barboan,,,
27,"Her brother, Andreas Tolth, was 39. She thought he would be OK. He never drank or smoked. He loved horror movies and always took care of his family.",Named Person,Jamie Barboan,,,
28,"But she had heard others warn, “Once they’re in the hospital, you won’t see them (again).”",Named Person,Jamie Barboan,,,
29,"For Tolth, that was the heartbreaking truth. After a monthlong battle, he died from the coronavirus in July.",Named Person,Jamie Barboan,,,
30,"“Our hopes were so high,” Barboan said. “Then all of a sudden, one day you get the phone call that they’re not here no more – and it hurt.”",Named Person,Jamie Barboan,,,
31,Her parents recovered from the illness but had lost a son.,Named Person,Jamie Barboan,,,
32,"“They still cry,” she said. “They still struggle.”",Named Person,Jamie Barboan,,,
33,"These underlying medical conditions combine to increase risk for severe illness from COVID-19, according to the Centers for Disease Control and Prevention.",Named Organization,Centers for Disease Control and Prevention,,,
34,"“It’s a constant cycle of poverty that we deal with. Every single day we have to fight for survival,” said Krystal Curley, a Diné who is executive director of Indigenous Lifeways, a collaboration of nonprofits that support Indigenous communities.",Named Person,Krystal Curley,executive director of Indigenous Lifeways,Diné,a collaboration of nonprofits that support Indigenous communities
35,"As COVID-19 flourished in McKinley County in mid-April, New Mexico Gov. Michelle Lujan Grisham issued an order for bar closures.",Named Person,Michelle Lujan Grisham,New Mexico Gov.,,
36,"The move may have set the stage for the explosion of cases, according to Kevin Foley, who heads the town’s detox center. Surrounding reservations prohibit alcohol. With bars set to shut down, Foley said, tribal members came to drink in Gallup, home to more liquor stores per capita than just about any place in the nation.",Named Person,Kevin Foley,heads the town’s detox center,,
37,"Foley, executive director at Na’Nizhoozhi Center, a 30,000 square-foot, cinder-block building, said 98 people arrived at the center that night to sleep off the hours of drinking. They were given metal-framed beds in large common rooms. Although screening for fevers had begun already, sickness crept inside.",Named Person,Kevin Foley,executive director at Na’Nizhoozhi Center,,
38,"Some staffers got sick or quit, forcing the detox center to shut down during the third week of April. At least 21 clients tested positive and were transported to Rehoboth McKinley Christian Health Care Services, Gallup’s other medical center. More clients who had been exposed to coronavirus were sent to motels or the streets.",Named Person,Kevin Foley,executive director at Na’Nizhoozhi Center,,
39,"Homelessness is also a risk factor for COVID-19, according to the CDC.",Named Organization,Centers for Disease Control and Prevention,,,
40,"“We got hit hard and heavy all at one time,” Gallup Mayor Louis Bonaguidi said. “I’ve lost a few friends myself.”",Named Person,Louis Bonaguidi,Gallup Mayor,,
41,"At the Rehoboth McKinley hospital, terminal patients were hooked up to several IVs with multiple drip lines. Hospital chaplain Kris Pikaart said she saw 50 patients die during the first six months of the pandemic, mostly of symptoms related to coronavirus. There were so many drip lines that Pikaart would get tangled in them.",Named Person,Kris Pikaart,Hospital chaplain,,
42,"As the crisis grew, Pikaart set up final phone and video calls with families, becoming a conduit in the human tragedy.",Named Person,Kris Pikaart,Hospital chaplain,,
43,"The first fatality, in March, sticks with her: A young woman with several children, gravely ill and alone, refused for days to speak with her family. Then, near the end, the woman cried and said, “I want to talk with my kids.”",Named Person,Kris Pikaart,Hospital chaplain,,
44,"“She proceeded to tell each one goodbye and gave them instructions on how they should live without her,” Pikaart said. “She rolled out this beautiful, beautiful goodbye.”",Named Person,Kris Pikaart,Hospital chaplain,,
45,"It was, Pikaart said, the bravest thing she had ever witnessed.",Named Person,Kris Pikaart,Hospital chaplain,,
46,"For Gabriella Lee’s family in Gallup, it began with four days of coughing, sneezing. Then came the body aches.",Named Person,Gabriella Lee,,,
47,"Lee’s uncle got sicker and sicker until he could barely breathe. At the Gallup Indian Medical Center, staff put him on a ventilator and then flew him to an Albuquerque hospital for more care.",Named Person,Gabriella Lee,,,
48,"There, he spoke about an imminent recovery and going out with his wife and son for a “big old steak dinner” once he felt better. He lasted four more days.",Named Person,Gabriella Lee,,,
49,The family gathered to say goodbye on video via Facebook Live. He was unconscious. A nurse held the phone to his ear as his relatives gave their final words.,Named Person,Gabriella Lee,,,
50,"“We said we loved him and everything, how we’re going to miss him,” said Lee. “And he never came home after that.”",Named Person,Gabriella Lee,,,
51,"“The underfunding has specifically been in areas that would have helped the Navajo Nation deal with the pandemic,” said U.S. Sen. Tom Udall, D-N.M., vice chair of the Committee on Indian Affairs.",Named Person,Tom Udall,"U.S. Sen., vice chair of the Committee on Indian Affairs",,
52,"It wasn’t enough to make up for the decades of decay that left Indian health care starved for hospitals, supplies and staffing, said Lloyd Miller, who represented co-plaintiffs in the Ramah case.",Named Person,Lloyd Miller,,,who represented co-plaintiffs in the Ramah case
53,"“One of the terrible, continuing consequences to the disproportionate impact of the pandemic on Navajos is the historic underfunding of the entire Indian health system,” he said.",Named Person,Lloyd Miller,,,who represented co-plaintiffs in the Ramah case
54,"and even today, activists on the Navajo Nation stress that the money has still not trickled down to the communities that need it most.",Unnamed Group of People,,,activists,
55,"The National Indian Health Board and tribal leaders contend the constraints are unrealistic. It’s impossible to provide effective COVID-19 relief without addressing overarching infrastructure, they said – and you can’t build a hospital, water lines or housing by late December.",Named Organization,National Indian Health Board,,,
56,"The National Indian Health Board and tribal leaders contend the constraints are unrealistic. It’s impossible to provide effective COVID-19 relief without addressing overarching infrastructure, they said – and you can’t build a hospital, water lines or housing by late December.",Unnamed Group of People,,tribal leaders,,
57,"They also said addressing the health care disparities within the Navajo Nation will cost far more than $714 million, with a planned replacement of the Gallup Indian Medical Center estimated to cost most of that amount, or $550 million.",Named Organization,National Indian Health Board,,,
58,"They also said addressing the health care disparities within the Navajo Nation will cost far more than $714 million, with a planned replacement of the Gallup Indian Medical Center estimated to cost most of that amount, or $550 million.",Unnamed Group of People,,tribal leaders,,
59,"Providing safe drinking water and basic sanitation for everyone on the reservation would cost another $700 million, according to Indian Health Service.",Named Organization,Indian Health Service,,,
60,"“Is it any wonder we are in the space we are now?” said Dr. Mary Owen, president of the Association of American Indian Physicians and a member of Alaska’s Tlingit band. “Everybody says, ‘You have to make do with what you got.’ Do we? Really? Well, then, give us back those lands.”",Named Person,Mary Owen,president of the Association of American Indian Physicians,member of Alaska’s Tlingit band,
61,"Gregory Smithers, a history professor at Virginia Commonwealth University who studied the coronavirus assault on tribes, said infection rates, suffering and deaths are ultimately a result of systemic racism, from historical subjugation to contemporary poverty.",Named Person,Gregory Smithers,history professor at Virginia Commonwealth University,,who studied the coronavirus assault on tribes
62,"“They really weren’t ready for this type of storm ... and the reason they weren’t ready is because of generation after generation of neglect,” Smithers said. “The virus isn’t waiting for governments to get their medical facilities ready.”",Named Person,Gregory Smithers,history professor at Virginia Commonwealth University,,who studied the coronavirus assault on tribes
63,"Joseph Kalt, co-director of the Harvard Project on American Indian Economic Development, said while there’s a public perception that Indians live on the public dole, the opposite is true. Indigenous people get fewer federal dollars for services than other Americans because they lack political clout. With Native Americans comprising fewer than 2% of the U.S. population, tribal members have little power at the polls, he said. And more than a dozen states have no reservations at all.",Named Person,Joseph Kalt,co-director of the Harvard Project on American Indian Economic Development,,
64,"“If you’re a member of Congress in one of those states,” Kalt said, “what do you care?”",Named Person,Joseph Kalt,co-director of the Harvard Project on American Indian Economic Development,,
65,"Two older patients walked laps around the football field with their oxygen tanks, determined to build strength and go home to their families, said Sanjay Choudhrie, incident commander at the gym.",Named Person,Sanjay Choudhrie,incident commander at the gym,,
