No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The outrage seemingly gained momentum after the city’s newly elected mayor, Zohran Mamdani, a democratic socialist, declared in mid-April that he would skip the gala, breaking with many of his predecessors, saying that his focus is on “affordability.”",Named Person,Zohran Mamdani,New York Mayor,,"Opposition to the Bezoses started almost immediately after they were announced as financial sponsors in February, and comes amid a surging anti-rich sentiment nationwide and in New York City, the event’s liberal home."
2,"And in the weeks leading up to the event on Monday, an avid anti-Bezos campaign has erupted on New York’s streets, in subways and online, where social media users have described the event as the “Amazon Prime Gala” or “Bezos Ball.”",Unnamed Group of People,,,,
3,"A guerrilla activist group called Everyone Hates Elon — a reference to another controversial billionaire, Elon Musk — has been calling for a boycott of the event, with a steady drumbeat of eye-catching campaigns around the city, including plastering posters on subway cars and bus stops.",Named Organization,Everyone Hates Elon,,,
4,"“If You Can Buy the Met Gala, You Can Pay More Taxes,” read one of the projections beamed from the back of a van, along with a picture of a laughing Bezos.",Named Organization,Everyone Hates Elon,,,"Then, on Sunday, the eve of the gala, the anti billionaire group projected video interviews with Amazon workers onto the Empire State Building, the Chrysler Building and the Bezoses' penthouse near Madison Square Park"
5,"Reports of skittish stars and upset fashionistas have peppered tabloid pages, including rumors of some past guests steering clear.",Unnamed Group of People,,,,
6,"""What does Jeff Bezos,"" asked one passer-by, Mayan Rajendran, ""have to do with fashion?""",Named Person,Mayan Rajendran,,,one passer-by
7,"He wasn’t the only one asking that question. Other critics have included past boosters like Blakely Thornton, an influencer who interviewed celebrities on the red carpet last year.",Named Person,Blakely Thornton,Influencer,,an influencer who interviewed celebrities on the red carpet last year.
8,"This year, Thornton skewered the gala on Instagram, criticizing the decision to align with Bezos, adding in a text message that he would rather be dragged through broken glass ""than participate in this oligarch orchestrated clown show.""",Named Person,Blakely Thornton,Influencer,,criticizing the decision to align with Bezos
9,"Fern Mallis, the creator of New York Fashion Week, called the Met Gala ""the biggest ball of the year,"" whose influence has far outgrown its roots as an event for well-heeled philanthropists and patrons ""who lived nearby and loved the museum"" and were often escorted by the designers they wore.",Named Person,Fern Mallis,creator of New York Fashion Week,,
10,"Now, she said, ""it's really about the celebrities and the musicians and the athletes and all these cultural icons of the day."" But, she thought that much of the starry guest list had little connection with the museum itself. ""I'll bet many of them have never even been there,"" she said.",Named Person,Fern Mallis,creator of New York Fashion Week,,
11,"In 2024, the gala drew rebukes from lawmakers for naming TikTok as a sponsor at a time when the social media giant was facing a potential ban in the United States amid allegations of its political entanglements with China.",Unnamed Group of People,,,,"In recent years, too, protests have become as commonplace as the carnivalesque swirl surrounding the event"
12,"""He's obviously one of the great avatars for, you know, just endless, rapacious accumulation of wealth and exploitation of workers at the expense of the rest of us,"" said Micah Uetricht, the editor of Jacobin, a socialist magazine. ""So kudos to them,"" he said of the Met Gala organizers. ""If they were looking to make the worst choice possible, it seems like they've succeeded.""",Named Person,Micah Uetricht,editor of Jacobin,,"the editor of Jacobin, a socialist magazine"
