No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“Camping in this public area violates Texas Penal Code 48.05 and Austin City Code 9-4-11,” the notice read. “All personal property must be removed by the service time and date noted below.”",Document,,,notice,
2,"The planned sweep was part of a new program, what city officials describe as “a revised homeless encampment management plan.”",Unnamed Group of People,,city officials,,
3,"Under the program, sweeps are happening more frequently than before, on a daily schedule, Monday through Friday. Workers at the city’s Homeless Strategies and Operations Department warn homeless people 72 hours before a sweep is to occur. On the day of the sweep, unhoused people are allowed to take one backpack and one bicycle out of the camp. City workers are directed to confiscate or destroy everything else they own.",Named Organization,Homeless Strategies and Operations Department,,,
4,"In a series of sweeps this past October, homeless people say they lost tents, clothing, medications, identification documents, and other items crucial to their existence.",Unnamed Group of People,,,homeless people,
5,"Puma told him that 10 to 12 people lived in the camp, but most had left early that morning, fearing harassment, taking what they could carry. He said he had been living in the camp for four years and that it had been swept twice since the winter, most recently two months ago. At that time, he said, city workers carried some items away and pushed others down the concrete incline, onto the sides of the railroad tracks, where they could still be seen.",Named Person,Puma,,homeless man,
6,"Puma led us down a path above the tracks. It was littered with refuse – clothing, trash bags, plastic bins, empty cans. Shiny artificial colors against the brown dirt. Across the way, through the trees, enormous homes rose over the canopy. Puma showed us the site of his previous house, as he called it. It had been swept months earlier. “You see the trash?” he asked. “All that is not trash. That’s all stuff that I had that they just destroyed. They just destroyed it and threw everything here. It was looking nice. It was looking like a little paradise.”",Named Person,Puma,,homeless man,
7,"We walked on and Puma pointed to other spots where homeless people had created dwellings, now marked by debris. He brought us to his new place. It was a tarp stretched over bare ground. Inside, it was quiet and orderly, with spaces to cook and sleep. “I got stability here, where you don’t have to worry,” Puma said. He gestured to the tarp. “There’s no water that comes in here. I’m trying to be comfortable. I think it shows: I want to have a house.”",Named Person,Puma,,homeless man,
8,"Puma’s friends, Betty and August, talked about the most recent sweep, which they said happened in March.",Named Person,Betty,,,
9,"Puma’s friends, Betty and August, talked about the most recent sweep, which they said happened in March.",Named Person,August,,,
10,"August said eight city workers came through, trashing people’s belongings but offering no services that the unhoused community wasn’t already using. She said she and her friends have been on waiting lists for city housing since the COVID pandemic or longer. She talked about the central contradiction of the sweeps – that the city forces people out of camps but has very few beds available in shelters for those who are displaced. She said she’d been living in the St. Elmo camp since winter. She described it as an area where people can find odd jobs, scavenge for food, and visit the Sunrise Navigation Center on Menchaca Road.",Named Person,August,,,
11,"“I sleep every day in this relatively safe spot,” August said, “where I have my homeboys over there on that end, and my homeboys over here on this end, and my dog is right here. So where are you going to put me?”",Named Person,August,,,
12,"Puma talked about the Marshalling Yard, the large warehouse at the southeastern corner of the city, where some people swept from camps have been given shelter. He said he would be reluctant to stay there, if the city made the offer, because he fears the Marshalling Yard’s rules would separate him from Betty, their dog, and the camp community.",Named Person,Puma,,homeless man,
13,"“We’ve become a big family here,” Puma said. “I don’t want to be separated from my family. I mean, with me and her” – he gestured to Betty – “they’re going to try to get us not to be together. My dog, my service animal – I mean, don’t take somebody’s dog. I get it that you want us off the street. But if you can throw our stuff away, then tell us where you want us to live. Help us. Don’t throw our stuff away and expect us to magically have another house or another place to stay.”",Named Person,Puma,,homeless man,
