No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"I grew up in one of the most historic communities in the nation, not only in Memphis. Orange Mound is considered one of the largest Black home-owning communities … in the country. It was a very beloved community.",Named Person,Ledelle Mitchell,partner at Mitchell Technology Group,null,"Mitchell has three daughters who are 33, 38 and 39. She is a partner at Mitchell Technology Group."
2,"Gun violence in our community has been detrimental. At our church, the Saturday program — it’s a youth mentoring program — started out being just young people in high school, but it really turned into young men all the way up to ages 25, 26, 27. And we have lost from that group at least four or five young men to gun violence.",Named Person,Ledelle Mitchell,partner at Mitchell Technology Group,null,"Mitchell has three daughters who are 33, 38 and 39. She is a partner at Mitchell Technology Group."
3,"That has been very heartbreaking because when people think of people who have been killed by guns, they don’t see the person. Most times, they view the people who get killed and the people who perpetrate as less than human or thugs, and that doesn’t have to be the case at all. And once you get to know these young people and see their struggles and what they’ve gone through, you kind of understand where they are. As a matter of fact, not only men — we had a young lady who was a part of the program, and she got shot about six or seven times.",Named Person,Ledelle Mitchell,partner at Mitchell Technology Group,null,"Mitchell has three daughters who are 33, 38 and 39. She is a partner at Mitchell Technology Group."
4,"There needs to be more resources poured back into the communities. When I was growing up, we had viable schools in the community, we had after-school programs. There were resources that allowed young people to do the things that young people do. And now, none of those things exist any longer. All of the programs that benefited kids in school — other than maybe basketball or football — are no longer there.",Named Person,Ledelle Mitchell,partner at Mitchell Technology Group,null,"Mitchell has three daughters who are 33, 38 and 39. She is a partner at Mitchell Technology Group."
5,"I was robbed at gunpoint on Christmas Eve. It happened so fast that you really don’t have time to process everything until after it’s over. And it’s like, you know, did that just happen?",Named Person,Shea Kuykendoll,student advocate at the University of Memphis,mother,Kuykendoll is the mother of a 19-year-old daughter. She is a student advocate at the University of Memphis.
6,"I had always been pro-gun, pro-Second Amendment, and then after I was robbed, I was a little afraid of guns for a period of time. But I quickly got out of that. I’ve been going to the range, and I think Black people need to arm themselves. I’m going back to Black Panther days: We need to arm ourselves, we need to be able to protect ourselves.",Named Person,Shea Kuykendoll,student advocate at the University of Memphis,mother,Kuykendoll is the mother of a 19-year-old daughter. She is a student advocate at the University of Memphis.
7,"Tennessee just passed a law that will not require you to have a permit anymore. Before, you had to take a class, take the test, apply for the permit, all of that. The governor’s argument was that this was prohibitive for people who maybe didn’t have the money to take the class, to apply for the permit and pay for the license.",Named Person,Shea Kuykendoll,student advocate at the University of Memphis,mother,Kuykendoll is the mother of a 19-year-old daughter. She is a student advocate at the University of Memphis.
8,"I will be interested to see what happens when more Black people start purchasing guns now that this barrier is removed, what’s going to happen when more Black people start going in and purchasing firearms and there is no permit that’s required.",Named Person,Shea Kuykendoll,student advocate at the University of Memphis,mother,Kuykendoll is the mother of a 19-year-old daughter. She is a student advocate at the University of Memphis.
9,"My twin sons, Albade and Obadiah, were 22 years young, working their way through college in Oakland, when I got a call that they had been murdered the day before while working on a car. This guy took their lives away.",Named Person,Lorrain Taylor,"founder of 1,000 Mothers to Prevent Violence",null,"Taylor’s twin sons were shot and killed in 2000, when they were 22 years old. She is the founder of 1,000 Mothers to Prevent Violence, which supports families who have lost loved ones to homicide."
10,Never ever did I think that violence would knock at my door on that level.,Named Person,Lorrain Taylor,"founder of 1,000 Mothers to Prevent Violence",null,"Taylor’s twin sons were shot and killed in 2000, when they were 22 years old. She is the founder of 1,000 Mothers to Prevent Violence, which supports families who have lost loved ones to homicide."
11,"After being profiled in The San Francisco Chronicle in 2006, I started getting calls from mothers asking me: “How did you do it? How did you get through it? Please come see about me.” That’s when I started a support group.",Named Person,Lorrain Taylor,"founder of 1,000 Mothers to Prevent Violence",null,"Taylor’s twin sons were shot and killed in 2000, when they were 22 years old. She is the founder of 1,000 Mothers to Prevent Violence, which supports families who have lost loved ones to homicide."
12,"Like a lot of people, I didn’t like the police. But I had an idea: If you can’t beat them, join them. So I invited them to our support group and asked them if they would work with us. I said, “I’ve gotten lots of complaints from our mothers that you all are not answering their phone calls.” We would go into the police department and have our meetings. I would bring a mother or two with me. We had questions and we wanted some action. And that was helpful because some of the parents got to know some of the police officers, and they got to get some of their questions answered. They got to feel heard for once.",Named Person,Lorrain Taylor,"founder of 1,000 Mothers to Prevent Violence",null,"Taylor’s twin sons were shot and killed in 2000, when they were 22 years old. She is the founder of 1,000 Mothers to Prevent Violence, which supports families who have lost loved ones to homicide."
13,"I get very angry when I feel like we’re being played as taxpayers. You’re taking our money. You’re looking good on the outside. But our children are falling like flies on the street, and they continue to fall because you won’t solve a case.",Named Person,Lorrain Taylor,"founder of 1,000 Mothers to Prevent Violence",null,"Taylor’s twin sons were shot and killed in 2000, when they were 22 years old. She is the founder of 1,000 Mothers to Prevent Violence, which supports families who have lost loved ones to homicide."
14,"I pray over my son each night because every day isn’t promised, and with the world that we live in, I feel like people are becoming more and more bold and less caring in this world, and that’s just a huge thing. Safety is a big thing for me, and we try to keep our kids as safe as we can when they’re with us, but when they’re not with us, that’s when we worry the most.",Named Person,Shanice Steenholdt,teacher,mother,Steenholdt is a teacher and the mother of a 2-year-old son.
15,"I think that there definitely needs to be more education provided to people on guns and how to properly use them. I think they’re too easily accessible to everyone. It’s not hard to get one. So I think that there needs to be more requirements to be able to access one. And if you think about places like Australia — and I say Australia because I lived there — they’re not able to carry around freely, and it’s much more difficult to get one.",Named Person,Shanice Steenholdt,teacher,mother,Steenholdt is a teacher and the mother of a 2-year-old son.
16,"I was in a small town called Traralgon, and everyone there was just wonderful, and I didn’t feel like I had to worry when I left my house, even being a foreigner there. I didn’t feel like I had to worry about gun violence. I mean, it’s just not something that you turn the news on and hear about, and so you feel safe, you feel comfortable.",Named Person,Shanice Steenholdt,teacher,mother,Steenholdt is a teacher and the mother of a 2-year-old son.
17,"Police violence has always been there. We who live in these communities, we already know all this. We know that there’s nothing done if one of our own is killed in our community. We know that there’s very little justice. And we’ve always been saying it’s wrong. And “when are we going to get a break?” And “when are they going to stop killing us?” You know? But nobody was listening.",Named Person,Diane Latiker,founder of Kids Off the Block,mother,"Latiker is the mother of four sons, ages 48, 47, 44 and 40, and four daughters, ages 46, 43, 42 and 30. She is the founder of Kids Off the Block, a nonprofit organization that provides recreational activities and educational support for young people in Chicago."
18,"They send new recruits who don’t have any sense about the community or who we are. So they have nothing invested here. Several years ago, I partnered with the police department for three years to do a program called Bridging the Divide. There were 15 officers who would come to my home every Thursday and they would meet with the young people that I serve, mostly male. And none of the kids wanted to talk to the police. It was tense at first, but it gradually grew to 32 young men who just built relationships with those officers. It changed the dynamic. And so, I wish they would invest more into that, but they don’t seem to; they want to keep the Police Department separate from the community. I think they’re missing a great opportunity.",Named Person,Diane Latiker,founder of Kids Off the Block,mother,"Latiker is the mother of four sons, ages 48, 47, 44 and 40, and four daughters, ages 46, 43, 42 and 30. She is the founder of Kids Off the Block, a nonprofit organization that provides recreational activities and educational support for young people in Chicago."
