No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""It's a really big and positive step forward in maximizing whale protection in California,"" said Jessica Morten, director of marine resource protection at the California Marine Sanctuary Foundation, who has worked on the program for the last 10 years.",Named Person,Jessica Morten,director of marine resource protection at the California Marine Sanctuary Foundation,,who has worked on the program for the last 10 years
2,"""It's been really exciting to see the conservation wins we've been able to achieve in specific areas,"" Morten said",Named Person,Jessica Morten,director of marine resource protection at the California Marine Sanctuary Foundation,,who has worked on the program for the last 10 years
3,"But, Morten said, studying the problem of whale-ship collisions also highlighted that ""the way we had the zones implemented in the past, we're not covering all of the important whale habitat that exists off of California."" That, she said, is why Wednesday's expansion of the program is so important.",Named Person,Jessica Morten,director of marine resource protection at the California Marine Sanctuary Foundation,,who has worked on the program for the last 10 years
4,"Morten describes industry reaction to the statewide expansion of Blue Whales Blue Skies as ""mixed."" While some shipping lines have expressed concern about being able to achieve high compliance, more lines have signed up for the program this year — 52, compared to 44 last year. She's seen compliance grow over time as well.",Named Person,Jessica Morten,director of marine resource protection at the California Marine Sanctuary Foundation,,who has worked on the program for the last 10 years
5,"""There's basically nowhere else on Earth where you can almost guarantee that if you're out on a boat regularly during certain times of the year, you can actually see a large aggregation of [blue whales] — incredibly large, amazing animals,"" Morten said. ""We have that right off of our coastline, right in our ocean backyard.""",Named Person,Jessica Morten,director of marine resource protection at the California Marine Sanctuary Foundation,,who has worked on the program for the last 10 years
6,Recent research out of Sonoma State University and the Marine Mammal Center in Sausalito estimates that 1 in 5 gray whales entering the San Francisco Bay dies there.,Document,Research out of Sonoma State University and the Marine Mammal Center in Sausalito,,,
7,"Federal scientists at the National Oceanic and Atmospheric Administration believe changes in gray whale feeding grounds in the Arctic — accelerated by climate change — are changing whale behavior, driving them into San Francisco Bay as they search for food.",Unnamed Group of People,Federal Scientists,,,Federal scientists at the National Oceanic and Atmospheric Administration
6,"Also, last year, U.S. government scientists reported gray whale numbers were not bouncing back from recent die-offs, and fewer calves were born than typical.",Unnamed Group of People,U.S. government scientists,,,
7,Recent research out of Sonoma State University and the Marine Mammal Center in Sausalito estimates that 1 in 5 gray whales entering the San Francisco Bay dies there.,Document,,,,
8,"Federal scientists at the National Oceanic and Atmospheric Administration believe changes in gray whale feeding grounds in the Arctic — accelerated by climate change — are changing whale behavior, driving them into San Francisco Bay as they search for food.",Named Organization,National Oceanic and Atmospheric Administration,,,
9,"""Researchers track these whales daily, but we can scale their impact by crowd-sourcing data from the many more numerous commercial and recreational boats, and building a centralized alert system,"" Liccardo said in a statement. ""A whale desk will protect these magnificent creatures and help mariners avoid costly, harrowing collisions.""",Named Person,Sam Liccardo,South Bay Representative,,
