No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"""One day, we just decided we have to stop talking and do something about it,"" Patrick, 66, said. ""Filing individual, separate complaints wasn't going very far. But if we all banded together, we could be heard.""",Named Person,Deborah Patrick,co-founder of the Sherwood Heights Tenants Association,,Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June.
2,They say residents in 75 of the 300 units have already become members. Many of the residents are in their 60s or older.,Named Person,Deborah Patrick,co-founder of the Sherwood Heights Tenants Association,,Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June.
3,They say residents in 75 of the 300 units have already become members. Many of the residents are in their 60s or older.,Named Person,Roger Turner,co-founder of the Sherwood Heights Tenants Association,,"Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June; Turner has lived at Sherwood Heights for nearly 15 years, and he remembers when it was a quiet and well-maintained neighborhood — the perfect place for him and his wife to retire."
4,"“This place is a real diamond in the rough,” he likes to say.",Named Person,Roger Turner,co-founder of the Sherwood Heights Tenants Association,,"Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June; Turner has lived at Sherwood Heights for nearly 15 years, and he remembers when it was a quiet and well-maintained neighborhood — the perfect place for him and his wife to retire."
5,Turner said a series of ownership and property management changes over the past few years has resulted in worse conditions at the complex that don't get fixed.,Named Person,Roger Turner,co-founder of the Sherwood Heights Tenants Association,,"Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June; Turner has lived at Sherwood Heights for nearly 15 years, and he remembers when it was a quiet and well-maintained neighborhood — the perfect place for him and his wife to retire."
6,"""We've got these complaints and we're not getting any justice,"" Turner said. ""So eventually we're gonna hold back the rent in escrow, and I bet you they'll come down and want to speak with us … because that's a lot of money.""",Named Person,Roger Turner,co-founder of the Sherwood Heights Tenants Association,,"Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June; Turner has lived at Sherwood Heights for nearly 15 years, and he remembers when it was a quiet and well-maintained neighborhood — the perfect place for him and his wife to retire."
7,"Residents say it was a relief after the previous property management company, Beacon Management, provided poor service.",Unnamed Group of People,,,residents,
8,"""We hear from tenants across the complex that they put in maintenance requests that get ignored and then are labeled complete when they're not,"" Patrick said about Beacon Management. ""They haven't even been to see what the problem is.""",Named Person,Deborah Patrick,co-founder of the Sherwood Heights Tenants Association,,Patrick and Turner formed the Sherwood Heights Tenants Association to make tenant's voices heard that last June.
9,"Rimmer said that was only one of a number of issues at the four-story building, including roaches, cracked ceilings and broken washer and dryer machines. Then in late December that year, with the elevator still broken, management tacked new lease agreements onto residents’ doors that included rent increases. Rimmer’s was set to go up by $250 a month.",Named Person,Steven Rimmer,co-founder of the Tenants Association of New Center Plaza and Marlenor,,"Several miles closer to downtown, Steven Rimmer has big goals for tenants in his building — and the rest of Detroit. He wants to fundamentally change city policy to give renters more rights to renew leases and keep rent low.; Rimmer and others formed the Tenants Association of New Center Plaza and Marlenor the following month."
10,"""We decided at that point that we had to escalate,"" Rimmer said. ""Once everyone got those rent increases, we decided to form the tenants association.""",Named Person,Steven Rimmer,co-founder of the Tenants Association of New Center Plaza and Marlenor,,"Several miles closer to downtown, Steven Rimmer has big goals for tenants in his building — and the rest of Detroit. He wants to fundamentally change city policy to give renters more rights to renew leases and keep rent low.; Rimmer and others formed the Tenants Association of New Center Plaza and Marlenor the following month."
11,Rimmer said there are about 160 units combined and that 30 units are rented by members of the tenants association.,Named Person,Steven Rimmer,co-founder of the Tenants Association of New Center Plaza and Marlenor,,"Several miles closer to downtown, Steven Rimmer has big goals for tenants in his building — and the rest of Detroit. He wants to fundamentally change city policy to give renters more rights to renew leases and keep rent low.; Rimmer and others formed the Tenants Association of New Center Plaza and Marlenor the following month."
12,Debates said management also installed LED lights throughout the building and planted oak trees in the courtyards.,Named Person,Raymond Debates III,real estate investor,,Both New Center Plaza and The Marlenor are owned by local real estate investor Raymond Debates III and sit across from each other on Seward Street.
13,"""We have been doing a number of improvements to the property after the elevator modernization was completed at a price tag north of $200,000,"" he said.",Named Person,Raymond Debates III,real estate investor,,Both New Center Plaza and The Marlenor are owned by local real estate investor Raymond Debates III and sit across from each other on Seward Street.
