SourcedStatement,SourceType,Name,Title,Justification
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Named Organization Sources,Tennessee Association of Realtors,,according to the Tennessee Lookout
"During the assembly’s recently completed legislative session, it also shut down another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing.",Named Organization Sources,City of Memphis,,another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing
"MLK50: Justice Through Journalism could not reach the bill’s primary sponsor in the House, Rep. Clark Boyd (R-Lebanon), through his official email address or the House Republican Caucus’ press secretary.",Named Organization Sources,House Republican Caucus,,press secretary
TAR representatives did not return a pair of phone calls from MLK50.,Named Organization Sources,Tennessee Association of Realtors,,TAR representatives
"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “Things (can now) happen very, very quickly.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"To Henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying.",Named Person Sources,Deborah Henderson,judge,who judges thousands of eviction cases per year
"Sen. Art Swann (R-Maryville), who sponsored the legislation in the Senate, provided MLK50 with a statement but did not respond to follow-up questions.",Named Person Sources,Art Swann,Sen. (R-Maryville),who sponsored the legislation in the Senate
"“Landlords have always had a very strong lobbying group,” she said.",Named Person Sources,Deborah Henderson,judge,who judges thousands of eviction cases per year
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,” Marsh said during the subcommittee hearing.",Named Person Sources,Pat Marsh,Rep. (R-Shelbyville),during the subcommittee hearing
"“I really am happy to see that pass,” Rees said. “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Document Sources,Tennessee Lookout,,Tennessee Lookout’s database
MLK50 found that 145 (about 13%) appeared on the court’s schedule for a second time two weeks after they were initially scheduled — meaning these renters were likely granted the two-week extension they were entitled to.,Document Sources,MLK50,,"a sample of 1,090 recent eviction cases"
"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process.",Unnamed Group of People,renters,,gathered to learn about the eviction process
