GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
county supervisors learned of this from reporting in the standard,,0,Named_Organization,,No,the standard,,0,,,0.0,,,0.0, ,,0.0
"“we were dismayed to learn that our small, rural county was among the top three destinations in the state where people experiencing homelessness were sent by the program,” states a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website.","we were dismayed to learn that our small, rural county was among the top three destinations in the state where people experiencing homelessness were sent by the program, states a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website.",100,Documents,Documents,Yes,humboldt county,humboldt county,100,,,0.0,a draft of the letter to san francisco mayor london breed,"a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226, a draft of the letter to san francisco mayor london breed," a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226
"los angeles and sacramento counties are the two other most popular california destinations, according to sf’s department of homelessness and supportive housing and the human services agency.","los angeles and sacramento counties are the two other most popular california destinations, according to sfs department of homelessness and supportive housing and the human services agency.",100,Named_Organization,Named_Organization,Yes,department of homelessness and supportive housing and the human services agency,sfs department of homelessness and supportive housing and the human services agency,97,,,0.0,,,0.0, , ,0.0
but new data obtained by the standard from humboldt’s own relocation program show that the county’s homeless people were bused to san francisco on four occasions between october and march.,,0,Named_Organization,,No,humboldt county transportation assistance program,,0,,,0.0,,,0.0, ,,0.0
"according to the program’s website, social services staffers verify that those who use tap will be received at their destination by a relative, friend, or appropriate agency.",,0,Named_Organization,,No,humboldt county transportation assistance program,,0,,,0.0,,,0.0, ,,0.0
"table: destinations of homeless people between aug. 8, 2023, and aug. 9, 2024, under humboldt's transportation assistance program.",,0,Named_Organization,,No,humboldt county,,0,,,0.0,a draft of the letter to san francisco mayor london breed,,0.0, a draft of the letter to san francisco mayor london breed,,0.0
"“we are concerned that providing bus tickets to other jurisdictions without verifying access to housing, family support or employment does not alleviate homelessness; it simply shifts the person to another county,”","we are concerned that providing bus tickets to other jurisdictions without verifying access to housing, family support or employment does not alleviate homelessness; it simply shifts the person to another county, humboldts letter says.",100,Documents,Documents,Yes,humboldt county,humboldt county,100,,,0.0,a draft of the letter to san francisco mayor london breed,"a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226, a draft of the letter to san francisco mayor london breed," a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226
“we urge you to ensure that journey home participants have the support they need to obtain housing and employment before they receive transportation assistance to humboldt county. let’s act together in partnership to alleviate homelessness throughout our state.”,we urge you to ensure that journey home participants have the support they need to obtain housing and employment before they receive transportation assistance to humboldt county.,99,Documents,Documents,Yes,humboldt county,humboldt county,100,,,0.0,a draft of the letter to san francisco mayor london breed,"a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226, a draft of the letter to san francisco mayor london breed," a draft of the letter to san francisco mayor london breed that can be seen on the humboldt county website,humboldts letter",0.8925641775131226
"paul boden, a homeless advocate with the western regional advocacy project, said the strategy of busing unhoused people out of town dates back to the 1960s, when welfare agencies offered bus tickets to previously institutionalized people in exchange for a signed pledge not to return for a year — a process that was known as “greyhound therapy.”","paul boden, a homeless advocate with the western regional advocacy project, said the strategy of busing unhoused people out of town dates back to the 1960s, when welfare agencies offered bus tickets to previously institutionalized people in exchange for a signed pledge not to return for a year  a process that was known as greyhound therapy.",100,Named_Person,Named_Person,Yes,paul boden,paul boden,100,"homeless advocate, western regional advocacy project",homeless advocate,0.9999999403953552,,with the western regional advocacy project,0.0,"homeless advocate, western regional advocacy project ",homeless advocate with the western regional advocacy project,0.8239101767539978
"“the aim isn’t to achieve a goal. it’s to get you out of our town, and it’s cheaper than arresting you,”","its to get you out of our town, and its cheaper than arresting you, boden said.",97,Named_Person,Named_Person,Yes,paul boden,paul boden,100,"homeless advocate, western regional advocacy project",homeless advocate,0.9999999403953552,,with the western regional advocacy project,0.0,"homeless advocate, western regional advocacy project ",homeless advocate with the western regional advocacy project,0.8239101767539978
