GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,"in kansas, lawyers for the american civil liberties union have drafted a letter reminding election workers that a gender marker on a persons identification does not need to match or correspond to a voters gender expression.",0,,Named_Organization,No,,american civil liberties union,0,,,0.0,,,0.0,, ,0.0
,staff for the organization have also held clinics elsewhere to prepare trans americans for the identification requirements they will have to navigate.,0,,Named_Organization,No,,american civil liberties union,0,,,0.0,,,0.0,, ,0.0
,"in eight battleground states, the nonprofit voteriders is on the ground helping voters get the identification they need to cast ballots in the november election  and one that reflects who they are.",0,,Named_Organization,No,,voteriders,0,,,0.0,,nonprofit,0.0,, nonprofit,0.0
,"equality florida, the states leading lgbtq+ advocacy group, is holding know your rights trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",0,,Named_Organization,No,,equality florida,0,,,0.0,,the states leading lgbtq+ advocacy group,0.0,, the states leading lgbtq+ advocacy group,0.0
,trans votes count.,0,,Named_Person,No,,ankit rastogi,0,,director of research,0.0,,"national center for transgender equality, which conducted the survey and will soon be known as advocates for trans equality education fund",0.0,,"director of research national center for transgender equality, which conducted the survey and will soon be known as advocates for trans equality education fund",0.0
,"and so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment",0,,Named_Person,No,,lucas cameron-vaughn,0,,attorney,0.0,,aclu of tennessee,0.0,,attorney aclu of tennessee,0.0
,we saw it as a move to inflict maximum chaos and misunderstanding.,0,,Named_Person,No,,quinn diaz,0,,public policy associate,0.0,,"advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0,,"public policy associate advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0
,gender nonconforming people are already under such public scrutiny nationwide.,0,,Named_Person,No,,quinn diaz,0,,public policy associate,0.0,,"advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0,,"public policy associate advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0
,thats when youre gonna see the convergence of those two elements.,0,,Named_Person,No,,quinn diaz,0,,public policy associate,0.0,,"advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0,,"public policy associate advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0
,"our ability to participate in this democracy in florida, its been on the line for a while",0,,Named_Person,No,,quinn diaz,0,,public policy associate,0.0,,"advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0,,"public policy associate advocacy group equality florida,advocacy group equality florida; transgender; moved to florida from massachusetts; plan to vote by mail this november,advocacy group equality florida; transgender; moved to florida from massachusetts",0.0
