GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"they said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not openai investors,” the company said on its website.","they said that the subsidiary would be controlled by the nonprofit board and that each directors fiduciary duty would be to humanity, not openai investors, the company said on its website.",100,Named_Organization,Documents,No,openai,openai,100,,,0.0,the company said on its website.,its website,0.5554393529891968, the company said on its website., its website,0.5554393529891968
"mr. altman complained that the research paper seemed to criticize openai’s efforts to keep its a.i. technologies safe while praising the approach taken by anthropic, a company that has become openai’s biggest rival, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times.","mr. altman complained that the research paper seemed to criticize openais efforts to keep its a.i. technologies safe while praising the approach taken by anthropic, a company that has become openais biggest rival, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times.",100,Documents,Named_Person,No,,sam altman,0,,chief executive,0.0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,,0.0, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,chief executive ,0.28734898567199707
"in the email, mr. altman said that he had reprimanded ms. toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the federal trade commission was investigating openai over the data used to build its technology.","in the email, mr. altman said that he had reprimanded ms. toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the federal trade commission was investigating openai over the data used to build its technology.",100,Documents,Named_Person,No,,sam altman,0,,chief executive,0.0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,,0.0, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,chief executive ,0.28734898567199707
"“i did not feel we’re on the same page on the damage of all this,” he wrote in the email. “any amount of criticism from a board member carries a lot of weight.”","i did not feel were on the same page on the damage of all this, he wrote in the email. any amount of criticism from a board member carries a lot of weight.",97,Documents,Named_Person,No,,sam altman,0,,chief executive,0.0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,,0.0, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,chief executive ,0.28734898567199707
"senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity, later discussed whether ms. toner should be removed, a person involved in the conversations said.","senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity, later discussed whether ms. toner should be removed",100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0.0,a person involved in the conversations,,0.0, a person involved in the conversations, ,0.0
"but shortly after those discussions, mr. sutskever did the unexpected: he sided with board members to oust mr. altman, according to two people familiar with the board’s deliberations.","but shortly after those discussions, mr. sutskever did the unexpected: he sided with board members to oust mr. altman, according to two people familiar with the boards deliberations.",100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0.0,according to two people familiar with the board’s deliberations.,familiar with the boards deliberations,0.8645114898681641, according to two people familiar with the board’s deliberations., familiar with the boards deliberations,0.8645114898681641
the statement he read to mr. altman said that mr. altman was being fired because he wasn’t “consistently candid in his communications with the board.”,the statement he read to mr. altman said that mr. altman was being fired because he wasnt consistently candid in his communications with the board.,98,Documents,Anonymous_Groups,No,,,100,,,0.0,,,0.0, , ,0.0
"that scientist and other researchers went to the board to try to push mr. altman out. after they failed, they gave up and departed, according to three people familiar with the attempt to push mr. altman out.",that scientist and other researchers went to the board to try to push mr. altman out.,100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0.0,according to three people familiar with the attempt to push mr. altman out.,familiar with the attempt to push mr. altman out,0.8905215859413147, according to three people familiar with the attempt to push mr. altman out., familiar with the attempt to push mr. altman out,0.8905215859413147
"“after a series of reasonably amicable negotiations, the co-founders of anthropic were able to negotiate their exit on mutually agreeable terms,” an anthropic spokeswoman, sally aldous, said.","after a series of reasonably amicable negotiations, the co-founders of anthropic were able to negotiate their exit on mutually agreeable terms, an anthropic spokeswoman, sally aldous, said.",100,Named_Person,Named_Person,Yes,sally aldous,sally aldous,100,anthropic spokeswoman,an anthropic spokeswoman,0.9843642711639404,,,0.0,anthropic spokeswoman ,an anthropic spokeswoman ,0.9843642711639404
"in a second statement, anthropic added that there was “no attempt to ‘oust’ sam altman at the time the founders of anthropic left openai.”","in a second statement, anthropic added that there was no attempt to oust sam altman at the time the founders of anthropic left openai.",100,Named_Organization,Named_Person,No,anthropic,anthropic,100,,,0.0,"a second statement,",,0.0," a second statement,", ,0.0
"after vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.","after vetting four candidates for one position, the remaining directors couldnt agree on who should fill it",100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0.0,said the two people familiar with the board’s deliberations.,familiar with the boards deliberations,0.7897354364395142, said the two people familiar with the board’s deliberations., familiar with the boards deliberations,0.7897354364395142
"hours after mr. altman was ousted, openai executives confronted the remaining board members during a video call, according to three people who were on the call.","hours after mr. altman was ousted, openai executives confronted the remaining board members during a video call, according to three people who were on the call.",100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0.0,according to three people who were on the call.,who were on the call,0.7898094654083252, according to three people who were on the call., who were on the call,0.7898094654083252
"during the call, jason kwon, openai’s chief strategy officer, said the board was endangering the future of the company by pushing out mr. altman. this, he said, violated the members’ responsibilities.","during the call, jason kwon, openais chief strategy officer, said the board was endangering the future of the company by pushing out mr. altman.",100,Anonymous_Source,Named_Person,No,,jason kwon,0,,openais chief strategy officer,0.0,according to three people who were on the call.,,0.0, according to three people who were on the call.,openais chief strategy officer ,0.0797034427523613
