SourcedStatement,SourceType,Name,Title,Justification
The emergency declaration will allow state agencies to deploy resources and equipment to assist city and county crews with their repair work and efforts to slow the land movement.,Named Organization Sources,state agencies,,to assist city and county crews with their repair work and efforts to slow the land movement
"On Sunday, Southern California Edison indefinitely cut off electricity to about 140 homes in the Portuguese Bend area of Rancho Palos Verdes.",Named Organization Sources,Southern California Edison,,indefinitely cut off electricity to about 140 homes in the Portuguese Bend area of Rancho Palos Verdes
The city also issued an evacuation warning for residents living there.,Named Organization Sources,The city,,issued an evacuation warning for residents living there
"The additional 105 homes facing shut-offs are in the neighboring Seaview area, though there is currently no evacuation order or warning.",Named Organization Sources,The additional 105 homes,,facing shut-offs are in the neighboring Seaview area
"The land movement under the peninsula has been occurring for millennia at a slow pace, but was reactivated and accelerated in 1956, when L.A. County excavated to build an extension of Crenshaw Boulevard and dumped tons of dirt there, before Rancho Palos Verdes incorporated into its own city.",Named Organization Sources,L.A. County,,excavated to build an extension of Crenshaw Boulevard and dumped tons of dirt there
The last two winters of heavy rain have further accelerated the ongoing landslide.,Named Organization Sources,The last two winters,,of heavy rain have further accelerated the ongoing landslide
"A team of geologists is working with the city to figure out how to slow the land movement, with some engineering efforts being implemented to varying degrees of success.",Named Organization Sources,A team of geologists,,working with the city to figure out how to slow the land movement
The city states on its website that it is working to identify “hotels and other accommodations that can offer discounted rates for residents.”,Named Organization Sources,The city,,states on its website that it is working to identify “hotels and other accommodations that can offer discounted rates for residents.”
"For updates, the city directs residents to rpvca.gov/landmovement and PVPready.gov.",Named Organization Sources,The city,,directs residents to rpvca.gov/landmovement and PVPready.gov
"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information.",Named Organization Sources,Southern California Edison,,officials said they will provide a vehicle to serve people who need to charge devices or get information
"Gov. Gavin Newsom on Tuesday declared a state of emergency for the city of Rancho Palos Verdes ""to protect public safety amid ongoing land movement that has resulted in disrupted utility services and evacuation warnings for impacted residents.""",Named Person Sources,Gov. Gavin Newsom,Governor,declared a state of emergency for the city of Rancho Palos Verdes
"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named Person Sources,John Cruikshank,Mayor,Rancho Palos Verdes Mayor
A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks.,Named Person Sources,A spokesperson for Southern California Edison,Spokesperson,Southern California Edison
"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday.",Named Person Sources,SoCalGas,null,announced that it was shutting off gas service
"""The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,"" said Jim Hanggi, a spokesperson for the utility.",Named Person Sources,Jim Hanggi,Spokesperson,a spokesperson for the utility
Gordon Leon told LAist he plans to move into a tiny home on his property and bought four generators to power it.,Named Person Sources,Gordon Leon,null,Impacted resident
"Leon said he and his neighbors are just trying to ""figure out how to survive.""",Named Person Sources,Gordon Leon,null,Impacted resident
"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person Sources,Gordon Leon,null,Impacted resident
A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Person Sources,A spokesperson for Southern California Edison,Spokesperson,Southern California Edison
"The city’s mayor, John Cruikshank, told LAist on Monday that Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages.",Named Person Sources,John Cruikshank,Mayor,The city’s mayor
Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.,Named Person Sources,John Cruikshank,Mayor,The city’s mayor
"""We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,"" Cruikshank said.",Named Person Sources,John Cruikshank,Mayor,The city’s mayor
"""We're going to do everything we can to push the governor and the federal government to provide them funds.""",Named Person Sources,John Cruikshank,Mayor,The city’s mayor
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed Group of People,Impacted residents,,"many of whom are older, have disabilities and bought their homes decades ago"
Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed Group of People,Some,,"many of whom are older, have disabilities and bought their homes decades ago"
Others plan to stay.,Unnamed Group of People,Others,,"many of whom are older, have disabilities and bought their homes decades ago"
"Some, he said, are getting ready to leave permanently.",Unnamed Group of People,Some,,"many of whom are older, have disabilities and bought their homes decades ago"
