SourcedStatement,SourceType,Name,Title,Justification
"Customs and Border Protection says the surveillance equipment is necessary to monitor remote, rugged areas like Jacumba Hot Springs and the Otay Mountain Wilderness in San Diego County,",Named Organization Sources,Customs and Border Protection,,official agency statement; explaining necessity of surveillance equipment
"The Department of Homeland Security “has also acknowledged the need for better coordination, communication, and oversight,”",Named Organization Sources,Department of Homeland Security,,official agency acknowledgement; discussing need for improvement
"California’s investment to assist the federal government, provide humanitarian services, and help new arrivals totals over $1.3 billion since 2019,”",Named Organization Sources,Office of Gov. Gavin Newsom,,official statement on state investment in humanitarian services
"San Francisco-based Electronic Frontier Foundation, a nonprofit that advocates for digital privacy, has been tracking the rapid expansion of installations of Anduril and other towers",Named Organization Sources,Electronic Frontier Foundation,,nonprofit organization; tracking border surveillance installations
"Al Otro Lado, a nonprofit that provides legal and humanitarian support to refugees, deportees, and other migrants in the U.S. and Tijuana",Named Organization Sources,Al Otro Lado,,nonprofit organization; providing humanitarian support to migrants
"“That’s where we’ve seen a huge number of these towers go up,”",Named Person Sources,Dave Maass,"Director of Investigations, Electronic Frontier Foundation",expert on border surveillance; tracking installations of towers
"“These towers aren’t checking people’s papers,”; “People have lived on the border longer than the United States has been a country. Just being somebody who lives on the border, whose family are on both sides of the border, doesn’t make you a criminal and shouldn’t put you under suspicion.”",Named Person Sources,Dave Maass,"Director of Investigations, Electronic Frontier Foundation",expert on border surveillance and privacy concerns
"“The towers deployed in California have 360-degree, AI-fueled visual and auditory surveillance capabilities,”; “If they wanted to, the government could track the movements of any individual living on the California border,”",Named Person Sources,Erika Pinheiro,"Executive Director, Al Otro Lado",expert on humanitarian support and migration; highlighting surveillance concerns
"“There’s just such a lack of accountability with those billions of dollars,”; “We saw this too under the Trump administration,”; “Where is this money going, if we have babies sitting out in the desert for up to a week at a time without any food or water?”",Named Person Sources,Erika Pinheiro,"Executive Director, Al Otro Lado",expert on humanitarian aid and migration; questioning funding allocation
"Gov. Gavin Newsom has said California cannot continue providing the same level of humanitarian services for the coming fiscal year that it has in the past along the border, not while it is facing a $38 billion budget shortfall.",Named Person Sources,Gavin Newsom,Governor of California,official statement on state budget and humanitarian services
according to a 2021 report by the Office of Inspector General,Document Sources,Office of Inspector General,,official report; providing funding information for surveillance
as the Department of Homeland Security said in its 2021 report on its border technology,Document Sources,Department of Homeland Security,,official report; discussing border technology and needs
"dozens of migrants at a time have waited in makeshift camps in California — enduring the barren desert with little food, water or shelter — for hours or sometimes a day or more.",Unnamed Group of People,migrants,,waiting in makeshift camps in California; enduring harsh conditions
migrants sometimes huddle under the towers for protection from the elements,Unnamed Group of People,migrants,,seeking protection from the elements; present in the open-air sites
people who live on the border longer than the United States has been a country,Unnamed Group of People,people who live on the border,,long-standing residents of the border area; potential subjects of surveillance
