SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs."
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Organization Sources,Public Works,,"Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms."""
Mayor Breed's office did not respond to requests for comment.,Named Organization Sources,Mayor Breed's office,,Mayor Breed's office did not respond to requests for comment.
"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named Person Sources,Antonio Robinson,,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"“All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named Person Sources,Antonio Robinson,,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"“I don’t understand,” O’Brien kept repeating.",Named Person Sources,Joey O’Brien,,"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail."
"“I personally think it’s a little suspicious to do the sweep earlier. It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named Person Sources,Julian Highsmith,communications and policy director for the Coalition on Homelessness,"Julian Highsmith, communications and policy director for the Coalition on Homelessness."
"“It’s quiet here,” he said.",Named Person Sources,Antonio Robinson,,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,federal survey,,"A federal survey released in May counted more than 8,000 unhoused people in the city."
"Instead, a small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unnamed Group of People,protesters,,"The group planned live performances, speeches, and outreach, to take place at the same time as SFPD and Department of Public Works enforcement."
