No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"According to a post by Love on Instagram earlier this hour, the judge did not rule in Love’s favor. As a result, Love said that she would not be running for the District 7 seat.  ",Named Individual,,Tonya Love,current chief of staff for Councilmember Carroll Fife,"prospective District 7 councilmember; according to a post by Love on Instagram
"
2,"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote. “My dedication to our city does not begin nor end with a campaign. There are many ways to effect change and ensure our voices are heard. I will continue to work alongside each of you, advocating for public health, safety, and equitable development in Oakland.”
",Named Individual,,Tonya Love,current chief of staff for Councilmember Carroll Fife,"prospective District 7 councilmember; according to a post by Love on Instagram
"
3,"A prospective District 7 councilmember sued the Alameda County Registrar of Voters last week, saying in a petition that three of her supporters’ signatures required to qualify for the ballot were incorrectly discounted due to “minor technical errors.” 

",Document,,Petition,,saying in a petition
4,"Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified. One person had incorrectly printed their name in the signature box, for example, without submitting their legal signature. Two others used addresses different from the ones listed in their voter registration records, but they were still legitimate addresses inside District 7. They simply had not updated their registered addresses.",Named Organization,,"Lawyers, Kaufman Legal Group",,said in their petition
5,"These technical errors should not prevent the intent of the voters from being realized and the signatures counted towards verification, The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition. The three individuals who signed the nomination petition but did not have their signatures counted met these basic requirements and, in addition, substantially complied with the applicable law.",Named Organization,,"Lawyers, Kaufman Legal Group",,said in their petition
6,"The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form. 
",Named Organization,,Alameda County,County Attorneys,countered in a brief
7,"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document,,Voter's Choice Act,,
8,"Love’s lawyers argued that the same courtesy should apply to signatures for council candidates. 

",Named Organization,,"Lawyers, Kaufman Legal Group",,
9,The lawyers asked the court to direct the registrar to validate those signatures and place Love on the Nov. 5 ballot,Named Organization,,"Lawyers, Kaufman Legal Group",,
10,"After hearing both sides this morning in county court, Alameda County Superior Court Judge Michael Markman said he would issue his ruling by 3 p.m. today. 

",Named Individual,,Michael Markman ,Alameda County Superior Court Judge,
11,"Judge Markman said that it appeared that the county registrar, Tim Dupuis, didn’t do “anything wrong” in this instance.

",Named Individual,,Michael Markman ,Alameda County Superior Court Judge,
12,"My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform, In its implementation, it looks like the ROV attempted to do that here.",Named Individual,,Michael Markman ,Alameda County Superior Court Judge,
13,"The judge also noted that he was wary of approving the request lest it turn the courts into “a clearing house for attempting to verify signatures.”

",Named Individual,,Michael Markman ,Alameda County Superior Court Judge,
14,"“There are only three in this one,” he said, “but I can imagine scenarios where it could be 23 in future cases.”

",Named Individual,,Michael Markman ,Alameda County Superior Court Judge,
15,"The lawyer representing Love said that the judge could limit his ruling to the type of unusual last-minute circumstance this represents, in which a candidate had only a couple of days to gather signatures. 

",Named Organization,,"Lawyers, Kaufman Legal Group",,
16,"But her attorneys said petitions for nominations could be obtained from the city clerk’s office only by appointment and that the earliest possible time she was able to obtain them was at 2 p.m. on the following Monday. That gave Love only about 48 hours to gather and validate the needed 50 signatures by the end of the day on Wednesday. 
",Named Organization,,"Lawyers, Kaufman Legal Group",,
17,"Her lawyers also argued that the district has a low number of registered voters, making it harder for her to secure as many signatures. 

",Named Organization,,"Lawyers, Kaufman Legal Group",,
18,"After Love’s lawyers submitted their petition on Aug. 20, the Alameda Court originally set a conference for September 24, but lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots. 
",Named Organization,,"Lawyers, Kaufman Legal Group",,
19,Love told her followers her team had written a petition to validate her application to run for the district seat. She thanked the Oakland City Clerk and the city attorney for helping her through the process. ,Named Individual,,Tonya Love,current chief of staff for Councilmember Carroll Fife,"prospective District 7 councilmember; In an Instagram post last week, "
20,"We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7, We believe that every resident deserves to be represented and have access to the resources and opportunities to thrive.",Named Individual,,Tonya Love,current chief of staff for Councilmember Carroll Fife,"prospective District 7 councilmember; In an Instagram post last week, "
21,"The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.

",Unnamed Group of People,,Community members,,"In an Instagram post last week, "
