No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named individual,,Antonio Robinson,,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings. 
"
2,"Despite Public Works’ policy and procedure for documenting, bagging, and tagging most belongings",Document,,Public Works Policy,,
3,Robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 Cesar Chavez St. ,Named individual,,Antonio Robinson,,
4," But in June, the Supreme Court green-lit such penalties, prompting Gov. Gavin Newsom to order California city officials to “move urgently” to clear illegal encampments around the state.
",Named individual,,Gavin Newsom,Gov.,
5,"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named individual,,London Breed,Mayor,
6,"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document,,Federal Survey,,
7,"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down. ",Document,,Public Works Policy,,
8,"He was neither detained nor cited for illegal lodging, and told Gazetteer he had spoken to a member of the “Encampment Resolution Team,” who offered temporary shelter. ",Named individual,,Antonio Robinson,,
9,"“All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,” he said.",Named individual,,Antonio Robinson,,"""I had bad experiences,”"
10,"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.",Named individual,,Joey O’Brien,,camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail
11,"After listening for about two minutes, an officer told him that he was being detained for illegal lodging, then put O’Brien in cuffs and led him to a patrol vehicle away from his camp.",Unnamed Person,,,police officer,
12,"“I don’t understand,” O’Brien kept repeating.",Named individual,,Joey O’Brien,,
13,"More than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",Named individual,,Joey O’Brien,,
14,"“The other stuff is under all that over there,” the officer said with a shrug. “You’re going to have to pick it up later.”",Unnamed individual,N,,police officer,
15,"as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Named individual,,Hazel Williams,,City Hall watchdog
16,"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Named individual,,Antonio Robinson,,"When they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps. 
"
17,"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms."" Gordon said claims for lost property can be filed with the City Attorney's office.",Named individual,,Rachel Gordon,Public Works spokesperson,"In a response to Gazetteer's questions about potential breaches in protocol, "
18,"Instead, the city swooped down on the encampments at Sixth and Jessie streets earlier than scheduled, said Julian Highsmith, communications and policy director for the Coalition on Homelessness.",Named individual,,Julian Highsmith,"communications and policy director, Coalition on Homelessness",
19,"“Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule,” Highsmith said.",Named individual,,Julian Highsmith,"communications and policy director, Coalition on Homelessness",
20,"Instead, a small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unamed Group of People,,Protesters,,regrouped at City Hall for a series of chants and short speeches
21,Highsmith told Gazetteer he believes the city may have gotten wind of the group’s planned sweep disruption and undercut it in order to prevent unhoused people from organizing with their advocates during an enforcement.,Named individual,,Julian Highsmith,"communications and policy director, Coalition on Homelessness",
22,"“I personally think it’s a little suspicious to do the sweep earlier. It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named individual,,Julian Highsmith,"communications and policy director, Coalition on Homelessness",
23,"When asked where he would move next, he shrugged and noted in his characteristic whisper that he was staying in the neighborhood.",Named individual,,Antonio Robinson,,
24,"“It’s quiet here,” he said.",Named individual,,Antonio Robinson,,
25,There were 178 people on the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Document,,Online waitlist,,
