No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"On Wednesday, City Attorney Barbara Parker filed a lawsuit in Alameda County Superior Court that accuses the airline of violating Oakland and California sick leave laws. According to the complaint, Southwest has been denying some of its workers in Oakland the right to use earned paid sick leave. The city claims that Southwest has also retaliated against workers who tried to use their leave and discouraged them from filing complaints with the city.
",Document,,Lawsuit,,
2,"The city attorney claims that Southwest’s violations have potentially affected thousands of workers.  
",Named Individual,,Barbara Parker,City Attorney,
3,"“The City of Oakland is committed to protecting workers by ensuring that all employers in Oakland are complying with laws that protect their rights,” Parker said in a statement.  
",Named Individual,,Barbara Parker,City Attorney,
4,The lawsuit — filed just a couple days after Labor Day—claims that Southwest has also violated an existing settlement agreement that was supposed to resolve similar problems. ,Document,,Lawsuit,,
5,"In 2017, the city received complaints that Southwest had a policy whereby it zeroed out unused accumulated sick leave pay on January 1 of every year, rather than carry it forward. In December 2020, the city and Southwest signed a settlement in which, among other things, the airline agreed to fully restore the sick leave hours it had canceled for certain workers between 2017 and 2020. ",Document,,Lawsuit,,
6,"According to the city attorney, Southwest didn’t restore those hours for all workers.",Named Individual,,Barbara Parker,City Attorney,
7,"The city is demanding that Southwest comply with local labor laws and the 2020 settlement agreement; pay restitution, damages and penalties to the affected workers; pay for the cost of the city enforcing the law; and undo any disciplinary actions taken against workers under the allegedly unlawful sick leave policy.",Document,,Lawsuit,,
8,"A Southwest spokesperson told The Oaklandside that the assertion that any Oakland employee was forced to work while sick or take unpaid absences is unfounded. 
",Named Organization,,Southwest Airlines,,
9,"Southwest Airlines fully complies with applicable sick leave laws in Oakland and California, as well as with the terms of a December 2020 settlement agreement with the city, Although Southwest remains willing to address the city’s concerns about sick leave policies, the airline is prepared to vigorously defend itself against these frivolous claims in court, including by asking the court to address the city’s own breach of the settlement agreement.",Named Organization,,Southwest Airlines,,
10,"In a press release, the city attorney said Southwest’s practices were especially detrimental during the COVID-19 pandemic, when workers were forced to report to work even when they were sick.
",Named Individual,,Barbara Parker,City Attorney,
11,"“We are grateful that the City of Oakland is holding Southwest accountable. We hope that Southwest policies and practices will finally change for good,” Eric Swygert, a Southwest employee and an elected ramp representative with the Transport Workers Union of America Local 555, said in a statement.
",Named Individual,,Eric Swygert,Elected ramp representative with the Transport Workers Union of America Local 555,Southwest employee
12,"Oakland has several laws that protect workers, including Measure FF, a 2014 ordinance approved by Oakland voters that established a minimum wage and requires employers to provide paid sick leave to employees. The law also authorizes the city attorney to file lawsuits to enforce it",Document ,,Measure FF,,
