No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification,,,,,,,,,,
1,"As a result, the injured officer and two other plainclothes officers returned fire for “self-protection,” the judge ruled
",Named individual,,Charles R. Simpson III ,U.S. District Judge ,,,,,,,,,,,
2," — negating Walker’s constitutional rights as a legal gun owner, and his rights under the state’s Castle Doctrine, better known as the stand your ground law.
",Document,,Castle Doctrine,,,,,,,,,,,,
3,"The decision to blame Taylor’s boyfriend for her death, and not the officers, is another stark reminder of the need for the George Floyd Justice in Policing Act, which includes ending qualified immunity, advocates said.",Unamed group of people,,advocates,,,,,,,,,,,,
4,"Christopher 2X, a longtime community organizer, and friend of Taylor’s family, said, “I was just thinking about her mother [Tamika Palmer] in regards to how she would interpret that particular ruling by the judge.” 
",Named individual,,Christopher 2X,"Founder, Game Changers, community organizer","a longtime community organizer, and friend of Taylor’s family",,,,,,,,,,
2,"“It’s just more pain on top of pain, and unfortunately, that’s the way the court system goes,” he said.
",Named individual,,Christopher 2X,"Founder, Game Changers, community organizer",,,,,,,,,,,
3,"At a rally in Charlotte, North Carolina, former President Donald Trump pledged to combat police violence by giving police “back their power,” in part by limiting federal oversight over local police departments and strengthening qualified immunity.

",Named individual,,Donald Trump,Former President,,,,,,,,,,,
4,"Christopher 2X said Harris should talk more on the campaign trail about policing reforms. “With this ruling by Judge Simpson, the conversation of police reform keeps going on. There’s no backtracking in this conversation. People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop,” Christopher 2X said. ",Named individual,,Christopher 2X,"Founder, Game Changers, community organizer",,,,,,,,,,,
5,"The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term, Christopher 2X said Harris should answer questions about policing reform just like it was a question about the economy. ",Named individual,,Christopher 2X,"Founder, Game Changers, community organizer","The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term",,,,,,,,,,
6,"“She’s a former prosecutor. I believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere that’s still asking for that conversation,” Christopher 2X said, adding, “She should be willing and ready to address this whole issue that still, there’s no answers to.”",Named individual,,Christopher 2X,"Founder, Game Changers, community organizer","The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term",,,,,,,,,,
7,"Since 2020, the number of people, especially Black people, killed by the police has continued to rise, according to the Mapping Police Violence database. So far this year, 212 Black lives have been lost during encounters with police, nearing the 264 killed in 2020.",Document,,Mapping Police Violence database,,,,,,,,,,,,
8,"Researchers behind Mapping Police Violence released a new database Wednesday that focuses on nonfatal police encounters in the United States between 2017 and 2022, the Guardian first reported.  ",Named Organization,,The Guardian,,,,,,,,,,,,
9,"The database found that in each year, over 300,000 people experienced use of force by police that includes chemical sprays, K-9 dog attacks, neck restraints, stun guns as well as beanbags and baton strikes. ",Document,,Mapping Police Violence database,,,,,,,,,,,,
10,"Black people are more susceptible to nonfatal police violence than being killed by police, the report found. 

",Named Organization,,The Guardian,,,,,,,,,,,,
11,"Hawk Newsome, co-founder of Black Lives Matter of Greater New York and Black Opportunities, wrote in an email to Capital B that the organization’s Black Agenda 2024 consists of dozens of proposed policies created by a multigenerational group of leaders from across the country, and for people who “don’t attend your churches or community meetings, engage in local politics, or take your polls.”",Named individual,,Hawk Newsome,"co-founder, Black Lives Matter, Greater New York and Black Opportunities",wrote in an email to Capital B,,,,,,,,,,
12,The agenda addresses ending qualified immunity to allow families of police violence to personally sue an officer in question. It also calls to “declare a war on poverty” to reallocate funds from “ineffective public initiatives — including law enforcement — to address the social determinants of health.”,Named individual,,Hawk Newsome,"co-founder, Black Lives Matter, Greater New York and Black Opportunities",wrote in an email to Capital B,,,,,,,,,,
13,"If the latter goes in effect, “it would prevent the necessity for cases like Breonna Taylor’s because we would be attacking the root cause of crime, which brings down crime rates,” Newsome said, adding, “Less crime means politicians are less likely to allow illegal and overzealous policing.”
",Named individual,,Hawk Newsome,co-founder of Black Lives Matter of Greater New York and Black Opportunities,wrote in an email to Capital B,,,,,,,,,,
