No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1,They eventually scored a victory in the Castellanos v. State of California case that said the ballot measure couldn’t prevent future legislation to allow rideshare drivers to unionize.,Document,Castellanos v. State of California case,,labor advocates began contesting certain aspects of the legislation in court. 
2,"They ultimately won a major victory in Castellanos v. State of California, where the court ruled that Prop. 22 could not block future legislation allowing rideshare drivers to unionize.",Document,,,labor advocates challenged parts of the measure in court. 
3,"“Voters approved Prop 22 and the courts upheld the law, yet special interest groups are repeatedly trying to undermine our rights as drivers,” said Al Porche, a San Diego rideshare driver quoted in a Protect App-Based Drivers & Services (PADS) Coalition press release shared with California Black Media (CBM) after the Senate committee approved the bill.
",Named Person,Al Porche,,a San Diego rideshare driver quoted in a Protect App-Based Drivers & Services (PADS) Coalition press release shared with California Black Media (CBM) after the Senate committee approved the bill.
4," “This bill is bad for drivers, bad for consumers and will threaten the personal information and privacy of millions of rideshare drivers like me,” Porche said. “The legislature should reject this policy.”
",Named Person,Al Porche,,a San Diego rideshare driver quoted in a Protect App-Based Drivers & Services (PADS) Coalition press release shared with California Black Media (CBM) after the Senate committee approved the bill.
5,"“AB 1340 will directly impact millions of app-based drivers and California consumers,” said Julian Canete, President & CEO of the California Hispanic Chambers of Commerce. “The result will be higher prices and fewer rideshare availability, which is bad for drivers, bad for consumers and bad for businesses.” ",Named Person,Julian Canete,President & CEO of the California Hispanic Chambers of Commerce,
6,Union advocates say AB 1340 would allow for higher pay.,Unnamed Group of People ,Union advocates,,
7,"According to a 2024 UC Berkeley Labor Center study, California gig rideshare drivers earn a median employee-equivalent pay of $5.97/hour, after expenses.",Named Organization,UC Berkeley Labor Center,,
8,"Even as average rideshare prices rose over 7% from 2023 to 2024, Uber driver earnings fell 3.4% and Lyft driver earnings dropped 13.9%, according to Gridwise, an app that helps drivers track mileage and optimize earnings.
",Named Organization,Gridwise,,
9,Labor supporters also say that safeguards against arbitrary terminations and safer working conditions would be possible if AB 1340 becomes law.,Unnamed Group of People ,Labor supporters,,
10,"AB 1340 author, Assemblymember Buffy Wicks (D-Oakland) stated: “Millions of Californians depend on gig rideshare drivers to keep them moving, yet gig rideshare drivers have no seat at the table when decisions about their livelihoods are made. All workers deserve a fair shot in shaping their future with a voice on the job and the ability to bargain for better working conditions.”",Named Person,Buffy Wicks ,Assemblymember (D-Oakland),AB 1340 author
11,"John Mejia, a gig rideshare driver from the Bay Area believes working for gig companies has been full of broken promises – including the assurances Uber and Lyft made to voters when they claimed they would increase wages and benefits for drivers.",Named Person,John Mejia,,a gig rideshare driver from the Bay Area
12,"“The reality is that the costs of gas and insurance have soared, while drivers are seeing a shrinking share of fares,” said Mejia, testifying before the Senate Labor, Public Employment and Retirement Committee during a June 18 hearing at the State Capitol in Sacramento.",Named Person,John Mejia,,"testifying before the Senate Labor, Public Employment and Retirement Committee during a June 18 hearing at the State Capitol in Sacramento."
13,"“The ‘flexibility’ of gig work is a trap if you just have to work more and more hours to make up for shrinking wages,” Mejia told members of the committee. “The only way for drivers to address these challenges and earn a fair share of rideshare companies’ record-breaking profits is through a union.”
",Named Person,John Mejia,,a gig rideshare driver from the Bay Area
