No,Sourced Statements,Type of Source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"It’s an important enough right that explaining it to tenants was one of the key ways Shelby County said it hoped to deploy a recent $250,000 grant.",Named Organization,,Shelby County,,
2,"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “Things (can now) happen very, very quickly.”
",Named individual,,Brian Rees,"staff attorney, The Works Inc","who has represented hundreds of tenants in eviction proceedings in recent years. "
3,"If the governor signed it, Henderson said, it would have “devastating” consequences for renters.",Named individual,,Deborah Henderson,Judge,"House Bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by Gov. Bill Lee. "
4,"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009. ",Named Organization,,Tennessee Lookout,,
5,"“Landlords have always had a very strong lobbying group,” she said. 
",Named individual,,Deborah Henderson,Judge,
6,"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would. 
",Named individual,,Art Swann,Sen. (R-Maryville),"Art Swann (R-Maryville), who sponsored the legislation in the Senate, provided MLK50 with a statement but did not respond to follow-up questions."
7,"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750. It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Named Organization,,Tennessee Lookout,,
8,"While the difference of a week may not seem like much, Rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.
",Named individual,,Brian Rees,"staff attorney, The Works Inc",
9,"“It’s disheartening to see them make a change that will affect families who are struggling,” Rees said.
",Named individual,,Brian Rees,"staff attorney, The Works Inc","Additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. And if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications."
10,"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” Thompson said. “(And) they were just ironclad.”",Named individual,,Dwayne Thompson,"Rep. (D-Cordova) ","This session, Thompson thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee — until he realized the Tennessee Association of Realtors was dead set against him, no matter what compromises he offered them. "
11,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named individual,,Erika Sugarmon,Shelby County Commissioner,
12,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named individual,,Robert Knecht,City of Memphis Division of Public Works director,
13,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,,landlord representatives,,
14,"Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them. ",Named individual,,Dwayne Thompson,"Rep. (D-Cordova) ",
15,"Rep. Pat Marsh (R-Shelbyville) said he opposed the bill because he doubted bad landlords would comply with it, making it ineffective.",Named individual,,Pat Marsh,"Rep. (R-Shelbyville) ",
16,"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,” Marsh said during the subcommittee hearing.",Named individual,,Pat Marsh,"Rep. (R-Shelbyville) ",
17,"Given TAR’s opposition and the legislature itself having recently moved “much farther to the right,” in his experience, Thompson said a Shelby County rental registry is “probably not in the cards, for several years anyway.” Though he’s not running for reelection, he’s hopeful whoever succeeds him will be able to find other ways to help cities deal with slumlords.",Named individual,,Dwayne Thompson,"Rep. (D-Cordova) ",
18,"While most landlords do this already, Thompson said he’s heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.",Named individual,,Dwayne Thompson,"Rep. (D-Cordova) ","Thompson was able to pass one bill this year he thinks will help tenants.  Assuming the bill is signed by Lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests."
19,"“I really am happy to see that pass,” Rees said. “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named individual,,Brian Rees,"staff attorney, The Works Inc","Still, Rees sees the legislation’s passage as a win. Because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like Rees could theoretically use in their defense. "
