No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,"Gov. Gavin Newsom on Tuesday declared a state of emergency for the city of Rancho Palos Verdes ""to protect public safety amid ongoing land movement that has resulted in disrupted utility services and evacuation warnings for impacted residents.""",Named individual,,Gavin Newsom,Governor,
2,"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named individual,,John Cruikshank,Mayor,
3,"A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks. The rest were slated to be without power for 24 hours.
",Named Organization,,Southern California Edison ,,
4,"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday. The shut-offs are expected to last indefinitely, the utility added.",Named Organization,,SoCalGas,,
5,"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,” said Jim Hanggi, a spokesperson for the utility. “It is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”
",Named individual,,Jim Hanggi,"Spokesperson, Southern California Edison",
6,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed group of people,,,,
7,Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed group of people,,Impacted residents,,"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement."
8,"Gordon Leon told LAist he plans to move into a tiny home on his property and bought four generators to power it. He said he’s had no gas for weeks now, but water is still running. The power in his house has been shut off indefinitely, so his plan is to move off the grid.",Named individual,,Gordon Leon,,Others plan to stay.
9,"Leon said he and his neighbors are just trying to ""figure out how to survive.” Some, he said, are getting ready to leave permanently.",Named individual,,Gordon Leon,,
10,"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named individual,,Gordon Leon,,
11,A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Organization,,Southern California Edison ,,Many impacted residents have purchased generators so they can stay on their properties despite power outages.
12,"The city’s mayor, John Cruikshank, told LAist on Monday that Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages. Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.",Named individual,,John Cruikshank,Mayor,
13,"“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,” Cruikshank said. “We're going to do everything we can to push the governor and the federal government to provide them funds.”",Named individual,,John Cruikshank,Mayor,
14,The city states on its website that it is working to identify “hotels and other accommodations that can offer discounted rates for residents.” ,Named Organization,,Rancho Palos Verdes City,,
15,"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information. That customer care vehicle will be parked on Narcissa Drive at the Pepper Wood gate, starting Sunday through Tuesday. The hours of operation are from 10 a.m. to 6 p.m.
",Named Organization,,Southern California Edison ,,
