No,Sourced Statements ,Type of source,Anomynity? (Y/N),Name of Source,Title of Source,Source Justification
1,Some trans voters have expressed confusion and fear of discrimination at the ballot box that could discourage them from participating in public life.,Unnamed group of people,,Trans Voters,,
2,"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification. “There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.”
",Named Individual,,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
3,"“A lot is falling on poll workers to correctly enforce the law,” Kunis added. “And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.”
",Named Individual,,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
4,"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Named Organization,,Movement Advancement Project,,"the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.
"
5,"Anti-transgender rhetoric was front and center at the Republican National Convention in July, and Trump has taken to verbally targeting transgender people in his campaign.",Document,,19th News,,
6,He described Democratic vice presidential nominee Tim Walz recently as “very heavy into the transgender world.” ,Named Individual,,former President,,"Anti-transgender rhetoric was front and center at the Republican National Convention in July, and Trump has taken to verbally targeting transgender people in his campaign. "
7,"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population. The study included more than 92,000 respondents, including more than 84,000 adults who were 18 and older.",Document,,2022 U.S. Transgender Survey,,
8,"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund. “I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process.”
",Named Individual,,Ankit Rastogi,"director of research, National Center for Transgender Equality",which conducted the survey
9,"Forcing a person to show identification that does not align with their gender identity could out them to people in their community, as Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee, explained.
",Named Individual,,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee","Those that intentionally target government identification that people use in everyday life, like driver’s licenses, are particularly challenging."
10,"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.
",Named Individual,,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
11,"Last year, Tennessee Gov. Bill Lee, a Republican, signed a bill into law that defines sex as “determined by anatomy and genetics existing at the time of birth.” ",Document,,Bill,,
12,"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure. ",Named Organization,,ACLU tennessee,,
13,"Like with other laws targeting transgender people, including bans on transgender student-athletes from participating in women’s sports, politicians supporting these policies frame them as protecting cisgender women.",Unnamed group of people,,Politicians,,
14,"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.
",Named Individual,,Rose Saxe,"deputy project director, ACLU’s LGBT & HIV Project","politicians supporting these policies frame them as protecting cisgender women.
"
15,"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders. ",Named Organization,,Center of Democracy and Civic Engagement,,
16,"The full impact of these laws amid new and evolving voter identification laws is not yet clear, in part because of how recent they are — and that, experts say, could mask their harm. ",Unnamed group of people,,Experts,,
17,"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws. 
",Named Organization,,"The Williams Institute at the University of California, Los Angeles School of Law",,
18,"“The states with the anti-trans laws are also the ones that are more likely to be passing anti-voter laws, full stop,” Kunis said.
",Named Individual,,Lauren Kunis,CEO and executive director of VoteRiders,
19,"In Florida, which has emerged as a national epicenter of policies targeting LGBTQ+ people in recent years, the state’s Department of Highway Safety and Motor Vehicles issued a new regulation barring residents from updating their gender identity on their drivers’ license.
",Document,,regulation,,
20,"But the new gender marker regulation signals yet another way that state agencies in Florida have overstepped their bounds and been “weaponized” to target transgender Floridians, they argued.
",Named Individual,,Quinn Diaz,"public policy associate, advocacy group Equality Florida","Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
21,"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”
",Named Individual,,Quinn Diaz,"public policy associate, advocacy group Equality Florida",
22,"“With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life,” Diaz said. 
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
23,"Diaz said they didn’t have any problems voting in person in the 2022 midterms, but they plan to vote by mail this November.
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
24,"“I can imagine that a lot of trans folks in Florida who might not have access … to an accurate and affirming ID might not want to engage in that process at all, especially in such a heightened political environment,” Diaz said.
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
25,"“Gender nonconforming people are already under such public scrutiny nationwide,” Diaz said. “That’s when you’re gonna see the convergence of those two elements. It really seems like it would only result in more discrimination, more discomfort for trans people, more interrogation and potentially just being turned away.” 
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
26,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law, felt the weight of that increased scrutiny as she cast her ballot in March. Krebs wondered whether her identification — one that for weeks no longer reflected her gender identity — might impact her ability to vote.
",Named Individual,,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
27,"“They won’t stop me, but I can see how it would stop others,” she said. “It is almost certainly stopping some people from showing up at the polls.”
",Named Individual,,Hazel Krebs,,
28,"While the driver’s license is the most ubiquitous form of identification in the United States’ car-centric society, Kunis wants to dispel the “common misconception” that it’s the only form of ID people can use to vote. 
",Named Individual,,Lauren Kunis,CEO and executive director of VoteRiders,
29,"In addition to using passports as identification, Diaz said that Florida voters have the option to vote by mail, vote early in person and bring a friend or family member to the polls.
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
30,"“Our ability to participate in this democracy in Florida, it’s been on the line for a while,” Diaz said. Transgender people, they said, are being “forced to choose between participating in our greatest civic right or just sitting out because the state doesn’t see us for who we are.”
",Named Individual,,Quinn Diaz,public policy associate at advocacy group Equality Florida,
31,"“Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home. And you also won’t be able to capture the people who are trans and show up to try and vote and are turned away.” Kunis said. “And we know that is happening, but it is difficult to quantify.”
",Named Individual,,Lauren Kunis,CEO and executive director of VoteRiders,
32,"Cameron-Vaughn said he also worries about a scenario where a trans person is stopped at a polling place because of mismatching information on their identification and must fill out a provisional ballot — a voting option that often requires a person to return at a later date with more documentation to ensure their vote is counted.
",Named Individual,,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
33,"“There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression,” he said. 
",Named Individual,,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
34,"Josie Caballero, director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey, said it’s important to remember that barriers to voting existed for trans people before the latest slate of laws and rules targeting sex classification, particularly around voter ID rules.",Named Individual,,Josie Caballero,"director of voting and elections, National Center for Transgender Equality",
35,"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.
",Named Individual,,Josie Caballero,"director of voting and elections, National Center for Transgender Equality",
36,"Krebs, who plans to vote in November, is worried about how the dynamics of a crowded polling site might impact her ability to vote. But she is determined to access the ballot, and to stay in Kansas despite the heightened scrutiny.
",Named Individual,,Hazel Krebs,,
37,"“There’s nothing these laws will do to stop me from living my best life,” she said. “It just puts my energy and passion towards making this place better for me and other trans people.”
",Named Individual,,Hazel Krebs,,
