SourcedStatement,SourceType,Name,Title,Justification
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,responsible for managing the election process in Alameda County
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Named Organization Sources,East Oakland Collective nonprofit,,supporting Tonya Love's campaign
"Love’s lawyers, from the political law firm Kaufman Legal Group, said in their petition that Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified.",Named Organization Sources,Kaufman Legal Group,,representing Tonya Love in her petition to the court
"While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote.",Named Person Sources,Tonya Love,District 7 council candidate and chief of staff for Councilmember Carroll Fife,responding to the court's decision on her ballot eligibility
"My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,explaining his ruling on Tonya Love's petition
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,,sharing his experience and intentions after failing to gather enough signatures
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document Sources,Voter’s Choice Act,,governing election procedures in Alameda County
The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Document Sources,Elections Code and Oakland Ordinances,,outlining requirements for nomination petitions
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Unnamed Group of People,community members,,supporting Tonya Love's campaign
"A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot, among them Ken Houston.",Unnamed Group of People,candidates,,participating in the last-minute scramble for District 7 council seat
